NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPC4	NA	202	0.21052944660186768	0.0067139077	No	
row_1	HS6ST2	NA	217	0.20761224627494812	0.025343668	No	
row_2	TKTL1	NA	373	0.19301334023475647	0.0334568	No	
row_3	GPC3	NA	470	0.18637433648109436	0.044770863	No	
row_4	LCT	NA	1055	0.1650974452495575	0.02243954	No	
row_5	CHST4	NA	1062	0.16488289833068848	0.03756695	No	
row_6	GPR87	NA	1264	0.15944257378578186	0.03953812	No	
row_7	COL5A1	NA	2055	0.14260435104370117	0.0017325208	No	
row_8	PGAM2	NA	2300	0.1378987431526184	-0.0011119373	No	
row_9	LHX9	NA	2490	0.13451626896858215	-7.083728E-4	No	
row_10	PFKFB1	NA	2554	0.133322075009346	0.0077529573	No	
row_11	GYS2	NA	3244	0.12185662984848022	-0.025456041	No	
row_12	PPFIA4	NA	3371	0.11992517858743668	-0.022340512	No	
row_13	ALDH7A1	NA	3411	0.11931024491786957	-0.0136415595	No	
row_14	FBP2	NA	3452	0.11860756576061249	-0.0050735767	No	
row_15	MET	NA	3495	0.11783459037542343	0.0032919797	No	
row_16	EFNA3	NA	3854	0.11117013543844223	-0.009459837	No	
row_17	ARTN	NA	3858	0.11113882809877396	8.044634E-4	No	
row_18	DCN	NA	3939	0.10965073108673096	0.0059358575	No	
row_19	CHST6	NA	4065	0.10711212456226349	0.007910444	No	
row_20	GAL3ST1	NA	4181	0.10519389063119888	0.0103529375	No	
row_21	B3GNT3	NA	4296	0.10300155729055405	0.012653962	No	
row_22	SDC3	NA	4359	0.10184254497289658	0.018217724	No	
row_23	TPBG	NA	4452	0.09989411383867264	0.021652853	No	
row_24	P4HA2	NA	4463	0.09958761930465698	0.030376218	No	
row_25	CHST1	NA	4494	0.0990377739071846	0.037750993	No	
row_26	B4GALT2	NA	4497	0.0990104079246521	0.046938777	No	
row_27	ADORA2B	NA	4785	0.09339384734630585	0.037117917	No	
row_28	STC1	NA	4987	0.08914848417043686	0.032473996	No	
row_29	KIF20A	NA	5032	0.08796126395463943	0.037898608	No	
row_30	ME1	NA	5285	0.08300027251243591	0.029369136	No	
row_31	SOX9	NA	5319	0.0823085755109787	0.034975067	No	
row_32	GAPDHS	NA	5331	0.08194155991077423	0.041972987	No	
row_33	NDST3	NA	5471	0.0784851536154747	0.040345814	No	
row_34	DEPDC1	NA	5581	0.076065793633461	0.040436234	No	
row_35	ANGPTL4	NA	5698	0.07372546941041946	0.03985252	No	
row_36	TGFA	NA	5845	0.07067616283893585	0.03703657	No	
row_37	LDHC	NA	5911	0.06969219446182251	0.039380264	No	
row_38	VLDLR	NA	6025	0.06713621318340302	0.03837099	No	
row_39	SDC2	NA	6045	0.06687150150537491	0.04343199	No	
row_40	TFF3	NA	6124	0.06486479938030243	0.044478446	No	
row_41	PKP2	NA	6186	0.06352468580007553	0.04650111	No	
row_42	SDC1	NA	6197	0.06334143877029419	0.051813494	No	
row_43	AURKA	NA	6327	0.060515157878398895	0.049143657	No	
row_44	EGFR	NA	6360	0.05947337672114372	0.0526655	No	
row_45	B3GAT1	NA	6637	0.05338346213102341	0.03979269	No	
row_46	CENPA	NA	6693	0.052258845418691635	0.041144226	No	
row_47	MERTK	NA	6780	0.05048227310180664	0.040318463	No	
row_48	PC	NA	6808	0.050023213028907776	0.0432752	No	
row_49	DSC2	NA	6889	0.04816795513033867	0.042620696	No	
row_50	HMMR	NA	7013	0.04522173851728439	0.038900714	No	
row_51	NOL3	NA	7032	0.044991813600063324	0.04196755	No	
row_52	AGRN	NA	7115	0.04333934560418129	0.04072896	No	
row_53	HOMER1	NA	7134	0.04298483952879906	0.043606926	No	
row_54	POLR3K	NA	7416	0.03756113350391388	0.02892093	No	
row_55	CDK1	NA	7427	0.03733104467391968	0.031785578	No	
row_56	EGLN3	NA	7449	0.037047576159238815	0.033910286	No	
row_57	ELF3	NA	7564	0.03505624458193779	0.029817251	No	
row_58	STC2	NA	7588	0.03466710448265076	0.031588256	No	
row_59	BPNT1	NA	7603	0.034385234117507935	0.033916317	No	
row_60	GLCE	NA	7634	0.03363775461912155	0.035136558	No	
row_61	TPST1	NA	7650	0.033389437943696976	0.037306067	No	
row_62	CAPN5	NA	7699	0.03246064856648445	0.037248373	No	
row_63	CLN6	NA	7717	0.03217573091387749	0.03917398	No	
row_64	GALE	NA	7724	0.03206269443035126	0.041802216	No	
row_65	EXT1	NA	7727	0.03202803432941437	0.04468656	No	
row_66	GPC1	NA	7791	0.03063303232192993	0.043484237	No	
row_67	BIK	NA	7852	0.029487060382962227	0.042368602	No	
row_68	SRD5A3	NA	7995	0.026761658489704132	0.035679407	No	
row_69	GOT1	NA	8052	0.025672072544693947	0.03446413	No	
row_70	SLC25A13	NA	8062	0.02556457556784153	0.036286324	No	
row_71	ABCB6	NA	8107	0.02503577619791031	0.035789274	No	
row_72	CHPF	NA	8240	0.022897938266396523	0.029384905	No	
row_73	KDELR3	NA	8266	0.022383570671081543	0.029870272	No	
row_74	RPE	NA	8353	0.020649045705795288	0.026237022	No	
row_75	PLOD2	NA	8404	0.019919881597161293	0.02486948	No	
row_76	GNE	NA	8452	0.019219838082790375	0.023630587	No	
row_77	FKBP4	NA	8462	0.019124513491988182	0.024846736	No	
row_78	CASP6	NA	8588	0.01735248789191246	0.018374404	No	
row_79	CTH	NA	8659	0.016139524057507515	0.01535426	No	
row_80	PGM2	NA	8669	0.015934543684124947	0.016270215	No	
row_81	ANG	NA	8784	0.013973664492368698	0.010193182	No	
row_82	SLC35A3	NA	8929	0.011158622801303864	0.0019059649	No	
row_83	NT5E	NA	9035	0.00971792358905077	-0.003987976	No	
row_84	IDUA	NA	9045	0.00961785577237606	-0.00366646	No	
row_85	LHPP	NA	9048	0.009525611996650696	-0.0028997278	No	
row_86	B3GAT3	NA	9298	0.005914023146033287	-0.01848895	No	
row_87	CHST2	NA	9314	0.005665349308401346	-0.018928442	No	
row_88	B4GALT7	NA	9392	0.004545620642602444	-0.02349354	No	
row_89	SAP30	NA	9456	0.0037537007592618465	-0.027225366	No	
row_90	GMPPA	NA	9551	0.0022467966191470623	-0.033109117	No	
row_91	MXI1	NA	9613	0.0012398017570376396	-0.036947835	No	
row_92	PAM	NA	9646	7.91932747233659E-4	-0.038948268	No	
row_93	PPP2CB	NA	9663	4.8897071974352E-4	-0.03993973	No	
row_94	AK3	NA	9691	1.0634376667439938E-4	-0.041680466	No	
row_95	NDUFV3	NA	9853	-0.0022727560717612505	-0.05190622	No	
row_96	IDH1	NA	10041	-0.004789977800101042	-0.06358099	No	
row_97	GUSB	NA	10064	-0.005313830450177193	-0.06450746	No	
row_98	AGL	NA	10069	-0.005344189703464508	-0.06426391	No	
row_99	ISG20	NA	10153	-0.006456386297941208	-0.06903825	No	
row_100	B4GALT4	NA	10228	-0.007452212739735842	-0.07313529	No	
row_101	ALG1	NA	10272	-0.008054247125983238	-0.07516556	No	
row_102	QSOX1	NA	10603	-0.012203497812151909	-0.09541514	No	
row_103	RARS1	NA	10612	-0.012324253097176552	-0.0947741	No	
row_104	PMM2	NA	10671	-0.013116667047142982	-0.0973006	No	
row_105	GALK2	NA	10680	-0.013211534358561039	-0.09657606	No	
row_106	IGFBP3	NA	10731	-0.013854059390723705	-0.09851442	No	
row_107	HS2ST1	NA	10983	-0.01736980304121971	-0.113155276	No	
row_108	GNPDA1	NA	11004	-0.017604604363441467	-0.11279543	No	
row_109	PFKP	NA	11050	-0.018045460805296898	-0.11401515	No	
row_110	NSDHL	NA	11147	-0.019368337467312813	-0.118417345	No	
row_111	GFPT1	NA	11238	-0.020830471068620682	-0.12229289	No	
row_112	GALK1	NA	11289	-0.021566785871982574	-0.12350545	No	
row_113	GFUS	NA	11294	-0.02159479446709156	-0.12173262	No	
row_114	XYLT2	NA	11315	-0.021810069680213928	-0.120977014	No	
row_115	PHKA2	NA	11323	-0.021866997703909874	-0.11937309	No	
row_116	PRPS1	NA	11520	-0.024893924593925476	-0.12973954	No	
row_117	GOT2	NA	11571	-0.025483064353466034	-0.13058355	No	
row_118	COG2	NA	11687	-0.02727549336850643	-0.13547365	No	
row_119	PYGL	NA	11962	-0.030853228643536568	-0.150337	No	
row_120	GYS1	NA	11997	-0.03123292699456215	-0.14960244	No	
row_121	PSMC4	NA	12030	-0.03173811361193657	-0.14869066	No	
row_122	CYB5A	NA	12033	-0.03177562355995178	-0.14583007	No	
row_123	PDK3	NA	12080	-0.03237980231642723	-0.14576568	No	
row_124	GMPPB	NA	12114	-0.03284723684191704	-0.14481436	No	
row_125	ALDH9A1	NA	12161	-0.03356979414820671	-0.14463799	No	
row_126	ME2	NA	12204	-0.034062378108501434	-0.1441559	No	
row_127	FAM162A	NA	12445	-0.037745047360658646	-0.15616605	No	
row_128	HK2	NA	12496	-0.03856858238577843	-0.15577863	No	
row_129	CHPF2	NA	12502	-0.03863510861992836	-0.15246706	No	
row_130	EXT2	NA	12517	-0.03874041140079498	-0.14972915	No	
row_131	SDHC	NA	12569	-0.03959454596042633	-0.14931002	No	
row_132	VCAN	NA	12573	-0.03964003920555115	-0.14577419	No	
row_133	ERO1A	NA	12663	-0.04098616540431976	-0.14768812	No	
row_134	GCLC	NA	12747	-0.042228806763887405	-0.14909606	No	
row_135	KIF2A	NA	13083	-0.04724131524562836	-0.16637258	No	
row_136	HAX1	NA	13142	-0.04823382571339607	-0.16559435	No	
row_137	IRS2	NA	13282	-0.050684861838817596	-0.16983771	Yes	
row_138	ECD	NA	13287	-0.050890080630779266	-0.16530801	Yes	
row_139	P4HA1	NA	13356	-0.05218805372714996	-0.1648061	Yes	
row_140	PLOD1	NA	13408	-0.05316683650016785	-0.16310973	Yes	
row_141	CHST12	NA	13586	-0.05618518963456154	-0.16929948	Yes	
row_142	ANKZF1	NA	13617	-0.057009704411029816	-0.16587982	Yes	
row_143	NANP	NA	13653	-0.05750138685107231	-0.16273807	Yes	
row_144	PYGB	NA	13794	-0.060463447123765945	-0.16612604	Yes	
row_145	TGFBI	NA	13839	-0.061094980686903	-0.1632297	Yes	
row_146	AKR1A1	NA	13849	-0.061188872903585434	-0.15805505	Yes	
row_147	UGP2	NA	13881	-0.06169877573847771	-0.15425894	Yes	
row_148	B4GALT1	NA	13904	-0.062281932681798935	-0.14982437	Yes	
row_149	IL13RA1	NA	13931	-0.06288308650255203	-0.1455926	Yes	
row_150	COPB2	NA	13944	-0.06312654912471771	-0.14043012	Yes	
