NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	L1CAM	NA	77	0.24401433765888214	0.09371084	Yes	
row_1	UNC5C	NA	1570	0.15214134752750397	0.05938515	Yes	
row_2	CNTFR	NA	2728	0.13062192499637604	0.03787749	Yes	
row_3	PLG	NA	2800	0.12945623695850372	0.085657015	Yes	
row_4	CRMP1	NA	2806	0.12936116755008698	0.13763757	Yes	
row_5	SLIT1	NA	3040	0.1253347247838974	0.17334476	Yes	
row_6	THY1	NA	3375	0.11988072097301483	0.20035921	Yes	
row_7	NRCAM	NA	3394	0.1195087805390358	0.24752131	Yes	
row_8	HEY1	NA	4278	0.10331566631793976	0.23257373	Yes	
row_9	AMOT	NA	4412	0.10071098059415817	0.26474878	Yes	
row_10	GLI1	NA	4427	0.10039496421813965	0.30443996	Yes	
row_11	NRP2	NA	4834	0.09227815270423889	0.3156696	Yes	
row_12	NKX6-1	NA	4846	0.09198834747076035	0.35215464	Yes	
row_13	HEY2	NA	4961	0.08966530859470367	0.3810843	Yes	
row_14	SCG2	NA	5398	0.0803433507680893	0.3855616	Yes	
row_15	CDK5R1	NA	5437	0.07933102548122406	0.4151948	Yes	
row_16	VLDLR	NA	6025	0.06713621318340302	0.40463296	Yes	
row_17	SHH	NA	6095	0.06565447896718979	0.4267454	Yes	
row_18	CDK6	NA	8626	0.016674555838108063	0.2709742	No	
row_19	OPHN1	NA	9179	0.007734932936728001	0.23864415	No	
row_20	PML	NA	9915	-0.003006442915648222	0.19264744	No	
row_21	NRP1	NA	10631	-0.012571237049996853	0.15180254	No	
row_22	RTN1	NA	10994	-0.01748800463974476	0.13562025	No	
row_23	PTCH1	NA	11872	-0.0297035314142704	0.091296114	No	
row_24	LDB1	NA	11967	-0.030942687764763832	0.097768456	No	
row_25	ETS2	NA	12050	-0.03194665163755417	0.10541752	No	
row_26	ADGRG1	NA	12992	-0.04580303281545639	0.06349154	No	
row_27	NF1	NA	13027	-0.04638456553220749	0.08006121	No	
row_28	RASA1	NA	13441	-0.053520653396844864	0.07517125	No	
row_29	TLE1	NA	14523	-0.07723116874694824	0.036959097	No	
row_30	DPYSL2	NA	14595	-0.07921819388866425	0.06442699	No	
