NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBZ	NA	155	0.21924130618572235	0.009419395	No	
row_1	TYR	NA	231	0.20578521490097046	0.022832682	No	
row_2	ACKR1	NA	928	0.16833461821079254	-0.0073606377	No	
row_3	CLIC2	NA	1206	0.16093583405017853	-0.011033335	No	
row_4	GYPE	NA	1458	0.1548537015914917	-0.013559803	No	
row_5	RHAG	NA	1569	0.15221966803073883	-0.0071744816	No	
row_6	SLC30A10	NA	1697	0.14931748807430267	-0.002149613	No	
row_7	AHSP	NA	1704	0.1490970104932785	0.010704151	No	
row_8	GYPA	NA	1777	0.1476527601480484	0.019148648	No	
row_9	CTSE	NA	2113	0.1413382738828659	0.009973195	No	
row_10	GATA1	NA	2337	0.13716360926628113	0.0076916525	No	
row_11	KLF1	NA	2606	0.13260143995285034	0.0020860375	No	
row_12	GYPB	NA	2669	0.13160741329193115	0.009754005	No	
row_13	ALAS2	NA	2759	0.13013525307178497	0.0155399	No	
row_14	TSPO2	NA	3288	0.12121064960956573	-0.007941956	No	
row_15	ICAM4	NA	3358	0.12014416605234146	-0.0017462104	No	
row_16	ALDH1L1	NA	3507	0.11756934970617294	-9.0337574E-4	No	
row_17	HBQ1	NA	3545	0.11665314435958862	0.0070579248	No	
row_18	EPB42	NA	3629	0.11511369794607162	0.011898772	No	
row_19	C3	NA	3900	0.1102982610464096	0.0041824384	No	
row_20	SLC6A8	NA	3908	0.11018861085176468	0.013515457	No	
row_21	SLC6A9	NA	4118	0.10641711205244064	0.009411067	No	
row_22	FN3K	NA	4156	0.10569954663515091	0.016399458	No	
row_23	MYL4	NA	4192	0.10499174892902374	0.023454709	No	
row_24	ABCG2	NA	4442	0.10013647377490997	0.016197927	No	
row_25	P4HA2	NA	4463	0.09958761930465698	0.023746131	No	
row_26	RHCE	NA	4653	0.09601253271102905	0.020014865	No	
row_27	ADD2	NA	4860	0.09157263487577438	0.014786566	No	
row_28	RAP1GAP	NA	4870	0.09142597764730453	0.02232334	No	
row_29	ANK1	NA	4889	0.09115913510322571	0.029252643	No	
row_30	SPTB	NA	4923	0.090410515666008	0.0351425	No	
row_31	SLC7A11	NA	4951	0.08990287035703659	0.04137645	No	
row_32	XK	NA	5033	0.0879589170217514	0.04393511	No	
row_33	CA1	NA	5054	0.08756837248802185	0.05041575	No	
row_34	SLC4A1	NA	5263	0.08357372134923935	0.044347253	No	
row_35	IGSF3	NA	5979	0.0681925043463707	0.0040268037	No	
row_36	LMO2	NA	6003	0.06759705394506454	0.008538982	No	
row_37	TNS1	NA	6102	0.06539210677146912	0.007990555	No	
row_38	TAL1	NA	6174	0.06374309211969376	0.009046974	No	
row_39	BCAM	NA	6281	0.06140846759080887	0.007625809	No	
row_40	MFHAS1	NA	6488	0.056860584765672684	-6.8565016E-4	No	
row_41	PDZK1IP1	NA	6490	0.05673883110284805	0.0042890855	No	
row_42	PC	NA	6808	0.050023213028907776	-0.01182952	No	
row_43	EPOR	NA	6852	0.04882720485329628	-0.010281767	No	
row_44	TMCC2	NA	6858	0.04864838719367981	-0.0062850863	No	
row_45	MOSPD1	NA	7039	0.04492119327187538	-0.013970563	No	
row_46	ATG4A	NA	7236	0.040945153683423996	-0.023047013	No	
row_47	BTRC	NA	7264	0.040430840104818344	-0.021207219	No	
row_48	TOP1	NA	7295	0.039905618876218796	-0.019608665	No	
row_49	SNCA	NA	7329	0.03927118331193924	-0.018261055	No	
row_50	MOCOS	NA	7330	0.039266183972358704	-0.014773392	No	
row_51	ELL2	NA	7436	0.037189267575740814	-0.018280867	No	
row_52	PPP2R5B	NA	7440	0.03713851422071457	-0.015176779	No	
row_53	PIGQ	NA	7657	0.033284302800893784	-0.02623094	No	
row_54	GYPC	NA	7986	0.026905981823801994	-0.04511634	No	
row_55	RNF19A	NA	8032	0.025994427502155304	-0.045726344	No	
row_56	DMTN	NA	8044	0.025834761559963226	-0.044145174	No	
row_57	ABCB6	NA	8107	0.02503577619791031	-0.045943003	No	
row_58	SLC66A2	NA	8113	0.024935349822044373	-0.04405254	No	
row_59	DAAM1	NA	8129	0.024704666808247566	-0.042831197	No	
