NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GBP6	NA	698	0.17572946846485138	-0.029058486	No	
row_1	VCAM1	NA	753	0.1735285222530365	-0.01655602	No	
row_2	CCL7	NA	871	0.17030569911003113	-0.008436396	No	
row_3	C1S	NA	1744	0.1481466293334961	-0.051322874	No	
row_4	CFH	NA	1975	0.14419196546077728	-0.052939847	No	
row_5	TNFAIP6	NA	2141	0.14072920382022858	-0.050660882	No	
row_6	IDO1	NA	2232	0.13895829021930695	-0.043681435	No	
row_7	METTL7B	NA	2648	0.13190852105617523	-0.05842871	No	
row_8	CCL2	NA	2836	0.12884466350078583	-0.058672566	No	
row_9	BATF2	NA	3010	0.12582944333553314	-0.058286604	No	
row_10	CXCL11	NA	3624	0.11519744247198105	-0.08741559	No	
row_11	P2RY14	NA	4288	0.10314261168241501	-0.12089893	No	
row_12	XCL1	NA	4606	0.09709150344133377	-0.13250197	No	
row_13	SELP	NA	4800	0.09303795546293259	-0.13643736	No	
row_14	IL6	NA	4882	0.09123025834560394	-0.13327618	No	
row_15	C1R	NA	4988	0.08914820104837418	-0.13186345	No	
row_16	CD38	NA	5131	0.08612140268087387	-0.13312934	No	
row_17	IFIT1	NA	5563	0.07645642012357712	-0.15402853	No	
row_18	NLRC5	NA	5586	0.07596974074840546	-0.14844862	No	
row_19	PLA2G4A	NA	5636	0.07498075067996979	-0.1447109	No	
row_20	RSAD2	NA	5699	0.07370949536561966	-0.14193347	No	
row_21	SERPING1	NA	5774	0.07208001613616943	-0.14008455	No	
row_22	EPSTI1	NA	5813	0.07133231312036514	-0.13596995	No	
row_23	IRF4	NA	5847	0.07064095139503479	-0.13159487	No	
row_24	CXCL9	NA	6211	0.06295731663703918	-0.14932922	No	
row_25	IFI35	NA	6218	0.06278461962938309	-0.14392774	No	
row_26	SSPN	NA	6272	0.06154267489910126	-0.1416888	No	
row_27	FCGR1A	NA	6482	0.05701350420713425	-0.1499843	No	
row_28	RTP4	NA	6510	0.05629061535000801	-0.14654364	No	
row_29	CXCL10	NA	6705	0.052045971155166626	-0.15432453	No	
row_30	XAF1	NA	6769	0.050754912197589874	-0.15372905	No	
row_31	CD40	NA	6982	0.04589297994971275	-0.16324475	No	
row_32	IL7	NA	7036	0.04496733099222183	-0.16253455	No	
row_33	DHX58	NA	7057	0.04462789371609688	-0.15971556	No	
row_34	CMKLR1	NA	7240	0.04091595858335495	-0.16774477	No	
row_35	CASP1	NA	7345	0.038873009383678436	-0.17090403	No	
row_36	LCP2	NA	7346	0.038870640099048615	-0.16731901	No	
row_37	VAMP5	NA	7486	0.03629866614937782	-0.17298548	No	
row_38	PNPT1	NA	7580	0.034755051136016846	-0.17581117	No	
row_39	ST8SIA4	NA	7771	0.030988404527306557	-0.1852748	No	
row_40	HELZ2	NA	7836	0.02975887805223465	-0.18668061	No	
row_41	IL18BP	NA	7849	0.02954438142478466	-0.18473396	No	
row_42	ZBP1	NA	7906	0.02851022034883499	-0.18573613	No	
row_43	ITGB7	NA	8267	0.02238180674612522	-0.20701818	No	
row_44	RIPK1	NA	8301	0.021639233455061913	-0.20716248	No	
row_45	IFIT3	NA	8578	0.017486898228526115	-0.22344851	No	
row_46	APOL6	NA	8603	0.017028216272592545	-0.22343443	No	
row_47	TRIM21	NA	8614	0.01686844974756241	-0.22252718	No	
row_48	CASP7	NA	8615	0.01685476303100586	-0.22097267	No	
row_49	IL15RA	NA	8634	0.016551809385418892	-0.22061343	No	
row_50	CD274	NA	8638	0.016461513936519623	-0.21928975	No	
row_51	CSF2RB	NA	8674	0.015817398205399513	-0.2201007	No	
row_52	BST2	NA	8728	0.014737008139491081	-0.22217861	No	
row_53	IFIT2	NA	8798	0.013825328089296818	-0.22537822	No	
row_54	CASP3	NA	8938	0.011027348227798939	-0.23337545	No	
row_55	HERC6	NA	9073	0.009081256575882435	-0.2412279	No	
row_56	PTGS2	NA	9141	0.008132942020893097	-0.24482282	No	
row_57	FPR1	NA	9183	0.007622877601534128	-0.24677864	No	
row_58	CMPK2	NA	9207	0.007284562569111586	-0.24759836	No	
row_59	SLAMF7	NA	9334	0.005451762583106756	-0.25526676	No	
row_60	IL15	NA	9427	0.004202658776193857	-0.26084542	No	
row_61	OASL	NA	9536	0.002579787513241172	-0.26761138	No	
row_62	CD69	NA	9876	-0.0025647422298789024	-0.28935927	No	
row_63	SAMD9L	NA	9910	-0.0029580083210021257	-0.29122654	No	
row_64	PML	NA	9915	-0.003006442915648222	-0.29120865	No	
row_65	ISG20	NA	10153	-0.006456386297941208	-0.30598283	No	
row_66	LAP3	NA	10234	-0.007494112476706505	-0.31047973	No	
row_67	EIF4E3	NA	10401	-0.009601450525224209	-0.32035944	No	
row_68	BANK1	NA	10491	-0.010694990865886211	-0.32514477	No	
row_69	GPR18	NA	10506	-0.010971506126224995	-0.3250408	No	
row_70	DDX60	NA	10702	-0.013472386635839939	-0.33644414	No	
row_71	IFI44L	NA	10736	-0.013897055760025978	-0.3373025	No	
row_72	IL4R	NA	10754	-0.014211967587471008	-0.33709422	No	
row_73	GBP4	NA	10761	-0.014300448819994926	-0.3361644	No	
row_74	LGALS3BP	NA	10772	-0.014489548280835152	-0.33547655	No	
row_75	CD86	NA	10783	-0.014653504826128483	-0.33477357	No	
row_76	IRF8	NA	10831	-0.01536500919610262	-0.33640447	No	
row_77	MX2	NA	10880	-0.01596936769783497	-0.33804446	No	
row_78	CMTR1	NA	10968	-0.01703578606247902	-0.34211528	No	
row_79	IL2RB	NA	10973	-0.01713702082633972	-0.34079415	No	
row_80	ISOC1	NA	10987	-0.017414292320609093	-0.34003112	No	
row_81	PLSCR1	NA	11031	-0.017889581620693207	-0.34116974	No	
row_82	PFKP	NA	11050	-0.018045460805296898	-0.34067276	No	
row_83	LATS2	NA	11096	-0.018680831417441368	-0.3418681	No	
row_84	PDE4B	NA	11142	-0.019283175468444824	-0.34300792	No	
row_85	BPGM	NA	11279	-0.02142629586160183	-0.34985152	No	
row_86	LYSMD2	NA	11283	-0.02144581824541092	-0.34806812	No	
row_87	TDRD7	NA	11312	-0.02178564853966236	-0.34787467	No	
row_88	NOD1	NA	11361	-0.022609766572713852	-0.34890223	No	
row_89	SOCS1	NA	11623	-0.026253435760736465	-0.363407	No	
row_90	IRF5	NA	11742	-0.028019530698657036	-0.36847514	No	
row_91	B2M	NA	11851	-0.0295175239443779	-0.37275666	No	
row_92	GCH1	NA	11900	-0.030048241838812828	-0.37309816	No	
row_93	ST3GAL5	NA	11928	-0.030513761565089226	-0.37203488	No	
row_94	CASP8	NA	12074	-0.03227000683546066	-0.37846202	No	
row_95	IFIH1	NA	12129	-0.03304338455200195	-0.37891638	No	
row_96	IFI44	NA	12134	-0.03310241177678108	-0.3761228	No	
row_97	CIITA	NA	12146	-0.03334958478808403	-0.37376034	No	
row_98	SPPL2A	NA	12177	-0.0337352491915226	-0.37259448	No	
row_99	TRIM25	NA	12179	-0.033738311380147934	-0.36954767	No	
row_100	TRAFD1	NA	12195	-0.03394322842359543	-0.3673899	No	
row_101	MX1	NA	12234	-0.03448536992073059	-0.36667365	No	
row_102	IFNAR2	NA	12290	-0.0353051982820034	-0.36698428	No	
row_103	MARCHF1	NA	12347	-0.0360167920589447	-0.36729413	No	
row_104	PELI1	NA	12439	-0.037671495229005814	-0.36972114	No	
row_105	IRF1	NA	12787	-0.042889732867479324	-0.38826868	Yes	
row_106	UPP1	NA	12792	-0.04297615587711334	-0.38456443	Yes	
row_107	STAT4	NA	12803	-0.043148741126060486	-0.38123336	Yes	
row_108	SECTM1	NA	12873	-0.0439525842666626	-0.38165435	Yes	
row_109	SLC25A28	NA	12993	-0.04580345377326012	-0.38514718	Yes	
row_110	OAS3	NA	13055	-0.04684460908174515	-0.38478264	Yes	
row_111	PSMB2	NA	13124	-0.04801372066140175	-0.38476422	Yes	
row_112	OAS2	NA	13158	-0.048538412898778915	-0.38242763	Yes	
row_113	NFKB1	NA	13162	-0.04856422170996666	-0.37814316	Yes	
row_114	EIF2AK2	NA	13167	-0.048653583973646164	-0.37391528	Yes	
row_115	AUTS2	NA	13183	-0.04892558231949806	-0.37037566	Yes	
row_116	PIM1	NA	13184	-0.04894351214170456	-0.36586162	Yes	
row_117	PARP12	NA	13298	-0.05118795111775398	-0.36846876	Yes	
row_118	ARL4A	NA	13334	-0.05178385600447655	-0.36596254	Yes	
row_119	GZMA	NA	13345	-0.051958031952381134	-0.361819	Yes	
row_120	STAT1	NA	13407	-0.05314519628882408	-0.36087337	Yes	
row_121	ZNFX1	NA	13437	-0.053476009517908096	-0.35782197	Yes	
row_122	JAK2	NA	13499	-0.054598670452833176	-0.3567423	Yes	
row_123	SP110	NA	13505	-0.05471339821815491	-0.35202035	Yes	
row_124	PTPN1	NA	13511	-0.054813507944345474	-0.3472892	Yes	
row_125	PSMA2	NA	13654	-0.05753643065690994	-0.3511915	Yes	
row_126	KLRK1	NA	13658	-0.0576297827064991	-0.3460709	Yes	
row_127	TNFAIP2	NA	13690	-0.05837603658437729	-0.3426973	Yes	
row_128	SRI	NA	13775	-0.060066577047109604	-0.34260485	Yes	
row_129	TRIM14	NA	13813	-0.06065602973103523	-0.33941007	Yes	
row_130	MT2A	NA	13870	-0.06149739399552345	-0.33736986	Yes	
row_131	TOR1B	NA	13928	-0.06277014315128326	-0.3352771	Yes	
row_132	NMI	NA	13954	-0.0633571669459343	-0.331055	Yes	
row_133	USP18	NA	13986	-0.06399580091238022	-0.32716307	Yes	
row_134	MVP	NA	14085	-0.06613997370004654	-0.32741842	Yes	
row_135	PTPN6	NA	14102	-0.0663958415389061	-0.3223324	Yes	
row_136	RBCK1	NA	14112	-0.0668816864490509	-0.3167476	Yes	
row_137	CASP4	NA	14152	-0.06775716692209244	-0.3130276	Yes	
row_138	NUP93	NA	14263	-0.070416659116745	-0.3136667	Yes	
row_139	IFITM2	NA	14316	-0.07188989222049713	-0.3104086	Yes	
row_140	IRF9	NA	14397	-0.07361471652984619	-0.30880722	Yes	
row_141	FAS	NA	14444	-0.07478822767734528	-0.30489272	Yes	
row_142	PARP14	NA	14477	-0.07591715455055237	-0.29996616	Yes	
row_143	IFITM3	NA	14480	-0.07599671185016632	-0.29308674	Yes	
row_144	RIPK2	NA	14542	-0.07758702337741852	-0.28988683	Yes	
row_145	PNP	NA	14572	-0.07861191034317017	-0.2845172	Yes	
row_146	ADAR	NA	14598	-0.07937454432249069	-0.2788178	Yes	
row_147	MTHFD2	NA	14705	-0.08273845165967941	-0.2780611	Yes	
row_148	IRF2	NA	14752	-0.08452446758747101	-0.27324858	Yes	
row_149	NCOA3	NA	14788	-0.08581504225730896	-0.26760373	Yes	
row_150	PTPN2	NA	14804	-0.08621808141469955	-0.26062465	Yes	
row_151	RAPGEF6	NA	14839	-0.08755319565534592	-0.2547546	Yes	
row_152	MYD88	NA	14870	-0.08850410580635071	-0.24853747	Yes	
row_153	PSMA3	NA	14890	-0.08939836919307709	-0.24152447	Yes	
row_154	CDKN1A	NA	14915	-0.09059035778045654	-0.23472582	Yes	
row_155	NAMPT	NA	15126	-0.10204490274190903	-0.23893297	Yes	
row_156	VAMP8	NA	15153	-0.10383672267198563	-0.2310423	Yes	
row_157	UBE2L6	NA	15170	-0.10545646399259567	-0.22235374	Yes	
row_158	HIF1A	NA	15196	-0.10746732354164124	-0.21406338	Yes	
row_159	TNFAIP3	NA	15210	-0.10855048894882202	-0.2048949	Yes	
row_160	WARS1	NA	15244	-0.11135291308164597	-0.19676498	Yes	
row_161	STAT3	NA	15253	-0.1123669445514679	-0.18692027	Yes	
row_162	FGL2	NA	15280	-0.11432354152202606	-0.17806241	Yes	
row_163	BTG1	NA	15283	-0.114455446600914	-0.16763596	Yes	
row_164	TNFSF10	NA	15302	-0.11626733839511871	-0.15808003	Yes	
row_165	IL10RA	NA	15306	-0.1163984090089798	-0.14753924	Yes	
row_166	RNF213	NA	15307	-0.11639953404664993	-0.13680379	Yes	
row_167	ICAM1	NA	15380	-0.1256631463766098	-0.12988323	Yes	
