NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROP1	NA	78	0.2424742877483368	0.008810206	Yes	
row_1	CLPS	NA	108	0.22891587018966675	0.02002074	Yes	
row_2	SMPX	NA	116	0.22775939106941223	0.032590937	Yes	
row_3	CACNA1F	NA	123	0.2255443036556244	0.045099277	Yes	
row_4	FGF16	NA	165	0.21758022904396057	0.054883905	Yes	
row_5	NPHS1	NA	226	0.20645864307880402	0.062801205	Yes	
row_6	KCND1	NA	261	0.20288804173469543	0.07219936	Yes	
row_7	SLC6A14	NA	320	0.19695709645748138	0.07970295	Yes	
row_8	NTF3	NA	361	0.19400858879089355	0.0882045	Yes	
row_9	TEX15	NA	393	0.19120624661445618	0.097129084	Yes	
row_10	DCC	NA	415	0.18981893360614777	0.10662243	Yes	
row_11	CDH16	NA	440	0.1883014589548111	0.11583457	Yes	
row_12	OXT	NA	490	0.18504156172275543	0.12324008	Yes	
row_13	SCGB1A1	NA	504	0.18410862982273102	0.13292536	Yes	
row_14	PAX3	NA	562	0.18106716871261597	0.13958514	Yes	
row_15	KCNE2	NA	617	0.17881254851818085	0.14631042	Yes	
row_16	CPA2	NA	628	0.1785275787115097	0.15587099	Yes	
row_17	RGS11	NA	664	0.17694546282291412	0.16372088	Yes	
row_18	CD207	NA	711	0.1753457486629486	0.17076638	Yes	
row_19	LGALS7	NA	737	0.17424364387989044	0.17910986	Yes	
row_20	ARPP21	NA	769	0.17307153344154358	0.18699744	Yes	
row_21	GRID2	NA	850	0.1711285263299942	0.19159831	Yes	
row_22	ITIH3	NA	882	0.169893279671669	0.19930416	Yes	
row_23	SLC30A3	NA	949	0.16777028143405914	0.2046203	Yes	
row_24	GPR19	NA	1028	0.16568540036678314	0.20903952	Yes	
row_25	TENM2	NA	1063	0.16483581066131592	0.21626176	Yes	
row_26	ITGB1BP2	NA	1082	0.16417786478996277	0.22448331	Yes	
row_27	CYP11B2	NA	1186	0.16128525137901306	0.2270307	Yes	
row_28	BRDT	NA	1227	0.1604192852973938	0.23361152	Yes	
row_29	CACNG1	NA	1251	0.15989814698696136	0.2412643	Yes	
row_30	CAPN9	NA	1302	0.15842528641223907	0.24708302	Yes	
row_31	MYH7	NA	1454	0.1549191176891327	0.24615556	Yes	
row_32	SCN10A	NA	1455	0.15491236746311188	0.25501385	Yes	
row_33	RYR2	NA	1535	0.15297818183898926	0.25864163	Yes	
row_34	SHOX2	NA	1598	0.15139323472976685	0.26328054	Yes	
row_35	CKM	NA	1671	0.1499013453722	0.26718602	Yes	
