NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MALL	NA	10	0.3072560727596283	0.02167363	Yes	
row_1	GABRA3	NA	94	0.2354324758052826	0.033395488	Yes	
row_2	CFHR2	NA	179	0.21456114947795868	0.043536197	Yes	
row_3	PRRX1	NA	182	0.21427705883979797	0.058973692	Yes	
row_4	SPARCL1	NA	225	0.20657230913639069	0.07125758	Yes	
row_5	HSD11B1	NA	635	0.1779954582452774	0.057666637	Yes	
row_6	ANXA10	NA	656	0.17730942368507385	0.0692512	Yes	
row_7	IL1RL2	NA	801	0.17228661477565765	0.07242987	Yes	
row_8	NR1H4	NA	1193	0.1611710786819458	0.05878389	Yes	
row_9	CSF2	NA	1252	0.15986159443855286	0.066636704	Yes	
row_10	ADGRL4	NA	1313	0.15829874575138092	0.07424628	Yes	
row_11	ANO1	NA	1336	0.15785697102546692	0.084287934	Yes	
row_12	SERPINA3	NA	1360	0.15737728774547577	0.09422989	Yes	
row_13	NR0B2	NA	1363	0.15733499825000763	0.10553055	Yes	
row_14	RBP4	NA	1414	0.15589050948619843	0.11361364	Yes	
row_15	PIGR	NA	1426	0.15568862855434418	0.12421108	Yes	
row_16	PCSK1N	NA	1482	0.1542835235595703	0.13185318	Yes	
row_17	TMEM100	NA	1484	0.1542348712682724	0.14299347	Yes	
row_18	SPP1	NA	1656	0.15022099018096924	0.14281823	Yes	
row_19	IL33	NA	1691	0.1494569182395935	0.15147145	Yes	
row_20	PDCD1LG2	NA	1877	0.1458088904619217	0.15006782	Yes	
row_21	PLAT	NA	1969	0.14435026049613953	0.15465379	Yes	
row_22	CFH	NA	1975	0.14419196546077728	0.16480508	Yes	
row_23	PLAU	NA	2034	0.14306685328483582	0.17143776	Yes	
row_24	PLVAP	NA	2040	0.1429929882287979	0.18150194	Yes	
row_25	APOD	NA	2054	0.14264224469661713	0.19102186	Yes	
row_26	ADGRA2	NA	2162	0.14027728140354156	0.1942744	Yes	
row_27	SPON1	NA	2292	0.1380508840084076	0.19593854	Yes	
row_28	SCG3	NA	2339	0.1371491402387619	0.20291945	Yes	
row_29	PRKG2	NA	2344	0.13710622489452362	0.21262081	Yes	
row_30	ITGBL1	NA	2366	0.1367800235748291	0.22119607	Yes	
row_31	TSPAN7	NA	2388	0.13636131584644318	0.22974092	Yes	
row_32	INHBA	NA	2390	0.1363041251897812	0.23957855	Yes	
row_33	CIDEA	NA	2435	0.1354852318763733	0.24656828	Yes	
row_34	GPNMB	NA	2536	0.13368172943592072	0.24979556	Yes	
row_35	TPH1	NA	2737	0.13045185804367065	0.24630353	Yes	
row_36	MMP9	NA	2819	0.1290966421365738	0.2504298	Yes	
row_37	PCP4	NA	3045	0.1252792924642563	0.24494083	Yes	
row_38	MYCN	NA	3137	0.12377107888460159	0.24803174	Yes	
row_39	ALDH1A2	NA	3297	0.12107507884502411	0.2465172	Yes	
row_40	BMP2	NA	3313	0.12089572846889496	0.25432757	Yes	
row_41	SLPI	NA	3469	0.11825428903102875	0.2528675	Yes	
row_42	NGF	NA	3505	0.11758574098348618	0.25914043	Yes	
row_43	ADAMDEC1	NA	3513	0.11748547106981277	0.2672218	Yes	
row_44	TNNT2	NA	3553	0.11656533181667328	0.27316123	Yes	
row_45	LIF	NA	3645	0.11482226848602295	0.275602	Yes	
row_46	PTPRR	NA	3750	0.11295891553163528	0.27706438	Yes	
row_47	CPE	NA	3752	0.11291643232107162	0.28520292	Yes	
row_48	RGS16	NA	3818	0.11186575144529343	0.2891149	Yes	
row_49	TFPI	NA	3970	0.10870052874088287	0.28722012	Yes	
row_50	SNAP25	NA	3984	0.10845053941011429	0.29425603	Yes	
row_51	USH1C	NA	3990	0.10839645564556122	0.30180678	Yes	
row_52	GFPT2	NA	4165	0.10545983910560608	0.2981851	Yes	
row_53	ETV1	NA	4198	0.10491941124200821	0.3037324	Yes	
row_54	PEG3	NA	4201	0.10482946783304214	0.31121853	Yes	
row_55	LY96	NA	4357	0.10184703022241592	0.30856648	No	
row_56	BTC	NA	4443	0.1000896468758583	0.310326	No	
row_57	ACE	NA	4714	0.09471948444843292	0.29969877	No	
row_58	CCL20	NA	4751	0.09396051615476608	0.30419052	No	
row_59	HKDC1	NA	4858	0.09160976856946945	0.30397218	No	
row_60	ALDH1A3	NA	4952	0.0898323580622673	0.30446777	No	
row_61	ETV4	NA	5023	0.08829709142446518	0.30634326	No	
row_62	TSPAN1	NA	5232	0.08397878706455231	0.29895622	No	
row_63	SOX9	NA	5319	0.0823085755109787	0.2993591	No	
row_64	SNAP91	NA	5520	0.07749246060848236	0.29201958	No	
row_65	MAP7	NA	5565	0.07645219564437866	0.29472056	No	
row_66	ABCB1	NA	5572	0.0763758048415184	0.29988018	No	
row_67	ANGPTL4	NA	5698	0.07372546941041946	0.2971305	No	
row_68	MMP10	NA	5752	0.07245848327875137	0.2989577	No	
row_69	WNT7A	NA	5983	0.06805617362260818	0.28898725	No	
row_70	AMMECR1	NA	6238	0.06232336536049843	0.277044	No	
row_71	PLEK2	NA	6256	0.06194285675883293	0.28044173	No	
row_72	AKAP12	NA	6283	0.06139037385582924	0.28321573	No	
row_73	CAB39L	NA	6318	0.0607651062309742	0.2854255	No	
row_74	FLT4	NA	6403	0.05853789672255516	0.28423116	No	
row_75	SCN1B	NA	6424	0.05813228338956833	0.28715754	No	
row_76	VWA5A	NA	6487	0.05687996745109558	0.28726935	No	
row_77	TLR8	NA	6571	0.05506320670247078	0.28588742	No	
row_78	DCBLD2	NA	6639	0.053342804312705994	0.28541803	No	
row_79	CXCL10	NA	6705	0.052045971155166626	0.28498414	No	
row_80	ETV5	NA	6756	0.05105980485677719	0.2854513	No	
row_81	GNG11	NA	6981	0.045920468866825104	0.27426174	No	
row_82	ITGA2	NA	6983	0.045857787132263184	0.27752846	No	
row_83	GADD45G	NA	7078	0.044078703969717026	0.2746352	No	
row_84	RETN	NA	7129	0.04304833710193634	0.2745203	No	
row_85	EPHB2	NA	7200	0.041519392281770706	0.27299744	No	
row_86	CMKLR1	NA	7240	0.04091595858335495	0.27344096	No	
row_87	EPB41L3	NA	7244	0.040874041616916656	0.2762159	No	
row_88	GUCY1A1	NA	7246	0.040843527764081955	0.27911833	No	
row_89	KIF5C	NA	7319	0.03938752040266991	0.27731088	No	
row_90	ENG	NA	7640	0.03352697193622589	0.25899568	No	
row_91	EVI5	NA	7749	0.03153735771775246	0.25428343	No	
row_92	GYPC	NA	7986	0.026905981823801994	0.24093433	No	
row_93	CD37	NA	8042	0.025884980335831642	0.23924829	No	
row_94	IKZF1	NA	8045	0.02580895647406578	0.24099362	No	
row_95	PTCD2	NA	8379	0.020318346098065376	0.22087581	No	
row_96	EMP1	NA	8510	0.018360283225774765	0.21377963	No	
row_97	MPZL2	NA	8641	0.01644155941903591	0.20654404	No	
row_98	AVL9	NA	8666	0.015943776816129684	0.20614603	No	
row_99	EREG	NA	8672	0.01582915149629116	0.20697178	No	
row_100	CLEC4A	NA	8762	0.014375743456184864	0.20224482	No	
row_101	FGF9	NA	8810	0.013482625596225262	0.20017654	No	
row_102	PTBP2	NA	8878	0.012080645188689232	0.19670947	No	
row_103	ARG1	NA	8894	0.011654909700155258	0.19658351	No	
row_104	CDADC1	NA	9020	0.009915001690387726	0.189198	No	
row_105	CA2	NA	9046	0.009580648504197598	0.18827286	No	
row_106	IL2RG	NA	9076	0.009046564809978008	0.18704954	No	
row_107	PTGS2	NA	9141	0.008132942020893097	0.18349022	No	
row_108	IL1B	NA	9147	0.008054711855947971	0.18375115	No	
row_109	BTBD3	NA	9281	0.006202159449458122	0.17557713	No	
row_110	ATG10	NA	9366	0.004823203198611736	0.17048043	No	
row_111	TRAF1	NA	9582	0.0017343845684081316	0.1566644	No	
row_112	C3AR1	NA	9595	0.0014871017774567008	0.15599428	No	
row_113	F2RL1	NA	9642	8.549938211217523E-4	0.15307344	No	
row_114	GALNT3	NA	9719	-3.625845711212605E-4	0.14817144	No	
row_115	TMEM176A	NA	9891	-0.0027532936073839664	0.1372827	No	
row_116	FBXO4	NA	9978	-0.003928024787455797	0.13199125	No	
row_117	PECAM1	NA	9990	-0.004066524561494589	0.13157338	No	
row_118	HDAC9	NA	9995	-0.004230515565723181	0.13162133	No	
row_119	CCND2	NA	10059	-0.005230889655649662	0.12791602	No	
row_120	TMEM176B	NA	10174	-0.0066559286788105965	0.121007055	No	
row_121	TOR1AIP2	NA	10396	-0.009491635486483574	0.10736551	No	
row_122	MAP4K1	NA	10438	-0.010099806822836399	0.10544055	No	
row_123	DNMBP	NA	10568	-0.01176134217530489	0.09792979	No	
row_124	NRP1	NA	10631	-0.012571237049996853	0.0948226	No	
row_125	CBR4	NA	10713	-0.013619617559015751	0.09055948	No	
row_126	G0S2	NA	10719	-0.013729383237659931	0.09123269	No	
row_127	IGFBP3	NA	10731	-0.013854059390723705	0.09152587	No	
row_128	IRF8	NA	10831	-0.01536500919610262	0.08622232	No	
row_129	ST6GAL1	NA	10922	-0.016569780185818672	0.081589915	No	
row_130	PRDM1	NA	10961	-0.016951655969023705	0.080357276	No	
row_131	YRDC	NA	11052	-0.018125031143426895	0.07583786	No	
row_132	STRN	NA	11060	-0.018186626955866814	0.07670519	No	
row_133	TSPAN13	NA	11144	-0.01931796967983246	0.07272636	No	
row_134	PPBP	NA	11161	-0.01956833340227604	0.073110454	No	
row_135	BPGM	NA	11279	-0.02142629586160183	0.06708001	No	
row_136	NIN	NA	11596	-0.025929370895028114	0.048472237	No	
row_137	DOCK2	NA	11799	-0.02879883535206318	0.037465446	No	
row_138	FUCA1	NA	11987	-0.031165432184934616	0.02760329	No	
row_139	USP12	NA	12157	-0.03349780663847923	0.019077817	No	
row_140	ADAM17	NA	12261	-0.03491964191198349	0.014935519	No	
row_141	LAT2	NA	12268	-0.034980207681655884	0.017087745	No	
row_142	FCER1G	NA	12447	-0.03780243545770645	0.008291383	No	
row_143	SATB1	NA	12538	-0.039009615778923035	0.0052892272	No	
row_144	AKT2	NA	12541	-0.03909436613321304	0.007999732	No	
row_145	ANKH	NA	12564	-0.03952974081039429	0.009444935	No	
