NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHROOM2	NA	1888	0.14560890197753906	-0.10492888	No	
row_1	MID1	NA	2962	0.12671183049678802	-0.15929109	No	
row_2	RAPGEF5	NA	3968	0.10878019779920578	-0.21139556	No	
row_3	MYH10	NA	4082	0.10696202516555786	-0.20589364	No	
row_4	KIF15	NA	4367	0.10169395059347153	-0.21210864	No	
row_5	DLGAP5	NA	4542	0.098176509141922	-0.21161467	No	
row_6	SYNPO	NA	4683	0.09545949101448059	-0.20924245	No	
row_7	KIF4A	NA	4701	0.09489069879055023	-0.1989649	No	
row_8	CENPF	NA	4797	0.09308107942342758	-0.19396074	No	
row_9	ANLN	NA	5109	0.08661507815122604	-0.20373435	No	
row_10	PIF1	NA	5238	0.08385138213634491	-0.20197631	No	
row_11	NEK2	NA	5332	0.08190758526325226	-0.19818248	No	
row_12	TTK	NA	5367	0.081015944480896	-0.19067085	No	
row_13	CEP131	NA	5376	0.08076944202184677	-0.18150333	No	
row_14	CLIP2	NA	5510	0.07774917036294937	-0.18080121	No	
row_15	RASAL2	NA	5678	0.07419170439243317	-0.18272978	No	
row_16	ESPL1	NA	5695	0.07376883924007416	-0.1749204	No	
row_17	FSCN1	NA	5936	0.06898356229066849	-0.18220583	No	
row_18	WASF1	NA	5987	0.06798680871725082	-0.17729391	No	
row_19	FARP1	NA	6022	0.06722592562437057	-0.17143603	No	
row_20	KIF3C	NA	6032	0.06703735888004303	-0.16398013	No	
row_21	KIF23	NA	6073	0.06613712012767792	-0.15864179	No	
row_22	ARHGAP29	NA	6075	0.06612612307071686	-0.15077655	No	
row_23	SORBS2	NA	6188	0.06346696615219116	-0.15042587	No	
row_24	KIF2C	NA	6210	0.0629599392414093	-0.14423685	No	
row_25	ARAP3	NA	6286	0.06132097914814949	-0.14174496	No	
row_26	AURKA	NA	6327	0.060515157878398895	-0.13708082	No	
row_27	KIF20B	NA	6383	0.05896205082535744	-0.1335753	No	
row_28	CDC42BPA	NA	6460	0.057457827031612396	-0.13161153	No	
row_29	CENPJ	NA	6493	0.05671437829732895	-0.12688458	No	
row_30	BRCA2	NA	6539	0.05564234405755997	-0.12312892	No	
row_31	DOCK4	NA	6546	0.055517565459012985	-0.11686003	No	
row_32	TPX2	NA	6711	0.05184250324964523	-0.121274315	No	
row_33	CCNB2	NA	6715	0.05179771035909653	-0.11525705	No	
row_34	CENPE	NA	6883	0.048346154391765594	-0.1202851	No	
row_35	SASS6	NA	6910	0.047566212713718414	-0.11626628	No	
row_36	NDC80	NA	6939	0.04688883572816849	-0.11245833	No	
row_37	NUSAP1	NA	6944	0.046780169010162354	-0.10710761	No	
row_38	SHROOM1	NA	7085	0.04393228143453598	-0.1109147	No	
row_39	PLK1	NA	7179	0.041877228766679764	-0.11192143	No	
row_40	PLEKHG2	NA	7182	0.04183247312903404	-0.1070344	No	
row_41	SMC1A	NA	7266	0.040413763374090195	-0.10756838	No	
row_42	TUBD1	NA	7299	0.03984714671969414	-0.1048642	No	
row_43	CDK1	NA	7427	0.03733104467391968	-0.1086202	No	
row_44	EPB41L2	NA	7492	0.03614490479230881	-0.108434424	No	
row_45	ITSN1	NA	7553	0.03522023186087608	-0.10810024	No	
row_46	LLGL1	NA	7559	0.035101454704999924	-0.10421489	No	
row_47	PALLD	NA	7579	0.034762416034936905	-0.10127776	No	
row_48	ARHGEF11	NA	7607	0.03432455286383629	-0.09891174	No	
row_49	CEP250	NA	7700	0.03244558721780777	-0.10098472	No	
row_50	KPTN	NA	7740	0.03175878897309303	-0.0997043	No	
row_51	KIF11	NA	7784	0.03075438179075718	-0.09880365	No	
row_52	CNTROB	NA	7882	0.028834613040089607	-0.10163379	No	
row_53	BIRC5	NA	7991	0.02680842950940132	-0.10542001	No	
row_54	BUB1	NA	8148	0.024443458765745163	-0.11260147	No	
row_55	DYNLL2	NA	8225	0.023125626146793365	-0.114754915	No	
row_56	GEMIN4	NA	8307	0.021481679752469063	-0.11742964	No	
row_57	KATNB1	NA	8334	0.02096838690340519	-0.116600506	No	
row_58	ARFIP2	NA	8335	0.020959898829460144	-0.114086926	No	
row_59	KIFAP3	NA	8357	0.020599955692887306	-0.112977855	No	
row_60	FGD6	NA	8454	0.019204307347536087	-0.116898075	No	
row_61	MARK4	NA	8496	0.01849273033440113	-0.11733822	No	
