NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUPR1	NA	4186	0.10512517392635345	-0.2611528	No	
row_1	POLR3G	NA	4557	0.09798312932252884	-0.27555028	No	
row_2	IGFBP5	NA	4559	0.09795179218053818	-0.26602238	No	
row_3	MTHFD2L	NA	4929	0.09021931886672974	-0.28111535	No	
row_4	SLC7A11	NA	4951	0.08990287035703659	-0.27367267	No	
row_5	STC1	NA	4987	0.08914848417043686	-0.2672117	No	
row_6	ME1	NA	5285	0.08300027251243591	-0.2783427	No	
row_7	SORD	NA	5309	0.08248823881149292	-0.27175584	No	
row_8	NUFIP1	NA	5794	0.07176253944635391	-0.29611367	No	
row_9	BCAT1	NA	5932	0.06907238811254501	-0.2982332	No	
row_10	VLDLR	NA	6025	0.06713621318340302	-0.29762423	No	
row_11	CDC25A	NA	6315	0.060779158025979996	-0.31041262	No	
row_12	AURKA	NA	6327	0.060515157878398895	-0.3051995	No	
row_13	DHFR	NA	6643	0.05331714451313019	-0.32040468	No	
row_14	LGMN	NA	6675	0.05269460380077362	-0.3172544	No	
row_15	DAPP1	NA	6828	0.04937969520688057	-0.32227516	No	
row_16	FADS2	NA	6857	0.04869331046938896	-0.3193222	No	
row_17	CCNF	NA	6992	0.04558522254228592	-0.32354733	No	
row_18	PLK1	NA	7179	0.041877228766679764	-0.33150765	No	
row_19	TRIB3	NA	7285	0.040144506841897964	-0.33438507	No	
row_20	PSPH	NA	7286	0.0400591716170311	-0.33046195	No	
row_21	MLLT11	NA	7355	0.038607481867074966	-0.33109057	No	
row_22	EGLN3	NA	7449	0.037047576159238815	-0.3334931	No	
row_23	CYP51A1	NA	7912	0.028421606868505478	-0.36066887	No	
row_24	GOT1	NA	8052	0.025672072544693947	-0.3671684	No	
row_25	BUB1	NA	8148	0.024443458765745163	-0.370935	No	
row_26	SLC1A4	NA	8326	0.021051693707704544	-0.38035122	No	
row_27	PLOD2	NA	8404	0.019919881597161293	-0.3833936	No	
row_28	SERPINH1	NA	8420	0.019742386415600777	-0.38243285	No	
row_29	GBE1	NA	8425	0.019707489758729935	-0.38076222	No	
row_30	TM7SF2	NA	8537	0.01805938221514225	-0.38619158	No	
row_31	CFP	NA	8616	0.01684860698878765	-0.3895996	No	
row_32	SCD	NA	8624	0.016715338453650475	-0.38841653	No	
row_33	CTH	NA	8659	0.016139524057507515	-0.3890407	No	
row_34	PIK3R3	NA	8793	0.013862247578799725	-0.39630774	No	
row_35	FDXR	NA	8833	0.012860034592449665	-0.39757735	No	
row_36	PSAT1	NA	8986	0.010309610515832901	-0.40642437	No	
row_37	ELOVL6	NA	9199	0.007360241841524839	-0.41945106	No	
row_38	GLA	NA	9245	0.006779294926673174	-0.42170525	No	
row_39	RRM2	NA	9493	0.0032381187193095684	-0.43740523	No	
row_40	NFIL3	NA	9514	0.002962379949167371	-0.43841207	No	
row_41	NIBAN1	NA	9632	0.0010210442123934627	-0.44589913	No	
row_42	TMEM97	NA	9677	3.6635552532970905E-4	-0.4487165	No	
row_43	SLC2A3	NA	9746	-7.628150633536279E-4	-0.45305136	No	
row_44	ATP6V1D	NA	9813	-0.0017201510490849614	-0.45716277	No	
row_45	MCM2	NA	9824	-0.0018719875952228904	-0.45762792	No	
row_46	SLC7A5	NA	9886	-0.00268131447955966	-0.46132097	No	
row_47	PNO1	NA	9907	-0.00290851853787899	-0.46233305	No	
row_48	ARPC5L	NA	10016	-0.004468836821615696	-0.46889886	No	
row_49	IDH1	NA	10041	-0.004789977800101042	-0.46998608	No	
row_50	CTSC	NA	10115	-0.005980595480650663	-0.47413418	No	
row_51	SRD5A1	NA	10190	-0.006830706261098385	-0.47826388	No	
row_52	HMGCS1	NA	10250	-0.007761361543089151	-0.48132974	No	
row_53	PHGDH	NA	10282	-0.008280489593744278	-0.48252904	No	
row_54	EDEM1	NA	10293	-0.008439835160970688	-0.48235098	No	
row_55	FADS1	NA	10297	-0.008494824171066284	-0.4817136	No	
row_56	SLC6A6	NA	10308	-0.008591776713728905	-0.48152065	No	
row_57	YKT6	NA	10316	-0.008656201884150505	-0.48112684	No	
row_58	ABCF2	NA	10354	-0.009034096263349056	-0.48264143	No	
row_59	SKAP2	NA	10585	-0.011960892006754875	-0.4963848	No	
row_60	TFRC	NA	10647	-0.012862956151366234	-0.49908072	No	
row_61	RRP9	NA	10787	-0.014685247093439102	-0.5066562	No	
row_62	HMGCR	NA	10803	-0.014823111705482006	-0.50617725	No	
row_63	CCNG1	NA	11112	-0.018874861299991608	-0.5243015	No	
row_64	SQLE	NA	11153	-0.019439509138464928	-0.52499163	No	
row_65	TXNRD1	NA	11350	-0.022319583222270012	-0.5355158	No	
row_66	SC5D	NA	11376	-0.022853858768939972	-0.53489876	No	
row_67	PDK1	NA	11408	-0.02324751578271389	-0.5346323	No	
row_68	PSMG1	NA	11455	-0.024025730788707733	-0.53526235	No	
row_69	ATP5MC1	NA	11577	-0.025609590113162994	-0.5406008	No	
row_70	HMBS	NA	11652	-0.02676510065793991	-0.54277825	No	
row_71	ACSL3	NA	11753	-0.028138067573308945	-0.54650724	No	
row_72	PGM1	NA	11756	-0.028150033205747604	-0.5438801	No	
row_73	SYTL2	NA	11770	-0.028411082923412323	-0.54194075	No	
row_74	EEF1E1	NA	11782	-0.02858540788292885	-0.5398546	No	
row_75	GSR	NA	11814	-0.02903330884873867	-0.53902155	No	
row_76	SHMT2	NA	11889	-0.02993505261838436	-0.54088855	No	
row_77	PSMD13	NA	11905	-0.030073968693614006	-0.538916	No	
row_78	EPRS1	NA	11950	-0.030710965394973755	-0.5387617	No	
row_79	ASNS	NA	12018	-0.031527142971754074	-0.5400188	No	
