NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC45	NA	3877	0.11076340824365616	-0.24300288	No	
row_1	CCNA2	NA	5601	0.07559411972761154	-0.34899563	No	
row_2	MAD2L1	NA	7084	0.043946679681539536	-0.44176257	No	
row_3	NME1	NA	7583	0.03473939001560211	-0.47141927	No	
row_4	CUL1	NA	7643	0.033481303602457047	-0.4727038	No	
row_5	HDDC2	NA	7940	0.027724293991923332	-0.48979402	No	
row_6	TOMM70	NA	8250	0.02275586873292923	-0.5081043	No	
row_7	CDC20	NA	8367	0.020437093451619148	-0.5140753	No	
row_8	PRPS2	NA	8400	0.019974999129772186	-0.51463413	No	
row_9	PRDX4	NA	8429	0.019626611843705177	-0.51496005	No	
row_10	SRPK1	NA	8851	0.012584622949361801	-0.54130524	No	
row_11	EIF3J	NA	8857	0.012414474040269852	-0.5406872	No	
row_12	CDK2	NA	8924	0.011208598501980305	-0.54411626	No	
row_13	TYMS	NA	9492	0.0032432186417281628	-0.5806381	No	
row_14	VBP1	NA	9502	0.003128057112917304	-0.5809843	No	
row_15	RANBP1	NA	9621	0.0011569155612960458	-0.5885484	No	
row_16	GSPT1	NA	9704	-1.7196312546730042E-4	-0.59385276	No	
row_17	MCM2	NA	9824	-0.0018719875952228904	-0.60142744	No	
row_18	CSTF2	NA	9863	-0.0024356183130294085	-0.6037067	No	
row_19	XPOT	NA	9970	-0.0038292028475552797	-0.6102898	No	
row_20	EXOSC7	NA	9982	-0.003990510478615761	-0.61070025	No	
row_21	EIF1AX	NA	10096	-0.005739372689276934	-0.6175922	No	
row_22	TFDP1	NA	10103	-0.005840804427862167	-0.617538	No	
row_23	AP3S1	NA	10549	-0.0115552619099617	-0.64551765	No	
row_24	RRP9	NA	10787	-0.014685247093439102	-0.65977156	No	
row_25	SNRPD1	NA	10939	-0.016699641942977905	-0.66829586	No	
row_26	RRM1	NA	10974	-0.017148541286587715	-0.66919893	No	
row_27	PSMD3	NA	11129	-0.019176559522747993	-0.6777297	No	
row_28	PWP1	NA	11201	-0.02028808183968067	-0.6807939	No	
row_29	CAD	NA	11210	-0.02042352594435215	-0.67976236	No	
row_30	GOT2	NA	11571	-0.025483064353466034	-0.7011729	No	
row_31	G3BP1	NA	11606	-0.026100214570760727	-0.7013965	No	
row_32	RUVBL2	NA	11682	-0.027261978015303612	-0.7041907	No	
row_33	MCM6	NA	11741	-0.02799016423523426	-0.7058272	No	
row_34	EPRS1	NA	11950	-0.030710965394973755	-0.71698415	No	
row_35	NDUFAB1	NA	11966	-0.030906958505511284	-0.71561086	No	
row_36	PSMC4	NA	12030	-0.03173811361193657	-0.7172871	No	
row_37	POLD2	NA	12063	-0.03211061283946037	-0.71692485	No	
row_38	SMARCC1	NA	12069	-0.032212451100349426	-0.71480393	No	
row_39	RFC4	NA	12098	-0.0326368547976017	-0.7141424	No	
row_40	SNRPB2	NA	12107	-0.03279079496860504	-0.71217215	No	
row_41	PHB2	NA	12547	-0.0392473042011261	-0.7376607	Yes	
row_42	MCM4	NA	12557	-0.03938356041908264	-0.73525494	Yes	
row_43	SNRPG	NA	12567	-0.039556920528411865	-0.73283595	Yes	
row_44	KPNA2	NA	12640	-0.040769703686237335	-0.7344103	Yes	
row_45	AIMP2	NA	12646	-0.040831565856933594	-0.73163515	Yes	
row_46	USP1	NA	12722	-0.041845403611660004	-0.7333224	Yes	
row_47	HPRT1	NA	12726	-0.041906457394361496	-0.730336	Yes	
row_48	APEX1	NA	12830	-0.043502774089574814	-0.7337131	Yes	
row_49	CDK4	NA	12858	-0.04380030184984207	-0.7321393	Yes	
row_50	NCBP1	NA	12886	-0.04410632699728012	-0.73054224	Yes	
row_51	NOP16	NA	12922	-0.044691603630781174	-0.7294195	Yes	
row_52	SF3A1	NA	12961	-0.045321449637413025	-0.72844356	Yes	
row_53	ORC2	NA	12979	-0.04563136026263237	-0.7260823	Yes	
row_54	PSMC6	NA	12985	-0.045718125998973846	-0.7229363	Yes	
row_55	SNRPD3	NA	13065	-0.046998780220746994	-0.7244917	Yes	
row_56	LSM7	NA	13096	-0.04763474315404892	-0.72282135	Yes	
row_57	PSMB2	NA	13124	-0.04801372066140175	-0.7209277	Yes	
row_58	CTPS1	NA	13141	-0.048220444470644	-0.7183051	Yes	
row_59	PCNA	NA	13177	-0.04879011586308479	-0.7168713	Yes	
row_60	NHP2	NA	13179	-0.04880838096141815	-0.7132313	Yes	
row_61	ABCE1	NA	13180	-0.048815127462148666	-0.709526	Yes	
row_62	IMPDH2	NA	13239	-0.04990190267562866	-0.7094993	Yes	
row_63	SRSF7	NA	13263	-0.050389599055051804	-0.7071659	Yes	
row_64	FBL	NA	13280	-0.050658874213695526	-0.70435816	Yes	
row_65	UBA2	NA	13318	-0.05141409859061241	-0.7028549	Yes	
row_66	NOLC1	NA	13406	-0.053122732788324356	-0.70446426	Yes	
row_67	DDX18	NA	13419	-0.053270649164915085	-0.7011989	Yes	
row_68	MRPL9	NA	13424	-0.053327351808547974	-0.69741046	Yes	
row_69	MCM5	NA	13512	-0.05484656244516373	-0.69888896	Yes	
row_70	CCT4	NA	13525	-0.05511753633618355	-0.6954834	Yes	
row_71	GLO1	NA	13570	-0.055791180580854416	-0.6941018	Yes	
row_72	STARD7	NA	13641	-0.05739704519510269	-0.6942843	Yes	
row_73	PSMA2	NA	13654	-0.05753643065690994	-0.69069517	Yes	
row_74	PPM1G	NA	13655	-0.057539645582437515	-0.6863276	Yes	
row_75	UBE2E1	NA	13670	-0.05783884972333908	-0.6828452	Yes	
row_76	PSMD14	NA	13699	-0.058638960123062134	-0.6802099	Yes	
row_77	DUT	NA	13713	-0.058863285928964615	-0.67658484	Yes	
