NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAOB	NA	1097	0.1638357788324356	-0.054734763	No	
row_1	NDUFA3	NA	4502	0.09893722087144852	-0.26570633	No	
row_2	SUCLA2	NA	6321	0.06074076518416405	-0.37758788	No	
row_3	COX7B	NA	6583	0.05471144989132881	-0.38903025	No	
row_4	BDH2	NA	7779	0.030888179317116737	-0.46347958	No	
row_5	NDUFS2	NA	7875	0.0289976354688406	-0.466732	No	
row_6	ETFDH	NA	7957	0.027355734258890152	-0.46924075	No	
row_7	FH	NA	8172	0.023951375856995583	-0.4807228	No	
row_8	MRPS15	NA	8235	0.02296634577214718	-0.48243946	No	
row_9	TOMM70	NA	8250	0.02275586873292923	-0.48106217	No	
row_10	SLC25A4	NA	8263	0.022543106228113174	-0.47957647	No	
row_11	TIMM10	NA	8434	0.019569989293813705	-0.48864317	No	
row_12	PDHX	NA	8573	0.01758647710084915	-0.49583238	No	
row_13	CASP7	NA	8615	0.01685476303100586	-0.49680012	No	
row_14	HCCS	NA	8619	0.016775984317064285	-0.49530965	No	
row_15	AFG3L2	NA	8998	0.010172775015234947	-0.5188189	No	
row_16	TIMM50	NA	9028	0.009814764373004436	-0.519715	No	
row_17	TIMM8B	NA	9042	0.009644675068557262	-0.51958984	No	
row_18	ATP1B1	NA	9131	0.008307654410600662	-0.52446634	No	
row_19	ALDH6A1	NA	9220	0.007070727180689573	-0.529467	No	
row_20	COX11	NA	9307	0.005784168839454651	-0.5344671	No	
row_21	DECR1	NA	9377	0.0047208876349031925	-0.5384708	No	
row_22	MRPS11	NA	9419	0.004299903754144907	-0.54069966	No	
row_23	LRPPRC	NA	9545	0.0023783582728356123	-0.5485729	No	
row_24	SUPV3L1	NA	9584	0.0016596104251220822	-0.55087227	No	
row_25	NNT	NA	9630	0.0010384111665189266	-0.55368835	No	
row_26	NDUFA9	NA	9651	6.993830902501941E-4	-0.554916	No	
row_27	CPT1A	NA	9667	4.4486558181233704E-4	-0.5558448	No	
row_28	PDK4	NA	9767	-0.0010257206158712506	-0.5621666	No	
row_29	MTRR	NA	9794	-0.0014969951007515192	-0.56370354	No	
row_30	ATP6V1D	NA	9813	-0.0017201510490849614	-0.5646989	No	
row_31	PHYH	NA	9966	-0.003775844117626548	-0.574184	No	
row_32	MRPS22	NA	9988	-0.004048625007271767	-0.5751401	No	
row_33	IDH1	NA	10041	-0.004789977800101042	-0.5780336	No	
row_34	NDUFS6	NA	10043	-0.0049581401981413364	-0.5776005	No	
row_35	GRPEL1	NA	10141	-0.006302055902779102	-0.58326244	No	
row_36	NDUFC1	NA	10173	-0.006654675584286451	-0.5846058	No	
row_37	MPC1	NA	10185	-0.006800417322665453	-0.58463657	No	
row_38	PDP1	NA	10255	-0.007802487351000309	-0.5883307	No	
row_39	ECI1	NA	10382	-0.009271952323615551	-0.59557635	No	
row_40	MTRF1	NA	10393	-0.009390662424266338	-0.595282	No	
row_41	ACADSB	NA	10556	-0.01162045169621706	-0.6046281	No	
row_42	POLR2F	NA	10602	-0.012186704203486443	-0.6063243	No	
row_43	NDUFA4	NA	10693	-0.013398298062384129	-0.61081916	No	
row_44	NDUFA5	NA	10714	-0.01362199429422617	-0.61074877	No	
row_45	RETSAT	NA	10728	-0.01377107109874487	-0.61020917	No	
row_46	IDH3A	NA	10872	-0.015920327976346016	-0.61789024	No	
row_47	PDHA1	NA	10875	-0.0159424040466547	-0.6164186	No	
row_48	TOMM22	NA	10878	-0.01596389152109623	-0.6149448	No	
row_49	FXN	NA	10889	-0.016091786324977875	-0.6139774	No	
row_50	AIFM1	NA	10934	-0.016672516241669655	-0.6151581	No	
row_51	MGST3	NA	10969	-0.01706705614924431	-0.6156502	No	
row_52	NDUFA7	NA	10991	-0.01743357814848423	-0.6152618	No	
row_53	MRPL34	NA	10996	-0.017498014494776726	-0.6137637	No	
row_54	SLC25A20	NA	11104	-0.018746094778180122	-0.61882466	No	
row_55	TIMM13	NA	11138	-0.01926611177623272	-0.61903095	No	
row_56	SURF1	NA	11146	-0.01934402994811535	-0.6175421	No	
row_57	BCKDHA	NA	11215	-0.020516427233815193	-0.6198942	No	
row_58	NDUFA2	NA	11230	-0.020775863900780678	-0.6187158	No	
row_59	RHOT2	NA	11385	-0.022952085360884666	-0.62640446	No	
row_60	TCIRG1	NA	11395	-0.0230682622641325	-0.6246713	No	
row_61	ACAA1	NA	11402	-0.02317277155816555	-0.622733	No	
row_62	FDX1	NA	11491	-0.024451183155179024	-0.62598777	No	
row_63	NDUFC2	NA	11499	-0.024595974013209343	-0.6239714	No	
row_64	ATP6V1C1	NA	11547	-0.025186687707901	-0.6244915	No	
row_65	SDHB	NA	11567	-0.025439085438847542	-0.6231692	No	
row_66	GOT2	NA	11571	-0.025483064353466034	-0.62080413	No	
row_67	ATP5MC1	NA	11577	-0.025609590113162994	-0.6185561	No	
row_68	COX7A2L	NA	11629	-0.026442894712090492	-0.61920965	No	
row_69	ATP5F1E	NA	11697	-0.027350042015314102	-0.62081045	No	
row_70	MRPS30	NA	11718	-0.027557047083973885	-0.61934024	No	
row_71	COX10	NA	11781	-0.028577877208590508	-0.62049323	No	
row_72	MRPL35	NA	11949	-0.030710171908140182	-0.6282462	Yes	
row_73	UQCRB	NA	11961	-0.030846837908029556	-0.62586147	Yes	
