NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCA2	NA	484	0.18561354279518127	-0.013387431	No	
row_1	RRAD	NA	1473	0.15455739200115204	-0.062439486	No	
row_2	TNNI1	NA	1649	0.15035095810890198	-0.059219547	No	
row_3	IL1A	NA	2281	0.1381678730249405	-0.086726435	No	
row_4	FGF13	NA	2299	0.13793836534023285	-0.07447067	No	
row_5	CDH13	NA	2925	0.12733899056911469	-0.1026374	No	
row_6	JAG2	NA	2977	0.12634001672267914	-0.09370784	No	
row_7	KLK8	NA	2988	0.12620124220848083	-0.08213507	No	
row_8	TP63	NA	3269	0.12162220478057861	-0.088500686	No	
row_9	BMP2	NA	3313	0.12089572846889496	-0.07957996	No	
row_10	SERPINB5	NA	3387	0.11971279978752136	-0.07271766	No	
row_11	LIF	NA	3645	0.11482226848602295	-0.07825144	No	
row_12	RGS16	NA	3818	0.11186575144529343	-0.07856384	No	
row_13	NUPR1	NA	4186	0.10512517392635345	-0.09216422	No	
row_14	ALOX15B	NA	4351	0.10193966329097748	-0.09291945	No	
row_15	ITGB4	NA	4552	0.09802983701229095	-0.09638594	No	
row_16	NHLH2	NA	4759	0.09388116747140884	-0.10064296	No	
row_17	KRT17	NA	4775	0.09353095293045044	-0.0925578	No	
row_18	SLC7A11	NA	4951	0.08990287035703659	-0.095191374	No	
row_19	PTPN14	NA	5022	0.08831380307674408	-0.09117521	No	
row_20	PHLDA3	NA	5086	0.08696755766868591	-0.086835854	No	
row_21	TNFSF9	NA	5134	0.08610336482524872	-0.08154343	No	
row_22	TPD52L1	NA	5254	0.08368901163339615	-0.08115013	No	
row_23	EPS8L2	NA	5381	0.08065139502286911	-0.08150455	No	
row_24	PROCR	NA	5407	0.08021565526723862	-0.07535675	No	
row_25	CDK5R1	NA	5437	0.07933102548122406	-0.0695538	No	
row_26	HSPA4L	NA	5663	0.07456054538488388	-0.07691286	No	
row_27	GLS2	NA	5790	0.07180868089199066	-0.07812357	No	
row_28	TGFA	NA	5845	0.07067616283893585	-0.074778624	No	
row_29	STEAP3	NA	6021	0.06725527346134186	-0.079605274	No	
row_30	IRAG2	NA	6092	0.06577663123607635	-0.077771515	No	
row_31	ABHD4	NA	6169	0.06380948424339294	-0.076517016	No	
row_32	SDC1	NA	6197	0.06334143877029419	-0.072132826	No	
row_33	VWA5A	NA	6487	0.05687996745109558	-0.085350946	No	
row_34	EPHA2	NA	6511	0.056281693279743195	-0.08139121	No	
row_35	OSGIN1	NA	6529	0.055960021913051605	-0.07707384	No	
row_36	GPX2	NA	6660	0.05298711359500885	-0.08036633	No	
row_37	BAK1	NA	6877	0.04842148721218109	-0.0896734	No	
row_38	SPHK1	NA	6956	0.04657132551074028	-0.090217754	No	
row_39	ZNF365	NA	6988	0.04579225555062294	-0.087792136	No	
row_40	PLK2	NA	7016	0.045211419463157654	-0.08516357	No	
row_41	CDKN2A	NA	7034	0.044985655695199966	-0.08190891	No	
row_42	RAD9A	NA	7272	0.04033644124865532	-0.09335962	No	
row_43	TRIB3	NA	7285	0.040144506841897964	-0.09024978	No	
row_44	CASP1	NA	7345	0.038873009383678436	-0.09030847	No	
row_45	CSRNP2	NA	7358	0.038581326603889465	-0.087349996	No	
row_46	CDKN2B	NA	7360	0.03856200352311134	-0.08368063	No	
row_47	KIF13B	NA	7435	0.037221360951662064	-0.0848712	No	
row_48	SLC19A2	NA	7483	0.03632549196481705	-0.08439904	No	
row_49	TM4SF1	NA	7501	0.03599918261170387	-0.08201458	No	
row_50	RAB40C	NA	7687	0.03270222246646881	-0.090835154	No	
row_51	VDR	NA	7723	0.03210851922631264	-0.08999378	No	
row_52	RAD51C	NA	7939	0.027789972722530365	-0.10123392	No	
row_53	SLC35D1	NA	8021	0.026257537305355072	-0.10393976	No	
row_54	ABAT	NA	8489	0.018770955502986908	-0.1323819	No	
row_55	PPM1D	NA	8531	0.0180978961288929	-0.13328603	No	
row_56	GADD45A	NA	8697	0.01532765757292509	-0.14249314	No	
row_57	PLK3	NA	8726	0.014800172299146652	-0.14287427	No	
row_58	WRAP73	NA	8729	0.014728371985256672	-0.14157763	No	
row_59	PDGFA	NA	8759	0.014397225342690945	-0.14206256	No	
row_60	FDXR	NA	8833	0.012860034592449665	-0.14554738	No	
row_61	ACVR1B	NA	9256	0.006593775469809771	-0.17225288	No	
row_62	F2R	NA	9293	0.0060224081389606	-0.17400235	No	
