NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCX	NA	112	0.2282319813966751	0.059288733	Yes	
row_1	SLC2A2	NA	267	0.20228150486946106	0.108320355	Yes	
row_2	PAK3	NA	382	0.19221486151218414	0.156989	Yes	
row_3	GCG	NA	1314	0.1582934558391571	0.14329702	Yes	
row_4	IAPP	NA	1445	0.1551555097103119	0.18014267	Yes	
row_5	ABCC8	NA	1551	0.152639701962471	0.21786134	Yes	
row_6	INS	NA	2289	0.13806229829788208	0.21073759	Yes	
row_7	HNF1A	NA	2557	0.13331134617328644	0.23242003	Yes	
row_8	SST	NA	2714	0.1308421790599823	0.26051322	Yes	
row_9	PCSK2	NA	2848	0.1286115199327469	0.28943402	Yes	
row_10	GCK	NA	3056	0.1250867396593094	0.31257474	Yes	
row_11	NKX2-2	NA	3077	0.12466076016426086	0.34760317	Yes	
row_12	NEUROD1	NA	3153	0.12352126091718674	0.3787668	Yes	
row_13	PAX4	NA	3175	0.1230773851275444	0.4132698	Yes	
row_14	NEUROG3	NA	3242	0.12186811119318008	0.44452998	Yes	
row_15	PCSK1	NA	3425	0.11903253942728043	0.467513	Yes	
row_16	PAX6	NA	3834	0.11148105561733246	0.47377932	Yes	
row_17	SYT13	NA	4126	0.10622100532054901	0.48602885	Yes	
row_18	PDX1	NA	4818	0.09258293360471725	0.46861193	Yes	
row_19	NKX6-1	NA	4846	0.09198834747076035	0.49367338	Yes	
row_20	FOXA2	NA	4918	0.09052138030529022	0.51548123	Yes	
row_21	LMO2	NA	6003	0.06759705394506454	0.46554196	No	
row_22	SCGN	NA	6242	0.06221861019730568	0.4683782	No	
row_23	ELP4	NA	7215	0.04135194793343544	0.41798806	No	
row_24	VDR	NA	7723	0.03210851922631264	0.39477432	No	
row_25	STXBP1	NA	8001	0.026671918109059334	0.3847508	No	
row_26	DPP4	NA	8704	0.015062852762639523	0.34404606	No	
row_27	SRPRB	NA	13682	-0.05808549001812935	0.04127186	No	
row_28	SPCS1	NA	14265	-0.07051925361156464	0.024429431	No	
row_29	SRP9	NA	14978	-0.09365470707416534	0.005975792	No	
row_30	SRP14	NA	15300	-0.11598222702741623	0.019141685	No	
