NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH3GL2	NA	2481	0.1347677856683731	-0.13247593	No	
row_1	ATP6V1B1	NA	2656	0.1318090707063675	-0.11680317	No	
row_2	CAV2	NA	3878	0.1107591912150383	-0.17293425	No	
row_3	TOM1L1	NA	5913	0.06959313899278641	-0.28988534	No	
row_4	TSPAN8	NA	5965	0.06852617859840393	-0.27919284	No	
row_5	SSPN	NA	6272	0.06154267489910126	-0.2863672	No	
row_6	EGFR	NA	6360	0.05947337672114372	-0.27984294	No	
row_7	CLN5	NA	6991	0.045721907168626785	-0.3111362	No	
row_8	OCRL	NA	7102	0.043548859655857086	-0.3093439	No	
row_9	RAB22A	NA	7120	0.04326951131224632	-0.30161205	No	
row_10	ABCA1	NA	7165	0.042096465826034546	-0.2958605	No	
row_11	ICA1	NA	7185	0.04179691895842552	-0.28855807	No	
row_12	SCRN1	NA	7704	0.03242373839020729	-0.31534284	No	
row_13	AP2B1	NA	7716	0.03219971805810928	-0.30948263	No	
row_14	ATP7A	NA	8405	0.019902214407920837	-0.34978345	No	
row_15	SGMS1	NA	8557	0.017756450921297073	-0.355897	No	
row_16	DOP1A	NA	8879	0.01207942795008421	-0.37413022	No	
row_17	DST	NA	9004	0.010136669501662254	-0.38005745	No	
row_18	GLA	NA	9245	0.006779294926673174	-0.3941492	No	
row_19	BET1	NA	9473	0.0034975383896380663	-0.4080723	No	
row_20	ARFIP1	NA	9587	0.0016257379902526736	-0.4150267	No	
row_21	GOSR2	NA	9623	0.0011387841077521443	-0.4170511	No	
row_22	PAM	NA	9646	7.91932747233659E-4	-0.41830808	No	
row_23	ZW10	NA	9787	-0.001365541946142912	-0.4270565	No	
row_24	CTSC	NA	10115	-0.005980595480650663	-0.44692084	No	
row_25	VAMP4	NA	10291	-0.008426504209637642	-0.45648542	No	
row_26	YKT6	NA	10316	-0.008656201884150505	-0.45626685	No	
row_27	RAB9A	NA	10366	-0.00912560522556305	-0.45756447	No	
row_28	ARFGAP3	NA	10488	-0.010641089640557766	-0.46319535	No	
row_29	AP3S1	NA	10549	-0.0115552619099617	-0.46470654	No	
row_30	RPS6KA3	NA	11082	-0.018436554819345474	-0.49524772	No	
row_31	IGF2R	NA	11303	-0.021694164723157883	-0.50500697	No	
row_32	GBF1	NA	11563	-0.025419412180781364	-0.5165208	No	
row_33	MON2	NA	11685	-0.027266934514045715	-0.5187596	Yes	
row_34	COG2	NA	11687	-0.02727549336850643	-0.5132593	Yes	
row_35	LMAN1	NA	11715	-0.02752862125635147	-0.50938374	Yes	
row_36	CLCN3	NA	11804	-0.02889072708785534	-0.5091635	Yes	
row_37	GALC	NA	11817	-0.029063381254673004	-0.50400764	Yes	
row_38	RAB2A	NA	11932	-0.030588269233703613	-0.50511754	Yes	
row_39	CLTC	NA	12077	-0.032327260822057724	-0.50780696	Yes	
row_40	LAMP2	NA	12289	-0.03530097007751465	-0.51420975	Yes	
row_41	ARFGEF2	NA	12322	-0.03569067269563675	-0.50899136	Yes	
row_42	STX12	NA	12480	-0.038276057690382004	-0.51130533	Yes	
row_43	VPS4B	NA	12583	-0.03975999727845192	-0.5097702	Yes	
row_44	STAM	NA	12676	-0.04112398996949196	-0.507312	Yes	
row_45	SEC24D	NA	12711	-0.04170505702495575	-0.5009955	Yes	
row_46	BNIP3	NA	12770	-0.04256778955459595	-0.49605048	Yes	
row_47	ATP6V1H	NA	12841	-0.043651096522808075	-0.49165815	Yes	
row_48	COPB1	NA	12931	-0.044901043176651	-0.48823592	Yes	
row_49	RER1	NA	13023	-0.04632680490612984	-0.48465177	Yes	
row_50	SNAP23	NA	13031	-0.04641420766711235	-0.47563356	Yes	
row_51	AP2S1	NA	13082	-0.047239936888217926	-0.46921948	Yes	
row_52	TSG101	NA	13146	-0.048381030559539795	-0.4634108	Yes	
row_53	AP2M1	NA	13148	-0.04842104762792587	-0.45359626	Yes	
row_54	KIF1B	NA	13324	-0.05151037499308586	-0.45437077	Yes	
row_55	SCAMP1	NA	13335	-0.05180890113115311	-0.44444534	Yes	
row_56	AP1G1	NA	13346	-0.051964253187179565	-0.43448824	Yes	
row_57	DNM1L	NA	13389	-0.05293764919042587	-0.42639586	Yes	
row_58	VPS45	NA	13428	-0.053361330181360245	-0.41795912	Yes	
row_59	GNAS	NA	13578	-0.055908702313899994	-0.4161598	Yes	
row_60	USO1	NA	13659	-0.057678982615470886	-0.40955025	Yes	
row_61	NAPA	NA	13686	-0.05821526423096657	-0.39934948	Yes	
row_62	AP3B1	NA	13759	-0.0597752183675766	-0.3917964	Yes	
row_63	STX7	NA	13943	-0.06312365084886551	-0.39071736	Yes	
row_64	COPB2	NA	13944	-0.06312654912471771	-0.3778381	Yes	
row_65	MAPK1	NA	14087	-0.06614807993173599	-0.37349835	Yes	
row_66	SEC22B	NA	14092	-0.06622058153152466	-0.36024576	Yes	
row_67	RAB5A	NA	14154	-0.06777098774909973	-0.35035214	Yes	
row_68	ADAM10	NA	14350	-0.0727066844701767	-0.34809166	Yes	
row_69	TPD52	NA	14390	-0.07337777316570282	-0.3356356	Yes	
row_70	VAMP3	NA	14423	-0.07422205060720444	-0.32255593	Yes	
row_71	ERGIC3	NA	14449	-0.07500872761011124	-0.3088644	Yes	
row_72	CLTA	NA	14451	-0.07510877400636673	-0.29360497	Yes	
row_73	ARFGEF1	NA	14505	-0.0765283852815628	-0.28140882	Yes	
row_74	SEC31A	NA	14774	-0.08538835495710373	-0.28126794	Yes	
row_75	TMX1	NA	14781	-0.08550870418548584	-0.2642091	Yes	
row_76	RAB14	NA	14886	-0.08926626294851303	-0.2527025	Yes	
row_77	TMED2	NA	14900	-0.08976367861032486	-0.2352269	Yes	
row_78	YIPF6	NA	14913	-0.090483658015728	-0.2175399	Yes	
row_79	ANP32E	NA	15034	-0.09697037190198898	-0.20549318	Yes	
row_80	PPT1	NA	15072	-0.09880518168210983	-0.18772039	Yes	
row_81	SOD1	NA	15102	-0.10042482614517212	-0.16910131	Yes	
row_82	M6PR	NA	15110	-0.1009252518415451	-0.14896162	Yes	
row_83	GOLGA4	NA	15201	-0.10783512890338898	-0.13276388	Yes	
row_84	ATP1A1	NA	15202	-0.10792379081249237	-0.11074496	Yes	
row_85	COPE	NA	15274	-0.11358659714460373	-0.09214869	Yes	
row_86	CD63	NA	15405	-0.12964431941509247	-0.07408052	Yes	
row_87	SNX2	NA	15413	-0.1305241882801056	-0.047901962	Yes	
row_88	TMED10	NA	15450	-0.13629472255706787	-0.022415966	Yes	
row_89	ARF1	NA	15514	-0.15632690489292145	0.005416128	Yes	
