NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPX3	NA	4275	0.10346709191799164	-0.23431127	No	
row_1	MPO	NA	4647	0.0961112305521965	-0.22059722	No	
row_2	ABCC1	NA	7083	0.044000253081321716	-0.3598943	No	
row_3	IPCEF1	NA	7186	0.04178038239479065	-0.35012314	No	
row_4	SRXN1	NA	7655	0.033317215740680695	-0.36718094	No	
row_5	NDUFS2	NA	7875	0.0289976354688406	-0.36992413	No	
row_6	PRDX4	NA	8429	0.019626611843705177	-0.3977945	No	
row_7	MSRA	NA	8863	0.012379707768559456	-0.42078468	No	
row_8	HHEX	NA	10723	-0.013744697906076908	-0.5348867	No	
row_9	NQO1	NA	10847	-0.015562888234853745	-0.5367101	No	
row_10	PFKP	NA	11050	-0.018045460805296898	-0.5426405	No	
row_11	GLRX2	NA	11346	-0.02223864756524563	-0.5529092	No	
row_12	TXNRD1	NA	11350	-0.022319583222270012	-0.54438025	No	
row_13	ATOX1	NA	11433	-0.023605287075042725	-0.54042596	No	
row_14	SELENOS	NA	11655	-0.02681904099881649	-0.544149	No	
row_15	GSR	NA	11814	-0.02903330884873867	-0.54295796	No	
row_16	MBP	NA	11847	-0.029436703771352768	-0.5335116	No	
row_17	NDUFB4	NA	12164	-0.03359045460820198	-0.54069394	No	
row_18	ERCC2	NA	12334	-0.035836923867464066	-0.5375512	No	
row_19	GCLC	NA	12747	-0.042228806763887405	-0.5475277	No	
row_20	SCAF4	NA	12831	-0.04355309158563614	-0.53584266	No	
row_21	FES	NA	13749	-0.059658482670784	-0.5714632	Yes	
row_22	PDLIM1	NA	13787	-0.060401614755392075	-0.5502381	Yes	
row_23	TXN	NA	14169	-0.06808242201805115	-0.5481194	Yes	
row_24	CDKN2D	NA	14361	-0.07286492735147476	-0.5319212	Yes	
row_25	GLRX	NA	14402	-0.07371849566698074	-0.50568503	Yes	
row_26	CAT	NA	14625	-0.08026647567749023	-0.48858678	Yes	
row_27	OXSR1	NA	14668	-0.08139464259147644	-0.45947954	Yes	
row_28	PRDX6	NA	14725	-0.08362177759408951	-0.43040177	Yes	
row_29	MGST1	NA	14851	-0.08787757903337479	-0.4040954	Yes	
row_30	SOD1	NA	15102	-0.10042482614517212	-0.3809194	Yes	
row_31	PRDX2	NA	15122	-0.101798415184021	-0.34236085	Yes	
row_32	PRNP	NA	15352	-0.12215711176395416	-0.30934295	Yes	
row_33	LSP1	NA	15377	-0.12514781951904297	-0.26198155	Yes	
row_34	FTL	NA	15385	-0.12624329328536987	-0.21309952	Yes	
row_35	PRDX1	NA	15416	-0.13091306388378143	-0.16387086	Yes	
row_36	LAMTOR5	NA	15471	-0.14194004237651825	-0.1118756	Yes	
row_37	G6PD	NA	15482	-0.14609037339687347	-0.055430766	Yes	
row_38	SOD2	NA	15523	-0.1607637256383896	0.0048199277	Yes	
