NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPHP1	NA	63	0.25092774629592896	0.019288884	Yes	
row_1	IL13RA2	NA	101	0.23277607560157776	0.038567632	Yes	
row_2	THEG	NA	120	0.22709181904792786	0.05854463	Yes	
row_3	AKAP4	NA	138	0.2225515991449356	0.07816358	Yes	
row_4	HBZ	NA	155	0.21924130618572235	0.09753897	Yes	
row_5	TNP2	NA	213	0.2083769291639328	0.113254435	Yes	
row_6	ADAD1	NA	249	0.2041078507900238	0.12999368	Yes	
row_7	CST8	NA	308	0.1979628950357437	0.1446751	Yes	
row_8	TKTL1	NA	373	0.19301334023475647	0.1585082	Yes	
row_9	DCC	NA	415	0.18981893360614777	0.1735297	Yes	
row_10	ODF1	NA	517	0.18328173458576202	0.1840667	Yes	
row_11	NAA11	NA	550	0.1816602349281311	0.1989101	Yes	
row_12	MEP1B	NA	632	0.17809748649597168	0.2102565	Yes	
row_13	SYCP1	NA	822	0.17178115248680115	0.21403816	Yes	
row_14	TEKT2	NA	872	0.17029105126857758	0.22672503	Yes	
row_15	HOXB1	NA	946	0.16783447563648224	0.23763284	Yes	
row_16	TUBA3C	NA	996	0.16663965582847595	0.24997981	Yes	
row_17	TNP1	NA	1050	0.16518144309520721	0.26193264	Yes	
row_18	SHE	NA	1066	0.16472961008548737	0.2762982	Yes	
row_19	CLVS1	NA	1159	0.1620270162820816	0.285438	Yes	
row_20	DNAJB8	NA	1277	0.1592220664024353	0.2927017	Yes	
row_21	HSPA2	NA	1422	0.1557489037513733	0.2978979	Yes	
row_22	NPY5R	NA	1481	0.15428867936134338	0.30851373	Yes	
row_23	PCSK1N	NA	1482	0.1542835235595703	0.32287586	Yes	
row_24	ACRV1	NA	1485	0.15423466265201569	0.33710423	Yes	
row_25	GSG1	NA	1630	0.15073414146900177	0.34183362	Yes	
