NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL2	NA	2836	0.12884466350078583	-0.15504494	No	
row_1	IGFBP1	NA	5562	0.07645782083272934	-0.31427303	No	
row_2	IFIT1	NA	5563	0.07645642012357712	-0.29771766	No	
row_3	CHAC1	NA	5984	0.06803756207227707	-0.3100785	No	
row_4	FKBP14	NA	7144	0.04267250373959541	-0.37560302	No	
row_5	SLC30A5	NA	7568	0.03497200459241867	-0.39531723	No	
row_6	STC2	NA	7588	0.03466710448265076	-0.38903627	No	
row_7	WFS1	NA	7759	0.03131270781159401	-0.39322236	No	
row_8	TUBB2A	NA	8164	0.024113686755299568	-0.41406208	No	
row_9	KDELR3	NA	8266	0.022383570671081543	-0.4157306	No	
row_10	GEMIN4	NA	8307	0.021481679752469063	-0.4136594	No	
row_11	SLC1A4	NA	8326	0.021051693707704544	-0.41026214	No	
row_12	CXXC1	NA	8360	0.020545991137623787	-0.407942	No	
row_13	NFYB	NA	8470	0.018980752676725388	-0.41086337	No	
row_14	PSAT1	NA	8986	0.010309610515832901	-0.4418525	No	
row_15	EXOSC4	NA	9011	0.010081588290631771	-0.4412177	No	
row_16	ATF6	NA	9019	0.00992848351597786	-0.4395194	No	
row_17	PDIA5	NA	9369	0.004796414636075497	-0.46099404	No	
row_18	EXOSC9	NA	9507	0.003069038037210703	-0.46916705	No	
row_19	GOSR2	NA	9623	0.0011387841077521443	-0.4763389	No	
row_20	EXOSC5	NA	9727	-4.846274678129703E-4	-0.48287824	No	
row_21	EIF4EBP1	NA	9730	-5.168188945390284E-4	-0.48289534	No	
row_22	DNAJA4	NA	9852	-0.0022208234295248985	-0.49021992	No	
row_23	SLC7A5	NA	9886	-0.00268131447955966	-0.4917681	No	
row_24	CNOT4	NA	9909	-0.0029412610456347466	-0.49255037	No	
row_25	XPOT	NA	9970	-0.0038292028475552797	-0.4955917	No	
row_26	LSM1	NA	9989	-0.00406335573643446	-0.49587297	No	
row_27	HYOU1	NA	10007	-0.004355653654783964	-0.49602646	No	
row_28	CKS1B	NA	10012	-0.004434015601873398	-0.49532437	No	
row_29	EIF2AK3	NA	10200	-0.007093524560332298	-0.5058513	No	
row_30	EDEM1	NA	10293	-0.008439835160970688	-0.50995857	No	
row_31	NFYA	NA	10298	-0.008505289442837238	-0.5083749	No	
row_32	DNAJB9	NA	10334	-0.00875759031623602	-0.5087364	No	
row_33	SDAD1	NA	10407	-0.009696022607386112	-0.51128143	No	
row_34	DNAJC3	NA	10465	-0.01035537850111723	-0.51271605	No	
row_35	EXOSC2	NA	10591	-0.012050456367433071	-0.51817024	No	
row_36	POP4	NA	10600	-0.012176304124295712	-0.51604974	No	
row_37	PREB	NA	10689	-0.01330977026373148	-0.51884437	No	
row_38	ATF3	NA	10768	-0.014448155649006367	-0.5207475	No	
row_39	RRP9	NA	10787	-0.014685247093439102	-0.5187288	No	
row_40	EXOC2	NA	10813	-0.0149809205904603	-0.5170976	No	
row_41	IMP3	NA	10867	-0.015851397067308426	-0.5170842	No	
row_42	EXOSC10	NA	11242	-0.020875416696071625	-0.5366899	No	
row_43	EDC4	NA	11343	-0.022174693644046783	-0.5383391	No	
row_44	NABP1	NA	11565	-0.025430407375097275	-0.54708874	No	
row_45	ALDH18A1	NA	11896	-0.030031025409698486	-0.5618736	Yes	
row_46	SHC1	NA	11941	-0.03063165582716465	-0.5580792	Yes	
row_47	ASNS	NA	12018	-0.031527142971754074	-0.5561551	Yes	
row_48	YIF1A	NA	12081	-0.0323917530477047	-0.55314064	Yes	
row_49	ZBTB17	NA	12304	-0.03544650226831436	-0.559786	Yes	
row_50	ERN1	NA	12309	-0.035526275634765625	-0.5523514	Yes	
row_51	DCP2	NA	12377	-0.03650877997279167	-0.5487681	Yes	
row_52	CNOT6	NA	12477	-0.038224320858716965	-0.5468775	Yes	
row_53	DDX10	NA	12499	-0.03858684375882149	-0.5398768	Yes	
row_54	WIPI1	NA	12522	-0.03884262591600418	-0.53288525	Yes	
row_55	BAG3	NA	12659	-0.040961671620607376	-0.53278875	Yes	
row_56	ERO1A	NA	12663	-0.04098616540431976	-0.5241074	Yes	
row_57	EXOSC1	NA	13010	-0.046149127185344696	-0.5364343	Yes	
row_58	TATDN2	NA	13041	-0.046589408069849014	-0.52828133	Yes	
row_59	SRPRA	NA	13097	-0.047653622925281525	-0.52151066	Yes	
row_60	NHP2	NA	13179	-0.04880838096141815	-0.51616716	Yes	
row_61	DKC1	NA	13192	-0.049060042947530746	-0.5063181	Yes	
row_62	CEBPG	NA	13221	-0.04961489513516426	-0.49738103	Yes	
row_63	PDIA6	NA	13223	-0.04962621629238129	-0.4866998	Yes	
row_64	NOLC1	NA	13406	-0.053122732788324356	-0.48693737	Yes	
row_65	DCTN1	NA	13553	-0.055541031062603	-0.48432902	Yes	
row_66	ARFGAP1	NA	13563	-0.05570318549871445	-0.47284797	Yes	
row_67	SRPRB	NA	13682	-0.05808549001812935	-0.46788245	Yes	
row_68	LSM4	NA	13704	-0.05865655094385147	-0.456536	Yes	
row_69	TSPYL2	NA	13882	-0.06170310825109482	-0.4545931	Yes	
row_70	TARS1	NA	13992	-0.06418334692716599	-0.44772658	Yes	
row_71	CNOT2	NA	14006	-0.06440921127796173	-0.43461844	Yes	
row_72	ATP6V0D1	NA	14022	-0.06479539722204208	-0.42155567	Yes	
row_73	SSR1	NA	14086	-0.06614767014980316	-0.4112965	Yes	
row_74	NOP14	NA	14242	-0.07000363618135452	-0.40613705	Yes	
row_75	EIF2S1	NA	14256	-0.07029207050800323	-0.39175507	Yes	
row_76	SPCS1	NA	14265	-0.07051925361156464	-0.37700135	Yes	
row_77	MTREX	NA	14284	-0.07100945711135864	-0.36278656	Yes	
row_78	SERP1	NA	14347	-0.0726180151104927	-0.35106182	Yes	
row_79	KIF5B	NA	14355	-0.07278309017419815	-0.33575338	Yes	
row_80	SPCS3	NA	14424	-0.07423989474773407	-0.3240645	Yes	
row_81	DCP1A	NA	14484	-0.07605340331792831	-0.31140235	Yes	
row_82	MTHFD2	NA	14705	-0.08273845165967941	-0.30767843	Yes	
row_83	SEC31A	NA	14774	-0.08538835495710373	-0.2935755	Yes	
row_84	HSPA9	NA	14800	-0.0860917717218399	-0.27654645	Yes	
row_85	HERPUD1	NA	14973	-0.09329130500555038	-0.2674411	Yes	
row_86	IARS1	NA	15158	-0.10440119355916977	-0.25670418	Yes	
row_87	HSPA5	NA	15182	-0.10668151825666428	-0.23508772	Yes	
row_88	ATF4	NA	15183	-0.10685914754867554	-0.21194914	Yes	
row_89	XBP1	NA	15227	-0.11018072068691254	-0.19086516	Yes	
row_90	HSP90B1	NA	15266	-0.11324627697467804	-0.16879484	Yes	
row_91	EIF4A2	NA	15291	-0.11512310802936554	-0.14541502	Yes	
row_92	FUS	NA	15360	-0.12307439744472504	-0.12315182	Yes	
row_93	NOP56	NA	15395	-0.1274900883436203	-0.097739205	Yes	
row_94	RPS14	NA	15497	-0.14966480433940887	-0.071847044	Yes	
row_95	NPM1	NA	15561	-0.17827987670898438	-0.037307467	Yes	
row_96	EIF4A1	NA	15570	-0.1830189824104309	0.0018062132	Yes	
