NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2E1	NA	58	0.25140464305877686	0.015912749	Yes	
row_1	TYR	NA	231	0.20578521490097046	0.020862477	Yes	
row_2	SLC22A1	NA	305	0.19805127382278442	0.031627204	Yes	
row_3	CRP	NA	360	0.1941445916891098	0.043318372	Yes	
row_4	HGFAC	NA	524	0.18268312513828278	0.047043864	Yes	
row_5	HSD11B1	NA	635	0.1779954582452774	0.05383961	Yes	
row_6	FMO3	NA	701	0.17568303644657135	0.06337268	Yes	
row_7	CYP4F2	NA	724	0.17485268414020538	0.07562935	Yes	
row_8	TAT	NA	976	0.1671750247478485	0.07243436	Yes	
row_9	CYP17A1	NA	1043	0.16533330082893372	0.08109264	Yes	
row_10	HNF4A	NA	1100	0.16370980441570282	0.09027238	Yes	
row_11	UPB1	NA	1221	0.16060759127140045	0.0950589	Yes	
row_12	MBL2	NA	1383	0.1569327563047409	0.09689896	Yes	
row_13	RBP4	NA	1414	0.15589050948619843	0.10715291	Yes	
row_14	HRG	NA	1424	0.15571001172065735	0.1187546	Yes	
row_15	CYP1A1	NA	1453	0.15494190156459808	0.12906402	Yes	
row_16	GSTA3	NA	1555	0.15250200033187866	0.1344484	Yes	
row_17	FETUB	NA	1889	0.14558908343315125	0.12424638	Yes	
row_18	ADH7	NA	1921	0.1450704038143158	0.13358873	Yes	
row_19	FMO1	NA	1927	0.1449919193983078	0.14461108	Yes	
row_20	CDO1	NA	1992	0.14386339485645294	0.15171888	Yes	
row_21	CYP2C18	NA	2010	0.1436004340648651	0.16185412	Yes	
row_22	CYP1A2	NA	2018	0.14339637756347656	0.17262189	Yes	
row_23	HSD17B2	NA	2019	0.1433669924736023	0.18384132	Yes	
row_24	ACOX2	NA	2105	0.1414702981710434	0.1894	Yes	
row_25	DDC	NA	2192	0.139856219291687	0.1947675	Yes	
row_26	REG1A	NA	2248	0.13871316611766815	0.20205595	Yes	
row_27	F11	NA	2583	0.13296154141426086	0.1908009	Yes	
row_28	CCL25	NA	2634	0.13219235837459564	0.19790329	Yes	
row_29	VTN	NA	2664	0.1316828727722168	0.20632769	Yes	
row_30	PLG	NA	2800	0.12945623695850372	0.20770364	Yes	
row_31	SERPINE1	NA	2940	0.12712889909744263	0.20863806	Yes	
row_32	AKR1C2	NA	3057	0.12504185736179352	0.21090072	Yes	
row_33	ITIH1	NA	3122	0.1239696592092514	0.21645173	Yes	
row_34	ADH1C	NA	3221	0.12226025015115738	0.21966404	Yes	
row_35	FABP1	NA	3326	0.1206563338637352	0.22236171	Yes	
row_36	AOX1	NA	3536	0.11686917394399643	0.21795368	Yes	
row_37	APOE	NA	3541	0.11673603951931	0.22682965	Yes	
row_38	GCKR	NA	3637	0.11499893665313721	0.22966826	Yes	
row_39	CYP26A1	NA	3685	0.11413246393203735	0.23555191	Yes	
row_40	F10	NA	3882	0.11070643365383148	0.23150466	Yes	
row_41	ENPEP	NA	3923	0.10995884239673615	0.23751564	Yes	
row_42	VNN1	NA	3942	0.10945101827383041	0.24491361	Yes	
row_43	ATOH8	NA	4070	0.10703206807374954	0.24505351	Yes	
row_44	PTGES	NA	4161	0.10561224073171616	0.24748181	Yes	
row_45	MAOA	NA	4434	0.10026682168245316	0.23768893	No	
row_46	TTPA	NA	4461	0.09961502999067307	0.24379836	No	
row_47	TGFB2	NA	4612	0.09684833139181137	0.24164976	No	
row_48	RAP1GAP	NA	4870	0.09142597764730453	0.23213778	No	
row_49	IGFBP4	NA	4919	0.09050330519676208	0.23610744	No	
row_50	FBLN1	NA	4981	0.08926178514957428	0.23913686	No	
row_51	ACSM1	NA	5029	0.0882466584444046	0.24299477	No	
row_52	IL1R1	NA	5163	0.08538492769002914	0.24105155	No	
row_53	IGF1	NA	5242	0.08381056040525436	0.24255192	No	
row_54	MPP2	NA	5347	0.08164385706186295	0.24219662	No	
row_55	IGFBP1	NA	5562	0.07645782083272934	0.23430187	No	
row_56	PTGR1	NA	5758	0.07230625301599503	0.2273144	No	
row_57	ESR1	NA	5859	0.07048527896404266	0.22634527	No	
row_58	CYP2J2	NA	5903	0.06976263225078583	0.22901607	No	
