NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GJB5	NA	193	0.21187956631183624	0.0277005	Yes	
row_1	KRT6A	NA	301	0.19882452487945557	0.05846064	Yes	
row_2	IVL	NA	438	0.1883508861064911	0.08537269	Yes	
row_3	S100A2	NA	463	0.18677997589111328	0.11919083	Yes	
row_4	CLCA2	NA	484	0.18561354279518127	0.1530454	Yes	
row_5	GJA1	NA	623	0.17860177159309387	0.17798308	Yes	
row_6	MFAP5	NA	728	0.17472198605537415	0.204373	Yes	
row_7	LGALS7	NA	737	0.17424364387989044	0.2368468	Yes	
row_8	SPRR1B	NA	914	0.1689852476119995	0.2575198	Yes	
row_9	S100A7	NA	1064	0.16481956839561462	0.2791407	Yes	
row_10	POSTN	NA	1218	0.1606348603963852	0.2997121	Yes	
row_11	DSG1	NA	1655	0.1502518355846405	0.30011603	Yes	
row_12	FLRT3	NA	2071	0.14205460250377655	0.3003187	Yes	
row_13	PI3	NA	2108	0.14144690334796906	0.32478243	Yes	
row_14	PTPRZ1	NA	2214	0.13941392302513123	0.3444234	Yes	
row_15	IL1A	NA	2281	0.1381678730249405	0.36633685	Yes	
row_16	KRT16	NA	2334	0.13725455105304718	0.38897783	Yes	
row_17	PDPN	NA	2579	0.133040651679039	0.39847213	Yes	
row_18	CXCL14	NA	2975	0.12636369466781616	0.39699048	Yes	
row_19	KRT75	NA	2991	0.1261540949344635	0.4199096	Yes	
row_20	PTHLH	NA	3049	0.12524254620075226	0.43995482	Yes	
row_21	TP63	NA	3269	0.12162220478057861	0.4488953	Yes	
row_22	HTRA1	NA	3291	0.12115919589996338	0.47048286	Yes	
row_23	SLPI	NA	3469	0.11825428903102875	0.481487	Yes	
row_24	DSC3	NA	3681	0.11415968090295792	0.4895292	Yes	
row_25	RHCG	NA	4124	0.1063225269317627	0.4812304	Yes	
row_26	PTGES	NA	4161	0.10561224073171616	0.4989098	Yes	
row_27	AKR1C1	NA	4563	0.09787190705537796	0.4916481	Yes	
row_28	CA12	NA	4620	0.09674770385026932	0.5063629	Yes	
row_29	PKP1	NA	4804	0.09299834072589874	0.51219964	Yes	
row_30	TRIM29	NA	5300	0.08266377449035645	0.49601293	No	
row_31	P3H2	NA	5339	0.08177431672811508	0.5090506	No	
row_32	MMP10	NA	5752	0.07245848327875137	0.4962701	No	
row_33	SDC1	NA	6197	0.06334143877029419	0.47970536	No	
row_34	GPX2	NA	6660	0.05298711359500885	0.4600226	No	
row_35	SERPINE2	NA	7081	0.044036924839019775	0.44134668	No	
row_36	FEZ1	NA	7409	0.03777124360203743	0.427466	No	
row_37	AMIGO2	NA	7888	0.028783537447452545	0.40217188	No	
row_38	JAG1	NA	8179	0.023886149749159813	0.38804218	No	
row_39	DST	NA	9004	0.010136669501662254	0.3369641	No	
row_40	CSTA	NA	9034	0.009718036279082298	0.33693877	No	
row_41	NSG1	NA	9103	0.008697619661688805	0.33421186	No	
row_42	IL1B	NA	9147	0.008054711855947971	0.3329712	No	
row_43	FABP5	NA	9268	0.006346587091684341	0.3264547	No	
row_44	S100P	NA	11317	-0.02182469330728054	0.19886549	No	
row_45	SLC39A6	NA	12325	-0.03570890799164772	0.14085883	No	
row_46	ITGA6	NA	13053	-0.046796102076768875	0.10295998	No	
row_47	AQP3	NA	14072	-0.06582265347242355	0.049947068	No	
row_48	S100A8	NA	14488	-0.07616303861141205	0.037674945	No	
row_49	S100A9	NA	14623	-0.08017733693122864	0.044235885	No	
row_50	NDRG1	NA	15038	-0.0972355380654335	0.03601759	No	
