NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCDH19	NA	126	0.22506706416606903	-0.001690581	Yes	
row_1	MYH11	NA	176	0.2148410975933075	0.0013838802	Yes	
row_2	PRRX1	NA	182	0.21427705883979797	0.0073359734	Yes	
row_3	LRCH2	NA	259	0.20301733911037445	0.008287886	Yes	
row_4	TRO	NA	297	0.19920878112316132	0.011693445	Yes	
row_5	NTF3	NA	361	0.19400858879089355	0.013236384	Yes	
row_6	IL17B	NA	387	0.19164255261421204	0.017209476	Yes	
row_7	GPC3	NA	470	0.18637433648109436	0.017278884	Yes	
row_8	SRPX	NA	482	0.1857147514820099	0.021999087	Yes	
row_9	PLS3	NA	513	0.1836239993572235	0.025408255	Yes	
row_10	MRGPRF	NA	516	0.18334120512008667	0.030650873	Yes	
row_11	HGFAC	NA	524	0.18268312513828278	0.03554532	Yes	
row_12	TWIST2	NA	548	0.181748628616333	0.03935995	Yes	
row_13	CDH4	NA	593	0.1797623634338379	0.04173505	Yes	
row_14	EDNRB	NA	597	0.17953620851039886	0.04680036	Yes	
row_15	ACTG2	NA	600	0.179403156042099	0.051927544	Yes	
row_16	GJA1	NA	623	0.17860177159309387	0.05571571	Yes	
row_17	JAM2	NA	673	0.17655757069587708	0.05766799	Yes	
row_18	TIE1	NA	677	0.1764914095401764	0.06264405	Yes	
row_19	VIT	NA	736	0.17431208491325378	0.06393851	Yes	
row_20	LGALS7	NA	737	0.17424364387989044	0.06904601	Yes	
row_21	SCHIP1	NA	809	0.1720847189426422	0.0694201	Yes	
row_22	PTPRT	NA	956	0.16760587692260742	0.06472967	Yes	
row_23	COL5A2	NA	979	0.16705158352851868	0.068179265	Yes	
row_24	RHOJ	NA	1051	0.16513846814632416	0.06834974	Yes	
row_25	SHE	NA	1066	0.16472961008548737	0.07225749	Yes	
row_26	NUDT10	NA	1096	0.163845032453537	0.075152665	Yes	
row_27	MAOB	NA	1097	0.1638357788324356	0.079955086	Yes	
row_28	MMP2	NA	1098	0.16374823451042175	0.08475494	Yes	
row_29	SORCS1	NA	1137	0.16257502138614655	0.0870209	Yes	
row_30	STAC	NA	1197	0.1611257642507553	0.087863065	Yes	
row_31	POSTN	NA	1218	0.1606348603963852	0.091256134	Yes	
row_32	HAS2	NA	1260	0.15963998436927795	0.093238726	Yes	
row_33	GPR87	NA	1264	0.15944257378578186	0.09771504	Yes	
row_34	TMEM47	NA	1326	0.1580365151166916	0.09833511	Yes	
row_35	ZC3H12B	NA	1531	0.1531653255224228	0.08940635	Yes	
row_36	TMEM121	NA	1543	0.15279832482337952	0.093161695	Yes	
row_37	TNS4	NA	1574	0.1520013064146042	0.09564392	Yes	
row_38	BMP7	NA	1614	0.15108156204223633	0.0975072	Yes	
row_39	SLC27A6	NA	1648	0.1504206657409668	0.09974577	Yes	
row_40	PDLIM4	NA	1658	0.1501985490322113	0.10355646	Yes	
row_41	FLRT2	NA	1776	0.14770889282226562	0.10019032	Yes	
row_42	CPXM1	NA	1782	0.14760950207710266	0.104188226	Yes	
row_43	LRP4	NA	1824	0.14690308272838593	0.10579747	Yes	
row_44	RARRES2	NA	1840	0.14655864238739014	0.10910681	Yes	
row_45	BNC1	NA	1843	0.14648954570293427	0.11326922	Yes	
row_46	RASL12	NA	1943	0.14477607607841492	0.11100108	Yes	
row_47	ADAMTS2	NA	1995	0.1438349187374115	0.11186262	Yes	
row_48	COL5A1	NA	2055	0.14260435104370117	0.11216189	Yes	
row_49	EFCAB1	NA	2072	0.14204493165016174	0.11527314	Yes	
row_50	BVES	NA	2076	0.14197318255901337	0.11923739	Yes	
