NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEACAM5	NA	503	0.18425314128398895	-0.015718106	Yes	
row_1	GRIA2	NA	510	0.1837817132472992	6.661613E-4	Yes	
row_2	CYP2A6	NA	713	0.1752811074256897	0.0035975848	Yes	
row_3	CGA	NA	720	0.17500561475753784	0.019180924	Yes	
row_4	CAMK2B	NA	848	0.17120330035686493	0.026591115	Yes	
row_5	DNALI1	NA	952	0.16769365966320038	0.0352333	Yes	
row_6	PTPRT	NA	956	0.16760587692260742	0.05033536	Yes	
row_7	TRPA1	NA	988	0.16692981123924255	0.06356471	Yes	
row_8	CYP2B6	NA	1020	0.16588495671749115	0.076698706	Yes	
row_9	GFRA1	NA	1071	0.16454963386058807	0.08848194	Yes	
row_10	MAGI2	NA	1253	0.15983282029628754	0.091361776	Yes	
row_11	SSTR2	NA	1287	0.15890157222747803	0.10372909	Yes	
row_12	SERPINA3	NA	1360	0.15737728774547577	0.11343483	Yes	
row_13	KCNJ3	NA	1388	0.15664543211460114	0.12598433	Yes	
row_14	SPINK4	NA	1506	0.1537528783082962	0.13244873	Yes	
row_15	ABCC8	NA	1551	0.152639701962471	0.14353311	Yes	
row_16	ERBB4	NA	1705	0.1490626484155655	0.14724104	Yes	
row_17	PIEZO2	NA	1722	0.14859682321548462	0.15976746	Yes	
row_18	ASCL1	NA	1859	0.14611589908599854	0.16430601	Yes	
row_19	CACNG4	NA	2048	0.14277906715869904	0.16517673	Yes	
row_20	FLRT3	NA	2071	0.14205460250377655	0.17671803	Yes	
row_21	ACOX2	NA	2105	0.1414702981710434	0.18749453	Yes	
row_22	TNNI3	NA	2126	0.14115086197853088	0.1990827	Yes	
row_23	TRIM9	NA	2212	0.1394515335559845	0.20631166	Yes	
row_24	GLRB	NA	2363	0.13681206107139587	0.20909561	Yes	
row_25	AGTR1	NA	2644	0.13200053572654724	0.20303221	Yes	
row_26	SERPINA5	NA	2854	0.12851083278656006	0.20124252	Yes	
row_27	SYT1	NA	3073	0.12478020787239075	0.19853024	Yes	
row_28	WFDC2	NA	3089	0.12451213598251343	0.20892332	Yes	
row_29	SLC8A2	NA	3130	0.12388814240694046	0.21764249	Yes	
row_30	NPY1R	NA	3168	0.12322460860013962	0.22649513	Yes	
row_31	EEF1A2	NA	3254	0.121731698513031	0.23210694	Yes	
row_32	TFF1	NA	3314	0.12085770815610886	0.23932064	Yes	
row_33	TEDC2	NA	3352	0.12020406872034073	0.24789762	Yes	
row_34	MSMB	NA	3421	0.11905424296855927	0.2543646	Yes	
row_35	TBC1D30	NA	3542	0.11668989062309265	0.25725254	Yes	
row_36	BMPR1B	NA	3588	0.11584469676017761	0.26491424	Yes	
row_37	NOVA1	NA	3643	0.11492931097745895	0.2719103	Yes	
row_38	GP2	NA	3759	0.11276890337467194	0.2747638	Yes	
row_39	PCLO	NA	3774	0.11261488497257233	0.28413576	Yes	
row_40	STK32B	NA	3887	0.11062237620353699	0.2869874	Yes	
row_41	CACNA1D	NA	3952	0.10920317471027374	0.29281408	Yes	
row_42	FGFR2	NA	4010	0.10809453576803207	0.29899234	Yes	
row_43	RHBDL1	NA	4116	0.10644003748893738	0.30191502	Yes	
row_44	PTGES	NA	4161	0.10561224073171616	0.30870757	Yes	
row_45	ARNT2	NA	4244	0.10399974882602692	0.31289515	Yes	
row_46	GNG13	NA	4361	0.10182341188192368	0.31468505	Yes	
row_47	NKAIN1	NA	4383	0.10132280737161636	0.32257372	Yes	
row_48	KCNE4	NA	4532	0.09837549924850464	0.32197922	Yes	
row_49	TESMIN	NA	4566	0.09783162921667099	0.32877317	Yes	
row_50	CA12	NA	4620	0.09674770385026932	0.3341746	Yes	
row_51	ZDHHC11	NA	4904	0.0908292680978775	0.32415977	Yes	
row_52	STC1	NA	4987	0.08914848417043686	0.326992	Yes	
row_53	SYBU	NA	5169	0.08518028259277344	0.32305887	Yes	
row_54	NAT1	NA	5221	0.08426542580127716	0.3274505	Yes	
row_55	CLSTN2	NA	5229	0.0840495303273201	0.3346683	Yes	
row_56	RDH16	NA	5235	0.08391635864973068	0.34200332	Yes	
row_57	DIO1	NA	5279	0.08307037502527237	0.3468033	Yes	
row_58	PCSK6	NA	5291	0.08282884210348129	0.353651	Yes	
row_59	SORD	NA	5309	0.08248823881149292	0.36007953	Yes	
row_60	SYT17	NA	5429	0.07958519458770752	0.35964587	Yes	
row_61	PPP1R3C	NA	5442	0.07924840599298477	0.3661021	Yes	
row_62	SLC27A2	NA	5452	0.07897976040840149	0.37272787	Yes	
row_63	SLC1A1	NA	5512	0.07773084938526154	0.3760057	Yes	
row_64	CCDC106	NA	5603	0.07550901919603348	0.37707573	Yes	
row_65	TNNT1	NA	5623	0.0752030611038208	0.38271004	Yes	
row_66	ANXA9	NA	5726	0.0731293112039566	0.38278675	Yes	
row_67	GLS2	NA	5790	0.07180868089199066	0.3852654	Yes	
row_68	GPR162	NA	5848	0.07058720290660858	0.38802066	Yes	
row_69	ESR1	NA	5859	0.07048527896404266	0.39380652	Yes	
row_70	HPN	NA	5933	0.0690295621752739	0.39538476	Yes	
row_71	MLPH	NA	5988	0.06797085702419281	0.39809528	Yes	
row_72	REPS2	NA	6094	0.06568072736263275	0.39729816	Yes	
row_73	GREB1	NA	6106	0.06534706801176071	0.40255043	Yes	
row_74	TFF3	NA	6124	0.06486479938030243	0.4073706	Yes	
row_75	IL24	NA	6136	0.0646304339170456	0.41255745	Yes	
row_76	GSTM3	NA	6185	0.06352683901786804	0.41525048	Yes	
row_77	C17orf75	NA	6236	0.06234687194228172	0.41770646	Yes	
row_78	SLC6A4	NA	6341	0.06023598089814186	0.4164771	Yes	
row_79	RAB26	NA	6365	0.059372056275606155	0.42040792	Yes	
row_80	CRABP2	NA	6407	0.058402810245752335	0.42308608	Yes	
row_81	DACH1	NA	6469	0.057294897735118866	0.4243695	Yes	
row_82	DNAJC12	NA	6477	0.05712439492344856	0.42913008	Yes	
row_83	CCND1	NA	6646	0.05322599411010742	0.42312154	Yes	
row_84	B9D1	NA	6673	0.05271712318062782	0.426251	Yes	
row_85	AGR2	NA	6748	0.051256388425827026	0.4261425	Yes	
row_86	NUDT6	NA	6826	0.049526382237672806	0.42568216	Yes	
row_87	EPOR	NA	6852	0.04882720485329628	0.42852125	Yes	
row_88	DENND1B	NA	6856	0.04871105030179024	0.4327727	Yes	
row_89	KIF5C	NA	7319	0.03938752040266991	0.40648565	No	
row_90	ABCA3	NA	7326	0.039295077323913574	0.40968373	No	
row_91	SLC19A2	NA	7483	0.03632549196481705	0.40290898	No	
row_92	LDLRAD4	NA	7593	0.03454845771193504	0.39901197	No	
row_93	RETREG1	NA	7835	0.02976711466908455	0.38614097	No	
row_94	KCTD3	NA	7885	0.02879401482641697	0.38559952	No	
row_95	AMIGO2	NA	7888	0.028783537447452545	0.38809702	No	
row_96	TMEM101	NA	8366	0.020440857857465744	0.35911068	No	
row_97	GDF15	NA	8414	0.01978708617389202	0.35787657	No	
row_98	TPPP3	NA	8417	0.019765231758356094	0.35955104	No	
row_99	ABAT	NA	8489	0.018770955502986908	0.35667193	No	
row_100	METRN	NA	8580	0.017458254471421242	0.3524441	No	
row_101	FBP1	NA	8715	0.014951055869460106	0.3451416	No	
row_102	CELSR3	NA	8787	0.013963580131530762	0.34182376	No	
row_103	DNAJC1	NA	8859	0.01240830309689045	0.33836398	No	
row_104	ARMT1	NA	8950	0.010808014310896397	0.33352923	No	
row_105	SREBF1	NA	8978	0.010445072315633297	0.33273613	No	
row_106	FAM234B	NA	9027	0.009816954843699932	0.33052748	No	
row_107	SPAG16	NA	9047	0.009568537585437298	0.33017182	No	
row_108	G6PC3	NA	9335	0.005427490454167128	0.3121043	No	
row_109	CHN2	NA	9371	0.004789722617715597	0.31027767	No	
row_110	CRIP1	NA	9484	0.003385573625564575	0.3033426	No	
row_111	UGCG	NA	9579	0.0018019569106400013	0.29742724	No	
row_112	SERPINI1	NA	9861	-0.0024139948654919863	0.2794728	No	
row_113	AGL	NA	10069	-0.005344189703464508	0.266572	No	
