NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	169	0.54299307	1.8294759	0.0	4.2857145E-4	0.001	5039	tags=64%, list=32%, signal=93%	
SMID_BREAST_CANCER_LUMINAL_A_UP	SMID_BREAST_CANCER_LUMINAL_A_UP	Details ...	78	0.49931762	1.6052897	0.0	0.009823046	0.044	5242	tags=65%, list=34%, signal=98%	
HUPER_BREAST_BASAL_VS_LUMINAL_UP	HUPER_BREAST_BASAL_VS_LUMINAL_UP	Details ...	51	0.51219964	1.5946057	0.0010245901	0.007949958	0.054	4804	tags=59%, list=31%, signal=85%	
BELTRAN_NEPC_UP	BELTRAN_NEPC_UP	Details ...	24	0.5546824	1.5610975	0.012061403	0.009523721	0.086	4850	tags=71%, list=31%, signal=103%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	31	0.51528233	1.5169915	0.0138004245	0.013891844	0.15	4250	tags=48%, list=27%, signal=66%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	31	0.51548123	1.513772	0.011603376	0.011858581	0.153	4918	tags=68%, list=32%, signal=99%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	119	0.4516273	1.4967996	0.001	0.012811863	0.193	4086	tags=40%, list=26%, signal=54%	
LIM_MAMMARY_STEM_CELL_UP	LIM_MAMMARY_STEM_CELL_UP	Details ...	396	0.43002498	1.4877493	0.0	0.012416569	0.211	5883	tags=57%, list=38%, signal=90%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	124	0.4406296	1.4645338	0.0	0.014430754	0.269	4021	tags=47%, list=26%, signal=63%	
SMID_BREAST_CANCER_LUMINAL_B_UP	SMID_BREAST_CANCER_LUMINAL_B_UP	Details ...	138	0.4327727	1.449855	0.0	0.015122164	0.302	6856	tags=64%, list=44%, signal=114%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	178	0.42100257	1.4142826	0.0	0.02029172	0.42	5534	tags=55%, list=35%, signal=84%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	173	0.4161411	1.405992	0.0	0.020449745	0.449	5743	tags=59%, list=37%, signal=92%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	31	0.4267454	1.2456275	0.15789473	0.11926584	0.978	6095	tags=58%, list=39%, signal=95%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	40	0.3702002	1.1182609	0.31069958	0.39414078	1.0	4888	tags=43%, list=31%, signal=62%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	170	0.31518987	1.0600598	0.344	0.570512	1.0	5100	tags=41%, list=33%, signal=61%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	178	0.31121853	1.0564064	0.338	0.5478753	1.0	4201	tags=31%, list=27%, signal=42%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	104	0.28789818	0.94380844	0.637	0.9118989	1.0	4090	tags=27%, list=26%, signal=36%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	167	0.25525635	0.85747296	0.861	1.0	1.0	6505	tags=43%, list=42%, signal=73%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	179	0.24748181	0.835361	0.9	1.0	1.0	4161	tags=25%, list=27%, signal=34%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	168	0.22616164	0.7568043	0.969	1.0	1.0	6646	tags=41%, list=43%, signal=71%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		127	0.21994658	0.7281081	0.9569138	1.0	1.0	6526	tags=40%, list=42%, signal=68%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		25	0.24455392	0.6906631	0.9095802	1.0	1.0	2107	tags=12%, list=14%, signal=14%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		182	0.20253941	0.6858243	0.985	1.0	1.0	6982	tags=45%, list=45%, signal=80%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		180	0.16699643	0.56494	0.999	0.99217594	1.0	5899	tags=32%, list=38%, signal=51%	
