NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	164	-0.34812596	---	---	1.0	0.0	1525	tags=27%, list=10%, signal=30%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	171	-0.20354815	---	---	1.0	0.0	2008	tags=26%, list=13%, signal=29%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	173	-0.26756015	---	---	1.0	0.0	2316	tags=26%, list=15%, signal=30%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	137	-0.49160728	---	---	1.0	0.0	3593	tags=49%, list=23%, signal=63%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	184	-0.298877	---	---	1.0	0.0	2408	tags=29%, list=15%, signal=34%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	177	-0.26439884	---	---	1.0	0.0	3094	tags=38%, list=20%, signal=47%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	179	-0.39222437	---	---	1.0	0.0	2813	tags=41%, list=18%, signal=50%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	182	-0.36057267	---	---	1.0	0.0	2878	tags=37%, list=18%, signal=45%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	178	-0.7406398	---	---	1.0	0.0	3053	tags=77%, list=20%, signal=95%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	141	-0.28756022	---	---	1.0	0.0	3574	tags=46%, list=23%, signal=59%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	190	-0.631331	---	---	1.0	0.0	3651	tags=62%, list=23%, signal=80%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	177	-0.17460746	---	---	1.0	0.0	2318	tags=23%, list=15%, signal=26%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	166	-0.30562878	---	---	1.0	0.0	2425	tags=31%, list=16%, signal=37%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	182	-0.24200775	---	---	1.0	0.0	2257	tags=29%, list=14%, signal=34%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	174	-0.21201622	---	---	1.0	0.0	2746	tags=30%, list=18%, signal=36%	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	Details ...	311	-0.15904786	---	---	1.0	0.0	2332	tags=22%, list=15%, signal=26%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	178	-0.5537264	-3.2863305	0.0	0.0	0.0	3109	tags=52%, list=20%, signal=65%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	-0.5243227	-3.166558	0.0	0.0	0.0	3915	tags=63%, list=25%, signal=84%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.5683763	-3.1444316	0.0	0.0	0.0	3704	tags=54%, list=24%, signal=70%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	39	-0.59477586	-2.6762772	0.0	0.0	0.0	1851	tags=46%, list=12%, signal=52%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		138	-0.37378198	-2.6635966	0.0	0.0	0.0	2496	tags=40%, list=16%, signal=47%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		86	-0.43892562	-2.6626618	0.0	0.0	0.0	2964	tags=51%, list=19%, signal=63%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		54	-0.5037594	-2.6003485	0.0	0.0	0.0	3444	tags=52%, list=22%, signal=66%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		84	-0.43510267	-2.3399515	0.0	0.0	0.0	3526	tags=48%, list=23%, signal=61%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		94	-0.34168094	-2.1497374	0.0	6.703911E-4	0.001	4010	tags=51%, list=26%, signal=68%	
