NAME	TITLE	SCORE	
SPANXB1	NA	0.3828935	
DEFB107A	NA	0.37248692	
CT45A3	NA	0.3674109	
LYPD8	NA	0.3485503	
SPANXA1	NA	0.3395053	
GAGE2A	NA	0.3376735	
ACR	NA	0.33264333	
GAGE13	NA	0.3309443	
SPANXC	NA	0.32613844	
SPANXA2	NA	0.30812007	
MALL	NA	0.30725607	
PNMA6E	NA	0.30679882	
SPACA5B	NA	0.30286038	
AGTR2	NA	0.29625878	
DEFB126	NA	0.2958143	
XAGE5	NA	0.2925147	
DEFB125	NA	0.29102147	
TUBB8	NA	0.28687307	
CTAG2	NA	0.286236	
ATP2B3	NA	0.28589728	
KLHL4	NA	0.28475434	
PAGE1	NA	0.2834409	
CT45A9	NA	0.28064832	
PAGE4	NA	0.28002444	
OTUD7A	NA	0.27863196	
ETDB	NA	0.27561355	
MAGEB6	NA	0.27389082	
MAGEA3	NA	0.27271286	
SATL1	NA	0.27248663	
SPANXN4	NA	0.2723888	
SPANXN5	NA	0.27089942	
PNMA5	NA	0.26944268	
CT45A1	NA	0.2684936	
SPANXN2	NA	0.2678425	
PAGE3	NA	0.2667154	
PRR20B	NA	0.26503864	
BRS3	NA	0.2648349	
HTR2C	NA	0.26424152	
MAGEC3	NA	0.2641155	
CSAG3	NA	0.26357558	
PASD1	NA	0.2634595	
GPR50	NA	0.26341414	
FATE1	NA	0.26311907	
XKR4	NA	0.2628993	
GAGE2E	NA	0.2622547	
DEFB131A	NA	0.260682	
DEFB127	NA	0.260638	
SPIN2A	NA	0.26005924	
ODF3	NA	0.25921434	
F9	NA	0.25829464	
PRR20A	NA	0.25776517	
DRP2	NA	0.2577056	
RHOXF1	NA	0.25737575	
ADGRG4	NA	0.25723302	
OPN1LW	NA	0.2564513	
TEX13B	NA	0.25509527	
MAGEB18	NA	0.2549917	
NRK	NA	0.2531375	
CYP2E1	NA	0.25140464	
SRPX2	NA	0.25138858	
CDX4	NA	0.25136018	
SERTM2	NA	0.25107697	
LUZP4	NA	0.2509826	
NPHP1	NA	0.25092775	
DACH2	NA	0.2506083	
DEFB135	NA	0.25058243	
SYTL5	NA	0.24998155	
PRAMEF10	NA	0.2497159	
SLITRK2	NA	0.24942346	
NLRP6	NA	0.24939096	
FRMD7	NA	0.24841286	
PRRG3	NA	0.24765548	
ATP1B4	NA	0.24739699	
XAGE2	NA	0.24680309	
SERPINA7	NA	0.24636717	
ARX	NA	0.246149	
ARR3	NA	0.24613653	
L1CAM	NA	0.24401434	
PROP1	NA	0.24247429	
LPAR4	NA	0.24209899	
CXorf66	NA	0.24055818	
ZNF705B	NA	0.24041267	
PRR32	NA	0.2397715	
MAGEB1	NA	0.23964448	
ESX1	NA	0.23937927	
PTCHD1	NA	0.23909846	
ARHGAP23	NA	0.2387582	
CFHR1	NA	0.23839842	
TEX11	NA	0.23796499	
USP26	NA	0.2378532	
MAGEB10	NA	0.23731165	
SSX1	NA	0.23626758	
CPXCR1	NA	0.23556119	
H2BW1	NA	0.23548588	
GABRA3	NA	0.23543248	
IDO2	NA	0.23536938	
CT83	NA	0.23470104	
VCX2	NA	0.23437454	
PRAMEF7	NA	0.23410644	
TCEAL7	NA	0.23403837	
PAGE2	NA	0.23278496	
IL13RA2	NA	0.23277608	
DEFA5	NA	0.23169167	
PAGE2B	NA	0.23165487	
RAB40A	NA	0.23096126	
PRAMEF15	NA	0.23061635	
PCDH11X	NA	0.23033896	
SPANXN1	NA	0.23025228	
CLPS	NA	0.22891587	
C1orf158	NA	0.22885783	
TENT5D	NA	0.22832471	
MBD3L5	NA	0.22826952	
DCX	NA	0.22823198	
ALPK3	NA	0.22796832	
BMP15	NA	0.22789553	
CXCL13	NA	0.22777122	
SMPX	NA	0.22775939	
MAGEC1	NA	0.22762735	
IGFL1	NA	0.22747989	
TNMD	NA	0.22723018	
THEG	NA	0.22709182	
XAGE3	NA	0.2266909	
GUCY2F	NA	0.22563484	
CACNA1F	NA	0.2255443	
GABRQ	NA	0.2254205	
DEFB129	NA	0.22530864	
PCDH19	NA	0.22506706	
OTC	NA	0.22476955	
GLOD5	NA	0.22466525	
RTL3	NA	0.22436702	
MAGEC2	NA	0.22431439	
GPR173	NA	0.22388531	
RGN	NA	0.22373392	
TCEAL5	NA	0.22369294	
S100G	NA	0.22349937	
NXF3	NA	0.22316666	
SSX3	NA	0.22311617	
POTEG	NA	0.22288108	
AKAP4	NA	0.2225516	
MAGEB17	NA	0.22246498	
CYYR1	NA	0.22212885	
SPANXN3	NA	0.22189407	
LRRC66	NA	0.22174993	
C12orf54	NA	0.22171605	
NXF5	NA	0.22167565	
ANHX	NA	0.22162196	
MAGEA11	NA	0.22123724	
REM1	NA	0.22087406	
TRPC5OS	NA	0.22075349	
CLDN2	NA	0.22041894	
PHEX	NA	0.22038664	
MAGEA8	NA	0.21975648	
CT55	NA	0.21974151	
VCX3A	NA	0.21966927	
TEX13A	NA	0.21927199	
HBZ	NA	0.2192413	
ZIM3	NA	0.21911097	
PLAC1	NA	0.21891017	
GJB1	NA	0.21887456	
S100A3	NA	0.21887136	
CFHR3	NA	0.21885197	
FMR1NB	NA	0.21801026	
PRKCG	NA	0.21784674	
RIPPLY1	NA	0.21768413	
DEFB128	NA	0.21762604	
FGF16	NA	0.21758023	
FAM9A	NA	0.21712087	
ARHGAP36	NA	0.21698104	
AMY2A	NA	0.21634072	
GLRA2	NA	0.21617053	
ZP4	NA	0.2160895	
SPATA3	NA	0.21581537	
MAGEB3	NA	0.21563306	
G6PC	NA	0.21543509	
AWAT1	NA	0.21512583	
SPANXD	NA	0.21493748	
MYH11	NA	0.2148411	
TAF7L	NA	0.21465294	
GAP43	NA	0.21460292	
