NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNB2	NA	57	0.3419624865055084	0.08016453	Yes	
row_1	PROX1	NA	311	0.25091466307640076	0.12542652	Yes	
row_2	NRSN1	NA	580	0.2265510857105255	0.16375324	Yes	
row_3	TRIM9	NA	754	0.21651272475719452	0.2057188	Yes	
row_4	SVOP	NA	758	0.21639473736286163	0.25857037	Yes	
row_5	KIAA0408	NA	810	0.21385405957698822	0.30771732	Yes	
row_6	AURKA	NA	1125	0.2019990235567093	0.33707222	Yes	
row_7	PCSK1	NA	1339	0.19516053795814514	0.37123558	Yes	
row_8	GPX2	NA	1343	0.1948128640651703	0.41879684	Yes	
row_9	GNAO1	NA	1487	0.19110532104969025	0.45646054	Yes	
row_10	JAKMIP2	NA	1636	0.18705174326896667	0.49280956	Yes	
row_11	ETV5	NA	1806	0.18334805965423584	0.52690244	Yes	
row_12	SCG3	NA	2046	0.17780521512031555	0.55514216	Yes	
row_13	RGS7	NA	2524	0.16949284076690674	0.56606346	Yes	
row_14	CAND2	NA	3248	0.1581784337759018	0.55841666	No	
row_15	ST8SIA3	NA	4533	0.14162936806678772	0.5106941	No	
row_16	MYCN	NA	4935	0.13691066205501556	0.5185082	No	
row_17	KCND2	NA	6180	0.12347390502691269	0.4689034	No	
row_18	EZH2	NA	6436	0.12083509564399719	0.48215094	No	
row_19	DNMT1	NA	8594	0.09758497774600983	0.36758047	No	
row_20	SEZ6	NA	9522	0.0874849483370781	0.32950693	No	
row_21	SYT11	NA	9525	0.08745447546243668	0.35081598	No	
row_22	SEC11C	NA	10058	0.08161073923110962	0.33666366	No	
row_23	BRINP1	NA	10381	0.07739001512527466	0.3349599	No	
