NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CARTPT	NA	30	0.3761884272098541	0.026836209	No	
row_1	IL12B	NA	1090	0.20329859852790833	-0.026229732	No	
row_2	CD1D	NA	1229	0.19861912727355957	-0.019976357	No	
row_3	CCL11	NA	1244	0.19807466864585876	-0.005729907	No	
row_4	ZAP70	NA	1404	0.19297881424427032	-0.0012687638	No	
row_5	IL11	NA	1643	0.18685923516750336	-0.0023946962	No	
row_6	CCL2	NA	1692	0.1857679933309555	0.008707168	No	
row_7	GCNT1	NA	1882	0.18153704702854156	0.010349078	No	
row_8	TGFB2	NA	1901	0.18111592531204224	0.023038924	No	
row_9	CDKN2A	NA	2110	0.17653310298919678	0.023066884	No	
row_10	PRKCG	NA	2237	0.17418453097343445	0.028228456	No	
row_11	DYRK3	NA	2339	0.17244300246238708	0.034876697	No	
row_12	IL2	NA	2462	0.1702733188867569	0.03999823	No	
row_13	MAP3K7	NA	2509	0.16967737674713135	0.049998682	No	
row_14	MRPL3	NA	2594	0.16778187453746796	0.057391863	No	
row_15	ACVR2A	NA	2668	0.16667325794696808	0.06541299	No	
row_16	MBL2	NA	2673	0.16661056876182556	0.07790025	No	
row_17	IL13	NA	2853	0.16385899484157562	0.07883768	No	
row_18	TPD52	NA	3447	0.15553659200668335	0.05231277	No	
row_19	IL7	NA	3459	0.15526437759399414	0.063478425	No	
row_20	CCL19	NA	3760	0.15110959112644196	0.05560012	No	
row_21	BRCA1	NA	3935	0.14881205558776855	0.055710368	No	
row_22	CCL7	NA	4576	0.1411040872335434	0.025035884	No	
row_23	RIPK2	NA	4734	0.13924351334571838	0.025515629	No	
row_24	HDAC9	NA	5049	0.13564029335975647	0.0155467065	No	
row_25	FASLG	NA	5173	0.13421089947223663	0.017844506	No	
row_26	MTIF2	NA	5471	0.13107867538928986	0.008628134	No	
row_27	KRT1	NA	5660	0.12892641127109528	0.0063098916	No	
row_28	INHBA	NA	6022	0.12514279782772064	-0.007507559	No	
row_29	FCGR2B	NA	6091	0.12448187917470932	-0.002390281	No	
row_30	IL10	NA	6343	0.1218353733420372	-0.00933318	No	
row_31	LIF	NA	6452	0.12062977999448776	-0.0071024536	No	
row_32	CCL13	NA	6471	0.12036878615617752	9.3996443E-4	No	
row_33	GALNT1	NA	6995	0.11458651721477509	-0.024182076	No	
row_34	CXCL13	NA	7030	0.11424650996923447	-0.017644778	No	
row_35	THY1	NA	7038	0.11419062316417694	-0.009362258	No	
row_36	F2	NA	7181	0.11272385716438293	-0.009939442	No	
row_37	ELANE	NA	7207	0.11246978491544724	-0.0029549066	No	
row_38	RPL3L	NA	7387	0.11059939116239548	-0.0060920813	No	
row_39	CCL22	NA	7476	0.10957444459199905	-0.0034112132	No	
row_40	NOS2	NA	7576	0.10855933278799057	-0.0015207645	No	
row_41	IL12A	NA	7611	0.10811079293489456	0.0045471224	No	
row_42	NCK1	NA	8137	0.10242000967264175	-0.021635301	No	
row_43	CD80	NA	8522	0.09831201285123825	-0.03899574	No	
row_44	ABCE1	NA	8539	0.09814845770597458	-0.032523684	No	
row_45	MMP9	NA	8553	0.09799759835004807	-0.02586878	No	
row_46	EGFR	NA	8585	0.09765144437551498	-0.020406691	No	
row_47	IL9	NA	8647	0.09705119580030441	-0.01693441	No	
row_48	ELF4	NA	8678	0.09674890339374542	-0.011476573	No	
row_49	CD79A	NA	8996	0.09347723424434662	-0.024865547	No	
row_50	SOCS1	NA	9110	0.0922234058380127	-0.025132015	No	
row_51	IL15	NA	9350	0.08949751406908035	-0.03377135	No	
row_52	GLMN	NA	9659	0.08608518540859222	-0.047142684	No	
row_53	GBP2	NA	9731	0.08546597510576248	-0.045204688	No	
row_54	BCL3	NA	9917	0.0833473801612854	-0.050815538	No	
row_55	CXCL9	NA	9965	0.08285494148731232	-0.047522187	No	
row_56	EIF4G3	NA	9970	0.08278524875640869	-0.04144793	No	
row_57	NME1	NA	10239	0.07904903590679169	-0.052765712	No	
row_58	TLR3	NA	10339	0.07795918732881546	-0.053216312	No	
row_59	IL6	NA	10453	0.07650534808635712	-0.054685283	No	
row_60	MAP4K1	NA	10539	0.07547552138566971	-0.054418746	No	
row_61	RARS1	NA	10650	0.07402363419532776	-0.05588319	No	
row_62	EIF3A	NA	10770	0.07226790487766266	-0.058065124	No	
row_63	IFNGR1	NA	11008	0.06893949210643768	-0.068147644	No	
row_64	CRTAM	NA	11096	0.06784290820360184	-0.068594635	No	
row_65	IL2RA	NA	11112	0.06756243109703064	-0.064397745	No	
row_66	SIT1	NA	11403	0.06367046386003494	-0.078317575	No	
row_67	SOCS5	NA	11420	0.06350389122962952	-0.07449598	No	
row_68	NPM1	NA	11642	0.060493648052215576	-0.08418791	No	
row_69	CD40LG	NA	11948	0.05567680671811104	-0.099691235	No	
row_70	BCAT1	NA	11972	0.055093929171562195	-0.09696662	No	
row_71	ETS1	NA	12076	0.0537382997572422	-0.0995294	No	
row_72	IRF4	NA	12173	0.05239441618323326	-0.10174143	No	
row_73	UBE2N	NA	12279	0.050679903477430344	-0.1046678	No	
row_74	WAS	NA	12507	0.047207076102495193	-0.11576498	No	
row_75	APBB1	NA	12584	0.04591617360711098	-0.117176704	No	
row_76	IFNAR2	NA	12637	0.04486283287405968	-0.1171139	No	
row_77	EIF3D	NA	12709	0.043657511472702026	-0.11837444	No	
row_78	IL4	NA	12744	0.042966078966856	-0.117290415	No	
row_79	CD3G	NA	12805	0.04173806309700012	-0.11798503	No	
row_80	TLR1	NA	12851	0.04099564626812935	-0.11776452	No	
row_81	CD40	NA	12972	0.03891856595873833	-0.12256262	No	
row_82	EREG	NA	13145	0.035013504326343536	-0.13102888	No	
row_83	CSF1	NA	13167	0.034553226083517075	-0.12974612	No	
row_84	RPL9	NA	13351	0.031043678522109985	-0.13922885	No	
row_85	IFNG	NA	13374	0.030437124893069267	-0.1383258	No	
row_86	STAT1	NA	13430	0.029040487483143806	-0.13966785	No	
row_87	TLR6	NA	13475	0.02821001410484314	-0.1403607	No	
row_88	CXCR3	NA	13576	0.025807401165366173	-0.14486593	No	
row_89	CD7	NA	13617	0.02485944889485836	-0.14555593	No	
row_90	ICAM1	NA	13703	0.022712429985404015	-0.149326	No	
row_91	UBE2D1	NA	13835	0.019228441640734673	-0.15634324	No	
row_92	HIF1A	NA	13838	0.019180722534656525	-0.15500543	No	
row_93	CD4	NA	13887	0.017936157062649727	-0.15674345	No	
row_94	IL12RB1	NA	14006	0.015053503215312958	-0.16323774	No	
row_95	TRAT1	NA	14159	0.010888366959989071	-0.17225376	No	
row_96	CD96	NA	14301	0.006280804984271526	-0.18090951	No	
row_97	CD28	NA	14322	0.00546248210594058	-0.18178754	No	
row_98	CCND2	NA	14332	0.005038555711507797	-0.18198523	No	
row_99	IL27RA	NA	14351	0.0046380916610360146	-0.18279672	No	
row_100	WARS1	NA	14414	0.002510354621335864	-0.18662204	No	
row_101	GPR65	NA	14418	0.0023741291370242834	-0.1866348	No	
row_102	LY86	NA	14437	0.0018158458406105638	-0.1876622	No	
row_103	CD8A	NA	14502	-6.000942667014897E-4	-0.19176325	No	
row_104	KLRD1	NA	14570	-0.0030129184015095234	-0.1958741	No	
row_105	IGSF6	NA	14571	-0.003025420242920518	-0.19564264	No	
row_106	IRF8	NA	14618	-0.004906638525426388	-0.19824788	No	
row_107	IL2RB	NA	14722	-0.009336693212389946	-0.2042076	No	
row_108	CD3E	NA	14731	-0.009694607928395271	-0.20398429	No	
row_109	CCR2	NA	14755	-0.010980370454490185	-0.20463455	No	
row_110	AARS1	NA	14763	-0.01131188403815031	-0.20422271	No	
row_111	CD2	NA	14765	-0.011409640312194824	-0.20341462	No	
row_112	GZMB	NA	14774	-0.011816135607659817	-0.203029	No	
row_113	PRKCB	NA	14795	-0.012618484906852245	-0.20335956	No	
row_114	CD86	NA	14801	-0.012971894815564156	-0.20269114	No	
row_115	ITK	NA	14849	-0.01589406281709671	-0.20452058	No	
row_116	RPS19	NA	14889	-0.017466112971305847	-0.20571141	Yes	
row_117	CCR5	NA	14892	-0.017624743282794952	-0.20449263	Yes	
row_118	GZMA	NA	14905	-0.01836072839796543	-0.2038655	Yes	
row_119	ITGAL	NA	14924	-0.019639551639556885	-0.20352931	Yes	
row_120	IL18RAP	NA	14942	-0.021070709452033043	-0.20301884	Yes	
row_121	NLRP3	NA	14943	-0.021118436008691788	-0.2014032	Yes	
row_122	IL18	NA	14953	-0.02170376293361187	-0.20032592	Yes	
row_123	F2R	NA	14963	-0.02230159193277359	-0.19920292	Yes	
row_124	TIMP1	NA	15026	-0.026193920522928238	-0.20121634	Yes	
row_125	DARS1	NA	15058	-0.028624722734093666	-0.2010351	Yes	
row_126	CD247	NA	15070	-0.029342632740736008	-0.19950302	Yes	
row_127	CCR1	NA	15082	-0.03047199174761772	-0.19788453	Yes	
row_128	FAS	NA	15096	-0.03119043819606304	-0.19634067	Yes	
row_129	CAPG	NA	15100	-0.031308047473430634	-0.19413985	Yes	
row_130	PRF1	NA	15122	-0.032790228724479675	-0.19299197	Yes	
row_131	LCP2	NA	15130	-0.03360702469944954	-0.19087446	Yes	
row_132	CD8B	NA	15140	-0.03424735367298126	-0.18883756	Yes	
row_133	IL4R	NA	15145	-0.03461947664618492	-0.18644819	Yes	
row_134	CFP	NA	15153	-0.035121649503707886	-0.1842148	Yes	
row_135	CSK	NA	15158	-0.03552280738949776	-0.18175633	Yes	
row_136	LYN	NA	15173	-0.03697752207517624	-0.17983453	Yes	
row_137	STAT4	NA	15199	-0.03952959552407265	-0.17843024	Yes	
row_138	SPI1	NA	15205	-0.039960701018571854	-0.17569706	Yes	
row_139	IKBKB	NA	15221	-0.04204127937555313	-0.17345266	Yes	
row_140	CCND3	NA	15226	-0.04232895374298096	-0.17047349	Yes	
row_141	IL16	NA	15255	-0.04553808644413948	-0.16880392	Yes	
row_142	RPS3A	NA	15266	-0.04645831137895584	-0.16589761	Yes	
row_143	CD3D	NA	15298	-0.05176305025815964	-0.16394618	Yes	
row_144	LY75	NA	15380	-0.06384241580963135	-0.16431046	Yes	
row_145	DEGS1	NA	15398	-0.06737810373306274	-0.16025726	Yes	
row_146	IFNGR2	NA	15406	-0.0692962035536766	-0.15540937	Yes	
row_147	IL1B	NA	15450	-0.07960880547761917	-0.15210517	Yes	
row_148	STAB1	NA	15456	-0.08190763741731644	-0.14616285	Yes	
row_149	CTSS	NA	15467	-0.08387492597103119	-0.140394	Yes	
row_150	PTPN6	NA	15469	-0.08417922258377075	-0.13401872	Yes	
row_151	FYB1	NA	15470	-0.08420175313949585	-0.1275769	Yes	
row_152	HCLS1	NA	15472	-0.08455581963062286	-0.1211728	Yes	
row_153	TGFB1	NA	15480	-0.08727952092885971	-0.11494911	Yes	
row_154	LCK	NA	15502	-0.09284377843141556	-0.10920686	Yes	
row_155	RPL39	NA	15526	-0.10075455904006958	-0.102988996	Yes	
row_156	JAK2	NA	15527	-0.10142321139574051	-0.09522967	Yes	
row_157	PF4	NA	15540	-0.10638770461082458	-0.08786809	Yes	
row_158	ST8SIA4	NA	15548	-0.10895225405693054	-0.07998633	Yes	
row_159	IL2RG	NA	15550	-0.11056201159954071	-0.07159264	Yes	
row_160	B2M	NA	15553	-0.11187490820884705	-0.063163295	Yes	
row_161	EIF3J	NA	15574	-0.1285707950592041	-0.05462298	Yes	
row_162	PSMB10	NA	15580	-0.1417306661605835	-0.044103935	Yes	
row_163	ITGB2	NA	15583	-0.14673687517642975	-0.0330075	Yes	
row_164	CD74	NA	15596	-0.21787552535533905	-0.017116603	Yes	
row_165	SRGN	NA	15598	-0.22458136081695557	7.9959136E-8	Yes	
