NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTC1	NA	77	0.31906795501708984	0.012707699	Yes	
row_1	COL17A1	NA	156	0.283027708530426	0.023351477	Yes	
row_2	ACTN2	NA	239	0.26342853903770447	0.032648865	Yes	
row_3	CRB3	NA	553	0.22878551483154297	0.025052838	Yes	
row_4	CLDN4	NA	645	0.2230815589427948	0.03152891	Yes	
row_5	LAMA3	NA	765	0.21611540019512177	0.035803813	Yes	
row_6	ITGA10	NA	1137	0.20167338848114014	0.022944756	Yes	
row_7	GNAI1	NA	1396	0.1931917518377304	0.016939104	Yes	
row_8	GRB7	NA	1398	0.1930932253599167	0.02758493	Yes	
row_9	SHROOM2	NA	1445	0.19202670454978943	0.035255015	Yes	
row_10	NEGR1	NA	1482	0.1912217140197754	0.043528575	Yes	
row_11	COL9A1	NA	1486	0.19112271070480347	0.053935476	Yes	
row_12	MMP2	NA	1573	0.18841040134429932	0.058812447	Yes	
row_13	CNTN1	NA	1648	0.18673840165138245	0.06437443	Yes	
row_14	CLDN19	NA	1876	0.18163616955280304	0.059737008	Yes	
row_15	TRO	NA	1977	0.17938999831676483	0.06320625	Yes	
row_16	ADRA1B	NA	2088	0.17687560617923737	0.06588788	Yes	
row_17	TNFRSF11B	NA	2096	0.17674383521080017	0.07523795	Yes	
row_18	ITGA2	NA	2126	0.1762223243713379	0.083133206	Yes	
row_19	ADAM23	NA	2287	0.17342786490917206	0.082382955	Yes	
row_20	PARD6G	NA	2293	0.17336317896842957	0.091675125	Yes	
row_21	LAMB3	NA	2304	0.17309150099754333	0.10062817	Yes	
row_22	MVD	NA	2646	0.16691261529922485	0.08778536	Yes	
row_23	ITGA3	NA	2687	0.1664160043001175	0.09442373	Yes	
row_24	TMEM8B	NA	2724	0.1659059077501297	0.10129306	Yes	
row_25	KCNH2	NA	2759	0.1653430312871933	0.10826079	Yes	
row_26	NLGN3	NA	2767	0.16523940861225128	0.11697272	Yes	
row_27	SLIT2	NA	2858	0.16377590596675873	0.120224	Yes	
row_28	CLDN7	NA	3057	0.16103507578372955	0.116323434	Yes	
row_29	CADM3	NA	3089	0.1604180932044983	0.12321242	Yes	
row_30	ACTN4	NA	3204	0.15881894528865814	0.12463323	Yes	
row_31	MDK	NA	3235	0.158341184258461	0.13147183	Yes	
row_32	NRTN	NA	3449	0.15551987290382385	0.12629315	Yes	
row_33	RRAS	NA	3451	0.15550920367240906	0.13485424	Yes	
row_34	NECTIN3	NA	3685	0.15220661461353302	0.12819551	Yes	
row_35	NLGN2	NA	3687	0.1521984189748764	0.13657296	Yes	
row_36	IRS1	NA	3704	0.15191206336021423	0.14396232	Yes	
row_37	DMP1	NA	3718	0.15175633132457733	0.1515375	Yes	
row_38	PDZD3	NA	3822	0.15030422806739807	0.15319894	Yes	
row_39	CD276	NA	3824	0.15029190480709076	0.16147062	Yes	
row_40	ACTG2	NA	3827	0.15020626783370972	0.16967276	Yes	
row_41	CLDN14	NA	3834	0.1501045972108841	0.17761	Yes	
row_42	CTNND1	NA	3862	0.14976614713668823	0.18416739	Yes	
row_43	SPEG	NA	3866	0.1497027426958084	0.19227678	Yes	
row_44	SDC3	NA	3903	0.14920759201049805	0.19821987	Yes	
row_45	JAM3	NA	4015	0.14766854047775269	0.1992166	Yes	
row_46	GTF2F1	NA	4039	0.14739251136779785	0.20590158	Yes	
row_47	VCAM1	NA	4104	0.14663903415203094	0.20988743	Yes	
row_48	FSCN1	NA	4355	0.14355506002902985	0.201647	Yes	
row_49	NECTIN4	NA	4406	0.14307451248168945	0.20634252	Yes	
row_50	NRAP	NA	4452	0.1425374299287796	0.2113323	Yes	
row_51	LIMA1	NA	4520	0.14170575141906738	0.21485007	Yes	
row_52	CLDN11	NA	4592	0.14094196259975433	0.21806623	Yes	
row_53	DSC3	NA	4746	0.13912276923656464	0.2158668	Yes	
row_54	ATP1A3	NA	4753	0.13903546333312988	0.22319004	Yes	
row_55	CADM2	NA	4866	0.13779698312282562	0.22357441	Yes	
row_56	DSC1	NA	5002	0.1362602412700653	0.22238284	Yes	
row_57	AMH	NA	5314	0.13277599215507507	0.20959091	Yes	
row_58	ALOX15B	NA	5319	0.1327274739742279	0.2166939	Yes	
row_59	MPZL2	NA	5508	0.13063491880893707	0.2117552	Yes	
row_60	CDH6	NA	5644	0.1290961652994156	0.21016625	Yes	
row_61	ADAMTS5	NA	5726	0.12818409502506256	0.2120266	Yes	
row_62	PARVA	NA	5799	0.12732072174549103	0.21442239	Yes	
row_63	AMIGO1	NA	5806	0.12723641097545624	0.22109115	Yes	
row_64	MYH10	NA	5893	0.12636485695838928	0.22252654	Yes	
row_65	CDK8	NA	5914	0.12615430355072021	0.2282279	Yes	
row_66	RSU1	NA	5915	0.12614351511001587	0.23522492	Yes	
row_67	CD209	NA	5941	0.1258292943239212	0.2405842	Yes	
row_68	MAPK11	NA	5969	0.12557396292686462	0.24579968	Yes	
row_69	HADH	NA	5978	0.12553679943084717	0.25224453	Yes	
row_70	PPP2R2C	NA	5981	0.1255173534154892	0.2590772	Yes	
row_71	CDH8	NA	6104	0.1242944598197937	0.25806448	No	
row_72	PIK3R3	NA	6357	0.1217203363776207	0.24848327	No	
row_73	NF1	NA	6374	0.12151719629764557	0.25418666	No	
row_74	SGCE	NA	6684	0.11799317598342896	0.24070437	No	
row_75	THY1	NA	7038	0.11419062316417694	0.22415939	No	
row_76	JUP	NA	7069	0.11391925066709518	0.22853397	No	
row_77	WNK4	NA	7082	0.11373478174209595	0.23406494	No	
row_78	CD34	NA	7286	0.11166290938854218	0.2271017	No	
row_79	ITGB4	NA	7288	0.11163002997636795	0.23322886	No	
row_80	CLDN18	NA	7415	0.11030969023704529	0.23118116	No	
row_81	TSC1	NA	7595	0.10829627513885498	0.2255867	No	
row_82	PTK2	NA	7674	0.10742132365703583	0.2264898	No	
row_83	GAMT	NA	7792	0.10601220279932022	0.22478704	No	
row_84	VWF	NA	7803	0.10594476014375687	0.23001555	No	
row_85	NF2	NA	8049	0.10323891788721085	0.21986288	No	
row_86	NFASC	NA	8067	0.10313057154417038	0.22448158	No	
row_87	LAMC2	NA	8118	0.10255897790193558	0.22692975	No	
row_88	SYMPK	NA	8130	0.1024596244096756	0.23190013	No	
row_89	CDH11	NA	8436	0.09905505925416946	0.21762662	No	
row_90	CDH15	NA	8438	0.09904104471206665	0.22305548	No	
row_91	PCDH1	NA	8498	0.09845633059740067	0.22469276	No	
row_92	MMP9	NA	8553	0.09799759835004807	0.22662866	No	
row_93	PLCG1	NA	8578	0.09771426767110825	0.23049325	No	
row_94	EGFR	NA	8585	0.09765144437551498	0.23552097	No	
row_95	CLDN6	NA	8853	0.09488710016012192	0.22347917	No	
row_96	CDH4	NA	8920	0.09413269907236099	0.22442293	No	
row_97	NECTIN1	NA	9030	0.09313216805458069	0.22252423	No	
row_98	EXOC4	NA	9149	0.09173262864351273	0.2199646	No	
row_99	SKAP2	NA	9197	0.09128065407276154	0.2219816	No	
row_100	CD274	NA	9324	0.08988883346319199	0.21880119	No	
row_101	WASL	NA	9403	0.08890792727470398	0.21867739	No	
row_102	MADCAM1	NA	9772	0.08502717316150665	0.19954254	No	
row_103	BMP1	NA	9834	0.08428625762462616	0.2002642	No	
row_104	CERCAM	NA	9863	0.08402793109416962	0.20311037	No	
row_105	CALB2	NA	9919	0.08330720663070679	0.20416659	No	
row_106	CX3CL1	NA	10034	0.08189838379621506	0.20132071	No	
row_107	MAPK13	NA	10171	0.07996704429388046	0.19694181	No	
row_108	ADAM15	NA	10257	0.07887566089630127	0.19580784	No	
row_109	ACTA1	NA	10675	0.07372415065765381	0.1728702	No	
row_110	TIAL1	NA	10720	0.07289288192987442	0.1740617	No	
row_111	LAYN	NA	10821	0.07155419141054153	0.17154942	No	
row_112	YWHAH	NA	10833	0.0713694840669632	0.17479526	No	
row_113	CLDN5	NA	11198	0.06642985343933105	0.15488811	No	
row_114	CTNNA1	NA	11425	0.06346054375171661	0.14376044	No	
