NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSV	NA	319	0.25023260712623596	-0.001261461	Yes	
row_1	FGA	NA	662	0.22199305891990662	-0.006193173	Yes	
row_2	ACOX2	NA	831	0.21286459267139435	-5.869197E-4	Yes	
row_3	MMP10	NA	854	0.2122732698917389	0.014408174	Yes	
row_4	CPB2	NA	956	0.20822235941886902	0.023984972	Yes	
row_5	PROZ	NA	1156	0.20106373727321625	0.026675344	Yes	
row_6	MMP14	NA	1207	0.19932574033737183	0.038859732	Yes	
row_7	MMP2	NA	1573	0.18841040134429932	0.029844545	Yes	
row_8	SERPINC1	NA	1622	0.1873161494731903	0.041229382	Yes	
row_9	C8B	NA	1682	0.1859769970178604	0.051799826	Yes	
row_10	CAPN5	NA	1730	0.18503841757774353	0.06307313	Yes	
row_11	C9	NA	1796	0.18362657725811005	0.07307408	Yes	
row_12	FGG	NA	2124	0.17627336084842682	0.06557581	Yes	
row_13	ITGA2	NA	2126	0.1762223243713379	0.079139836	Yes	
row_14	CPN1	NA	2198	0.17499442398548126	0.088085465	Yes	
row_15	CTSE	NA	2207	0.17481358349323273	0.101088196	Yes	
row_16	MMP3	NA	2273	0.17366476356983185	0.11031872	Yes	
row_17	LEFTY2	NA	2312	0.1729724258184433	0.12124045	Yes	
row_18	GDA	NA	2441	0.1706661731004715	0.12616798	Yes	
row_19	TIMP3	NA	2463	0.17026764154434204	0.13797908	Yes	
row_20	PLAT	NA	2550	0.16885901987552643	0.1454809	Yes	
row_21	MBL2	NA	2673	0.16661056876182556	0.15048252	Yes	
row_22	FN1	NA	2739	0.1655869483947754	0.15908831	Yes	
row_23	MST1	NA	2947	0.16249144077301025	0.15827863	Yes	
row_24	KLKB1	NA	3122	0.15991294384002686	0.159402	Yes	
row_25	HRG	NA	3141	0.159579336643219	0.17058034	Yes	
row_26	TMPRSS6	NA	3350	0.15677636861801147	0.16926405	Yes	
row_27	APOC3	NA	3750	0.15126968920230865	0.15517938	Yes	
row_28	GNG12	NA	3830	0.15016257762908936	0.16168761	Yes	
row_29	KLK8	NA	4111	0.1465798318386078	0.15493007	Yes	
row_30	HTRA1	NA	4181	0.14567582309246063	0.16173752	Yes	
row_31	CFI	NA	4213	0.14530996978282928	0.17097223	Yes	
row_32	F13B	NA	4391	0.1432485580444336	0.17061295	Yes	
row_33	ISCU	NA	4534	0.1416228711605072	0.17238966	Yes	
row_34	C3	NA	4663	0.14011292159557343	0.17495428	Yes	
row_35	A2M	NA	4689	0.13980261981487274	0.18415079	Yes	
row_36	SERPINB2	NA	4840	0.13806556165218353	0.18513542	Yes	
row_37	HMGCS2	NA	4883	0.1374853104352951	0.19305417	Yes	
row_38	F10	NA	4933	0.13693058490753174	0.20047767	Yes	
row_39	PLG	NA	4992	0.1363954246044159	0.20727822	Yes	
row_40	ARF4	NA	5318	0.1327522248029709	0.19654337	Yes	
row_41	DCT	NA	5755	0.12778104841709137	0.17825119	Yes	
row_42	MSRB2	NA	5761	0.12767988443374634	0.18780257	Yes	
row_43	C1R	NA	5843	0.12688857316970825	0.1923816	Yes	
row_44	MMP8	NA	6049	0.12485954910516739	0.18879078	Yes	
row_45	ANG	NA	6273	0.12253085523843765	0.18385671	Yes	
row_46	F12	NA	6333	0.12193652242422104	0.1894744	Yes	
row_47	F11	NA	6500	0.12011679261922836	0.188037	Yes	
row_48	COMP	NA	6607	0.11895522475242615	0.19038697	Yes	
row_49	RAPGEF3	NA	6628	0.11862210929393768	0.19826853	Yes	
row_50	MMP1	NA	6880	0.11601289361715317	0.191021	Yes	
row_51	MEP1A	NA	7111	0.11352688819169998	0.18493824	Yes	
row_52	F2	NA	7181	0.11272385716438293	0.18919724	Yes	
row_53	C8A	NA	7190	0.11264130473136902	0.1973917	Yes	
row_54	CFD	NA	7390	0.11056017130613327	0.19308273	Yes	
row_55	C1S	NA	7649	0.10772323608398438	0.18474177	Yes	
row_56	HNF4A	NA	7695	0.10718874633312225	0.19012359	Yes	
row_57	VWF	NA	7803	0.10594476014375687	0.19140273	Yes	
row_58	MMP7	NA	7811	0.10584509372711182	0.19913621	Yes	
row_59	S100A1	NA	7919	0.10463182628154755	0.20031384	Yes	
row_60	APOC2	NA	7933	0.1045396700501442	0.20755863	Yes	
row_61	TFPI2	NA	7943	0.10448715835809708	0.21505785	Yes	
row_62	APOA1	NA	7980	0.10406115651130676	0.22077937	Yes	
row_63	GSN	NA	8080	0.10299500823020935	0.22234736	Yes	
row_64	SERPINE1	NA	8328	0.10007952153682709	0.21412607	Yes	
row_65	F3	NA	8482	0.09858126938343048	0.2118632	Yes	
row_66	MAFF	NA	8488	0.0985543355345726	0.21916208	Yes	
row_67	MMP9	NA	8553	0.09799759835004807	0.22260529	Yes	
row_68	TF	NA	8574	0.09774476289749146	0.22887224	Yes	
row_69	ITIH1	NA	8609	0.09744278341531754	0.23421116	Yes	
row_70	SERPING1	NA	9345	0.08955229818820953	0.19364098	No	
row_71	MASP2	NA	9370	0.08919967710971832	0.19898859	No	
row_72	C1QA	NA	9590	0.08680383116006851	0.19154996	No	
row_73	KLF7	NA	9681	0.08588229864835739	0.19237606	No	
row_74	CTSH	NA	9750	0.0852426066994667	0.19457436	No	
row_75	F9	NA	9768	0.08508118987083435	0.2000558	No	
row_76	BMP1	NA	9834	0.08428625762462616	0.20237398	No	
row_77	RABIF	NA	9843	0.08418949693441391	0.20836805	No	
row_78	HPN	NA	9861	0.08404990285634995	0.21376973	No	
row_79	FURIN	NA	9871	0.08396382629871368	0.21968172	No	
row_80	LGMN	NA	9905	0.08347533643245697	0.22400506	No	
row_81	F2RL2	NA	10011	0.08216225355863571	0.22357416	No	
row_82	OLR1	NA	10126	0.0805324986577034	0.22243565	No	
row_83	PLAU	NA	10329	0.07800527662038803	0.21541509	No	
row_84	S100A13	NA	10526	0.07564274966716766	0.20859954	No	
row_85	PRSS23	NA	10690	0.07338182628154755	0.20374161	No	
row_86	CFH	NA	11250	0.06567376106977463	0.17269789	No	
row_87	USP11	NA	11538	0.061883460730314255	0.15893778	No	
row_88	PDGFB	NA	11715	0.059447985142469406	0.15216218	No	
row_89	RGN	NA	11777	0.05858812481164932	0.1527514	No	
row_90	ADAM9	NA	11923	0.0561368353664875	0.14772296	No	
row_91	PROC	NA	11987	0.05494040250778198	0.14790083	No	
row_92	APOC1	NA	12254	0.05113605409860611	0.13466658	No	
row_93	ITGB3	NA	12378	0.04904681071639061	0.13051145	No	
row_94	CTSK	NA	12513	0.04705646261572838	0.12549156	No	
row_95	FBN1	NA	12777	0.042143210768699646	0.11175566	No	
row_96	SH2B2	NA	12813	0.041621942073106766	0.1127129	No	
row_97	PREP	NA	13058	0.037176668643951416	0.099820696	No	
row_98	LAMP2	NA	13130	0.035317469388246536	0.097964026	No	
row_99	WDR1	NA	13132	0.03529055044054985	0.1006287	No	
row_100	SPARC	NA	13195	0.03395905718207359	0.09924855	No	
row_101	SERPINA1	NA	13529	0.026943903416395187	0.079813756	No	
row_102	GP1BA	NA	13775	0.020801730453968048	0.06559052	No	
row_103	MMP15	NA	13787	0.02037406526505947	0.06645539	No	
row_104	LTA4H	NA	13795	0.02010893076658249	0.06755822	No	
row_105	CRIP2	NA	13870	0.01832270808517933	0.06419335	No	
row_106	DUSP6	NA	14026	0.014707623980939388	0.055314656	No	
row_107	PEF1	NA	14057	0.013842042535543442	0.05444656	No	
row_108	RAC1	NA	14428	0.0021126430947333574	0.030700414	No	
row_109	GP9	NA	14607	-0.004442230798304081	0.019541543	No	
row_110	CAPN2	NA	14622	-0.00498567009344697	0.019022439	No	
