NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTN2	NA	239	0.26342853903770447	0.0034645114	No	
row_1	CTSV	NA	319	0.25023260712623596	0.016355824	No	
row_2	MMP14	NA	1207	0.19932574033737183	-0.026820654	No	
row_3	MT3	NA	1255	0.19778531789779663	-0.015629789	No	
row_4	ZFPM2	NA	1422	0.19268105924129486	-0.012524145	No	
row_5	MMP13	NA	1483	0.19122086465358734	-0.0026489873	No	
row_6	SERPINC1	NA	1622	0.1873161494731903	0.0018863666	No	
row_7	C9	NA	1796	0.18362657725811005	0.0038861723	No	
row_8	PCLO	NA	1969	0.1795102059841156	0.0056544854	No	
row_9	SCG3	NA	2046	0.17780521512031555	0.013526136	No	
row_10	PDP1	NA	2057	0.17752870917320251	0.025658315	No	
row_11	SIRT6	NA	2477	0.1700582206249237	0.0107269585	No	
row_12	KLK1	NA	2512	0.16964688897132874	0.020735184	No	
row_13	PLAT	NA	2550	0.16885901987552643	0.030492123	No	
row_14	FN1	NA	2739	0.1655869483947754	0.030220386	No	
row_15	BRPF3	NA	2965	0.16215428709983826	0.027301887	No	
row_16	APOA4	NA	3023	0.1614617109298706	0.035229173	No	
row_17	KLKB1	NA	3122	0.15991294384002686	0.040385906	No	
row_18	CP	NA	3250	0.15815690159797668	0.04353542	No	
row_19	TMPRSS6	NA	3350	0.15677636861801147	0.048401486	No	
row_20	RBSN	NA	3631	0.15313129127025604	0.04126637	No	
row_21	DOCK4	NA	4653	0.14022354781627655	-0.014855597	No	
row_22	C3	NA	4663	0.14011292159557343	-0.0053522186	No	
row_23	VCPIP1	NA	4718	0.1394142210483551	0.0011823818	No	
row_24	CDH13	NA	4790	0.1386575996875763	0.006559975	No	
row_25	SERPINB2	NA	4840	0.13806556165218353	0.013321756	No	
row_26	F10	NA	4933	0.13693058490753174	0.017213061	No	
row_27	PLG	NA	4992	0.1363954246044159	0.02327091	No	
row_28	COL4A2	NA	5177	0.13416199386119843	0.020996233	No	
row_29	F7	NA	5235	0.13343007862567902	0.026905455	No	
row_30	C1R	NA	5843	0.12688857316970825	-0.0033265396	No	
row_31	PRSS36	NA	5950	0.12571725249290466	-0.0011504804	No	
row_32	MMP8	NA	6049	0.12485954910516739	0.0014826705	No	
row_33	DYRK2	NA	6121	0.12404616177082062	0.00580835	No	
row_34	CPM	NA	6154	0.12371925264596939	0.012639842	No	
row_35	ANG	NA	6273	0.12253085523843765	0.013808244	No	
row_36	GMFB	NA	6433	0.12089426815509796	0.012199767	No	
row_37	HPCAL4	NA	6670	0.11813240498304367	0.0053986176	No	
row_38	USP14	NA	6671	0.11812937259674072	0.013903041	No	
row_39	F2	NA	7181	0.11272385716438293	-0.010992911	No	
row_40	PPP4C	NA	7446	0.10987170785665512	-0.02020471	No	
row_41	C1S	NA	7649	0.10772323608398438	-0.025550168	No	
row_42	HNF4A	NA	7695	0.10718874633312225	-0.020751864	No	
row_43	TFPI2	NA	7943	0.10448715835809708	-0.029248774	No	
row_44	USP8	NA	8077	0.10302955657243729	-0.030457145	No	
row_45	CTSL	NA	8081	0.10298901051282883	-0.023237277	No	
row_46	L3MBTL4	NA	8155	0.10220765322446823	-0.020613516	No	
row_47	PRDM4	NA	8253	0.10100118070840836	-0.019633133	No	
row_48	AKAP10	NA	8278	0.10069406032562256	-0.0139404405	No	
row_49	SERPINE1	NA	8328	0.10007952153682709	-0.009913367	No	
row_50	LIPA	NA	8426	0.0991756021976471	-0.009064411	No	
row_51	F3	NA	8482	0.09858126938343048	-0.005534331	No	
row_52	MAFF	NA	8488	0.0985543355345726	0.0012365626	No	
row_53	ITIH1	NA	8609	0.09744278341531754	4.6910212E-4	No	
row_54	CR2	NA	8698	0.09660406410694122	0.0017166219	No	
row_55	USP16	NA	8943	0.09389645606279373	-0.0073481733	No	
row_56	CA2	NA	8968	0.09374581277370453	-0.0021557028	No	
row_57	ZEB1	NA	9017	0.09329716116189957	0.0014479468	No	
row_58	PHEX	NA	9094	0.09241890907287598	0.0031724274	No	
row_59	LAP3	NA	9171	0.09154550731182098	0.00483403	No	
row_60	SERPING1	NA	9345	0.08955229818820953	6.119684E-5	No	
