NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC3	NA	245	0.2624448239803314	-0.0032003599	Yes	
row_1	KIF4A	NA	294	0.25338444113731384	0.005939244	Yes	
row_2	SPC24	NA	298	0.2531954050064087	0.01798856	Yes	
row_3	CDK1	NA	381	0.24400575459003448	0.024469277	Yes	
row_4	AURKB	NA	400	0.24180279672145844	0.034994725	Yes	
row_5	KIF2C	NA	505	0.23242849111557007	0.039488595	Yes	
row_6	BIRC5	NA	605	0.22503645718097687	0.043949325	Yes	
row_7	RAD51AP1	NA	664	0.2217167615890503	0.05090892	Yes	
row_8	GINS1	NA	820	0.213521808385849	0.051180474	Yes	
row_9	RACGAP1	NA	1005	0.20612186193466187	0.049213145	Yes	
row_10	CDKN3	NA	1022	0.20553241670131683	0.058114372	Yes	
row_11	DLGAP5	NA	1052	0.20426681637763977	0.06611118	Yes	
row_12	AURKA	NA	1125	0.2019990235567093	0.071209185	Yes	
row_13	CIT	NA	1160	0.20095722377300262	0.07872162	Yes	
row_14	RPA3	NA	1444	0.1920401006937027	0.06965185	Yes	
row_15	TOP2A	NA	1448	0.19193066656589508	0.078738555	Yes	
row_16	HMMR	NA	1449	0.19186797738075256	0.08801682	Yes	
row_17	DEPDC1	NA	1466	0.19154678285121918	0.096241735	Yes	
row_18	DSCC1	NA	1473	0.19145256280899048	0.105110735	Yes	
row_19	PTTG1	NA	1514	0.19029922783374786	0.111718595	Yes	
row_20	PMS2	NA	1529	0.18966977298259735	0.11998247	Yes	
row_21	MELK	NA	1715	0.18539103865623474	0.116947785	Yes	
row_22	UNG	NA	1809	0.18330374360084534	0.11977961	Yes	
row_23	NBN	NA	1967	0.17959406971931458	0.11828077	Yes	
row_24	E2F8	NA	1982	0.1792801320552826	0.12604223	Yes	
row_25	CDKN2A	NA	2110	0.17653310298919678	0.12634128	Yes	
row_26	BUB1B	NA	2254	0.17387491464614868	0.12547396	Yes	
row_27	CENPE	NA	2431	0.17082393169403076	0.122318625	Yes	
row_28	PLK1	NA	2604	0.16762132942676544	0.119267866	Yes	
row_29	PAN2	NA	2629	0.16722959280014038	0.12579796	Yes	
row_30	HMGB3	NA	2707	0.16608983278274536	0.12883516	Yes	
row_31	NUP107	NA	2803	0.16474303603172302	0.1306397	Yes	
row_32	GINS4	NA	2952	0.16240273416042328	0.1288933	Yes	
row_33	DIAPH3	NA	3045	0.16121689975261688	0.13072193	Yes	
row_34	CDK4	NA	3068	0.16077768802642822	0.13706975	Yes	
row_35	EIF2S1	NA	3202	0.15885671973228455	0.13612482	Yes	
row_36	MYBL2	NA	3266	0.15796039998531342	0.139677	Yes	
row_37	PSMC3IP	NA	3311	0.15732337534427643	0.14443079	Yes	
row_38	KIF18B	NA	3431	0.15574026107788086	0.14424324	Yes	
row_39	CENPM	NA	3488	0.1549132764339447	0.14810212	Yes	
row_40	MSH2	NA	3543	0.15422026813030243	0.1520572	Yes	
row_41	MCM4	NA	3861	0.14977937936782837	0.13873845	Yes	
row_42	BRCA1	NA	3935	0.14881205558776855	0.1411996	Yes	
row_43	POLD1	NA	3953	0.1486033797264099	0.14728302	Yes	
row_44	MKI67	NA	3998	0.14796476066112518	0.15158424	Yes	
row_45	ORC2	NA	4022	0.14760203659534454	0.15723005	Yes	
row_46	ESPL1	NA	4113	0.1465795636177063	0.15848057	Yes	
row_47	PRIM2	NA	4163	0.14589020609855652	0.16235715	Yes	
row_48	CKS2	NA	4169	0.14578339457511902	0.16908257	Yes	
row_49	TIPIN	NA	4214	0.1452711522579193	0.17325352	Yes	
row_50	POLA2	NA	4372	0.14336833357810974	0.17000291	Yes	
row_51	CDKN2C	NA	4426	0.1428360641002655	0.17347234	Yes	
row_52	RNASEH2A	NA	4732	0.13924868404865265	0.16042271	Yes	
row_53	ING3	NA	4737	0.13922558724880219	0.16689587	Yes	
row_54	ATAD2	NA	4787	0.13869234919548035	0.17042437	Yes	
row_55	BRMS1L	NA	4801	0.13858835399150848	0.17628294	Yes	
row_56	MMS22L	NA	4824	0.13823801279067993	0.1815408	Yes	
row_57	CBX5	NA	4951	0.1367659717798233	0.17998166	Yes	
row_58	MCM3	NA	4977	0.13652831315994263	0.18496226	Yes	
row_59	WEE1	NA	5018	0.13600870966911316	0.18894477	Yes	
row_60	CCNB2	NA	5093	0.13519036769866943	0.19068234	Yes	
row_61	RPA1	NA	5132	0.13459932804107666	0.19472642	Yes	
row_62	MAD2L1	NA	5244	0.13336966931819916	0.19397601	Yes	
row_63	KIF22	NA	5247	0.13333190977573395	0.20029388	Yes	
row_64	MCM2	NA	5276	0.13313701748847961	0.2049159	Yes	
row_65	DONSON	NA	5327	0.1326005756855011	0.20808496	Yes	
row_66	TBRG4	NA	5349	0.13235662877559662	0.21312326	Yes	
row_67	ZW10	NA	5442	0.1313389241695404	0.21350706	Yes	
row_68	EED	NA	5466	0.1311260312795639	0.21835613	Yes	
row_69	UBE2S	NA	5487	0.1308826506137848	0.22338802	Yes	
row_70	CDC25A	NA	5530	0.13036957383155823	0.22696811	Yes	
row_71	RRM2	NA	5739	0.1280963271856308	0.21967094	Yes	
row_72	NUP153	NA	5924	0.12603580951690674	0.21383084	Yes	
row_73	HUS1	NA	5970	0.1255694031715393	0.21698421	Yes	
row_74	RAD51C	NA	5973	0.12555979192256927	0.22292624	Yes	
row_75	POLD2	NA	6010	0.1252598762512207	0.22664842	Yes	
row_76	RAD1	NA	6030	0.12507502734661102	0.23146434	Yes	
row_77	TIMELESS	NA	6037	0.1250239759683609	0.23712102	Yes	
row_78	NCAPD2	NA	6080	0.12458673864603043	0.24042146	Yes	
row_79	HELLS	NA	6166	0.12355431914329529	0.24088284	Yes	
row_80	DDX39A	NA	6429	0.12094138562679291	0.22973704	Yes	
row_81	EZH2	NA	6436	0.12083509564399719	0.23519115	Yes	
row_82	STAG1	NA	6448	0.12066525965929031	0.24031273	Yes	
row_83	DUT	NA	6545	0.11959392577409744	0.2398691	Yes	
row_84	MCM5	NA	6549	0.11952992528676987	0.24545468	Yes	
row_85	PHF5A	NA	6574	0.1193317100405693	0.24966855	Yes	
row_86	RAD21	NA	6698	0.11786224693059921	0.24738988	Yes	
row_87	NOLC1	NA	6735	0.11749649047851562	0.25073662	Yes	
row_88	EXOSC8	NA	6767	0.1171284019947052	0.2543899	Yes	
row_89	POP7	NA	6907	0.11573030799627304	0.25097033	Yes	
row_90	AK2	NA	6976	0.11484890431165695	0.25211343	Yes	
row_91	NUP205	NA	7083	0.11372365057468414	0.25073728	Yes	
row_92	CDC20	NA	7115	0.11349726468324661	0.25421497	Yes	
row_93	RFC1	NA	7140	0.11318183690309525	0.25813144	Yes	
row_94	SSRP1	NA	7255	0.11201939731836319	0.256154	Yes	
row_95	SPAG5	NA	7289	0.11162275820970535	0.2594113	Yes	
row_96	CHEK1	NA	7298	0.1115083321928978	0.26428467	Yes	
row_97	MLH1	NA	7490	0.10947500169277191	0.2571897	Yes	
row_98	KPNA2	NA	7491	0.1094636619091034	0.2624831	Yes	
row_99	CKS1B	NA	7548	0.10890799015760422	0.26411724	Yes	
row_100	ORC6	NA	7846	0.10547716170549393	0.24995342	Yes	
row_101	CHEK2	NA	7864	0.10526496917009354	0.2539411	Yes	
row_102	CDCA3	NA	7925	0.10459013283252716	0.25510702	Yes	
row_103	SMC6	NA	7967	0.10416880249977112	0.25748494	Yes	
row_104	PRKDC	NA	7997	0.10386241227388382	0.26062644	Yes	
row_105	PSIP1	NA	8063	0.10315356403589249	0.26139858	Yes	
row_106	PLK4	NA	8146	0.10230106115341187	0.2610268	Yes	
row_107	NOP56	NA	8164	0.10214605927467346	0.26486364	Yes	
row_108	PPM1D	NA	8272	0.10080961138010025	0.26279816	No	
row_109	DEK	NA	8514	0.09837974607944489	0.25192347	No	
row_110	DNMT1	NA	8594	0.09758497774600983	0.25151822	No	
row_111	PRPS1	NA	8696	0.09662136435508728	0.24963939	No	
row_112	DCTPP1	NA	8824	0.09513071924448013	0.24600202	No	
row_113	LIG1	NA	8879	0.09457175433635712	0.24707265	No	
row_114	ASF1A	NA	8928	0.09407723695039749	0.24850854	No	
row_115	MXD3	NA	9011	0.09330885112285614	0.24770193	No	
row_116	SHMT1	NA	9029	0.0931350588798523	0.25110304	No	
row_117	MTHFD2	NA	9031	0.09312234818935394	0.25554135	No	
row_118	BRCA2	NA	9333	0.08976635336875916	0.24035832	No	
row_119	RANBP1	NA	9379	0.08912613987922668	0.24174939	No	
row_120	IPO7	NA	9512	0.08761779963970184	0.23742439	No	
row_121	CSE1L	NA	9673	0.08598741888999939	0.23120438	No	
row_122	CTPS1	NA	9935	0.08313417434692383	0.21829519	No	
row_123	WDR90	NA	9962	0.08286356925964355	0.2206158	No	
row_124	SUV39H1	NA	10207	0.07948452979326248	0.2086328	No	
row_125	NME1	NA	10239	0.07904903590679169	0.21044464	No	
row_126	TRIP13	NA	10241	0.07903037965297699	0.21420151	No	
row_127	POLE4	NA	10396	0.07719474285840988	0.20794548	No	
row_128	BARD1	NA	10496	0.07601846009492874	0.20520006	No	
