NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GEM	NA	195	0.2748942971229553	0.0013110259	Yes	
row_1	CTHRC1	NA	299	0.2529153525829315	0.0074720923	Yes	
row_2	CAP2	NA	358	0.2466086596250534	0.016231073	Yes	
row_3	AREG	NA	369	0.2452063113451004	0.028031496	Yes	
row_4	SPOCK1	NA	488	0.23372311890125275	0.032245494	Yes	
row_5	BGN	NA	490	0.2336779534816742	0.044044252	Yes	
row_6	COL1A2	NA	699	0.21946775913238525	0.04169832	Yes	
row_7	LAMA3	NA	765	0.21611540019512177	0.04845526	Yes	
row_8	MATN2	NA	825	0.21323129534721375	0.055454858	Yes	
row_9	DKK1	NA	868	0.2117050737142563	0.063479364	Yes	
row_10	MSX1	NA	1059	0.2040705531835556	0.061518967	Yes	
row_11	FERMT2	NA	1124	0.20204423367977142	0.06762638	Yes	
row_12	MMP14	NA	1207	0.19932574033737183	0.07242853	Yes	
row_13	NTM	NA	1302	0.1963461935520172	0.076301254	Yes	
row_14	LRRC15	NA	1329	0.1955946683883667	0.084545396	Yes	
row_15	SNAI2	NA	1463	0.19165371358394623	0.08565087	Yes	
row_16	MFAP5	NA	1509	0.19047343730926514	0.09240292	Yes	
row_17	SCG2	NA	1560	0.18893243372440338	0.09875251	Yes	
row_18	MMP2	NA	1573	0.18841040134429932	0.107539766	Yes	
row_19	DST	NA	1653	0.1866777539253235	0.11189433	Yes	
row_20	TNFRSF11B	NA	2096	0.17674383521080017	0.092205234	Yes	
row_21	BDNF	NA	2108	0.17660173773765564	0.100457825	Yes	
row_22	ITGA2	NA	2126	0.1762223243713379	0.108302064	Yes	
row_23	EDIL3	NA	2175	0.17532069981098175	0.11409029	Yes	
row_24	SDC1	NA	2206	0.17482790350914001	0.12102074	Yes	
row_25	COL4A1	NA	2217	0.1746509075164795	0.12923913	Yes	
row_26	RGS4	NA	2239	0.17414596676826477	0.13671857	Yes	
row_27	SLIT3	NA	2267	0.1737319976091385	0.14378792	Yes	
row_28	MMP3	NA	2273	0.17366476356983185	0.15228048	Yes	
row_29	LAMA1	NA	2410	0.1711573600769043	0.15215084	Yes	
row_30	POSTN	NA	2443	0.1706438660621643	0.15873916	Yes	
row_31	TIMP3	NA	2463	0.17026764154434204	0.1661514	Yes	
row_32	PLOD2	NA	2469	0.17015546560287476	0.1744658	Yes	
row_33	LOXL1	NA	2725	0.16588102281093597	0.16635154	Yes	
row_34	FBLN1	NA	2735	0.1657741367816925	0.17418411	Yes	
row_35	FN1	NA	2739	0.1655869483947754	0.18239626	Yes	
row_36	CCN1	NA	2740	0.1655428409576416	0.19080071	Yes	
row_37	COL11A1	NA	2839	0.1641012728214264	0.19277701	Yes	
row_38	COL1A1	NA	2851	0.16387256979942322	0.20038335	Yes	
row_39	SLIT2	NA	2858	0.16377590596675873	0.20830901	Yes	
row_40	TNFRSF12A	NA	3164	0.15931394696235657	0.196619	Yes	
row_41	COL8A2	NA	3198	0.1589004099369049	0.20254628	Yes	
row_42	ECM2	NA	3441	0.15560486912727356	0.19475332	Yes	
row_43	CCN2	NA	3452	0.15549464523792267	0.20199916	Yes	
row_44	LAMC1	NA	3509	0.1546499878168106	0.20621918	Yes	
row_45	SGCB	NA	3537	0.15426531434059143	0.21230023	Yes	
row_46	PCOLCE	NA	3948	0.1486678570508957	0.19326083	Yes	
row_47	ABI3BP	NA	3968	0.14836768805980682	0.19956122	Yes	
row_48	VEGFC	NA	3994	0.14802847802639008	0.20545533	Yes	
row_49	SLC6A8	NA	4069	0.14702485501766205	0.20812099	Yes	
row_50	MEST	NA	4083	0.14689287543296814	0.2147356	Yes	
row_51	VCAM1	NA	4104	0.14663903415203094	0.22088338	Yes	
row_52	HTRA1	NA	4181	0.14567582309246063	0.22335085	Yes	
row_53	ELN	NA	4205	0.14544208347797394	0.22924334	Yes	
row_54	EFEMP2	NA	4453	0.14252309501171112	0.22046198	Yes	
row_55	PRRX1	NA	4530	0.14164218306541443	0.22272468	Yes	
row_56	SGCD	NA	4650	0.14027149975299835	0.22212937	Yes	
row_57	PTX3	NA	4821	0.13824601471424103	0.21812406	Yes	
row_58	FAP	NA	4916	0.1371154934167862	0.2189897	Yes	
row_59	CALD1	NA	5046	0.13565506041049957	0.21751156	Yes	
row_60	WNT5A	NA	5158	0.13435526192188263	0.21713468	Yes	
row_61	COL4A2	NA	5177	0.13416199386119843	0.22277872	Yes	
row_62	FMOD	NA	5225	0.1335793286561966	0.22651261	Yes	
row_63	DCN	NA	5293	0.132899671792984	0.22891508	Yes	
row_64	COL3A1	NA	5295	0.13287876546382904	0.23559636	Yes	
row_65	PRSS2	NA	5435	0.1313769519329071	0.23325257	Yes	
row_66	PCOLCE2	NA	5451	0.1312330663204193	0.23894244	Yes	
row_67	COL6A3	NA	5482	0.1309102475643158	0.24364322	Yes	
row_68	FBLN5	NA	5542	0.13024374842643738	0.24642962	Yes	
row_69	ECM1	NA	5589	0.12963536381721497	0.25002813	Yes	
row_70	CDH6	NA	5644	0.1290961652994156	0.25308052	Yes	
row_71	PMP22	NA	5693	0.12862902879714966	0.25649825	Yes	
row_72	SFRP4	NA	5813	0.12718909978866577	0.25523877	Yes	
row_73	SPP1	NA	5906	0.1262262463569641	0.25568128	Yes	
row_74	OXTR	NA	5954	0.1256737858057022	0.2590138	Yes	
row_75	INHBA	NA	6022	0.12514279782772064	0.26102248	Yes	
row_76	IGFBP2	NA	6169	0.12353694438934326	0.25782672	Yes	
row_77	COL7A1	NA	6201	0.12327808886766434	0.2620752	Yes	
row_78	SDC4	NA	6344	0.12181194871664047	0.25905123	Yes	
row_79	GADD45A	NA	6345	0.12180247902870178	0.26523504	Yes	
row_80	TGM2	NA	6483	0.12023712694644928	0.26245534	Yes	
row_81	SGCG	NA	6555	0.11947669088840485	0.26391697	Yes	
row_82	COMP	NA	6607	0.11895522475242615	0.26664904	Yes	
row_83	CXCL12	NA	6615	0.11881458759307861	0.2722272	Yes	
row_84	CADM1	NA	6666	0.11818395555019379	0.27498496	Yes	
row_85	FSTL1	NA	6686	0.11796799302101135	0.279742	Yes	
row_86	PMEPA1	NA	6702	0.11784756183624268	0.2847523	Yes	
row_87	PDLIM4	NA	6713	0.11774098128080368	0.29008144	Yes	
row_88	PVR	NA	6823	0.11660631746053696	0.28893313	Yes	
row_89	TNC	NA	6841	0.11639074981212616	0.2937398	Yes	
row_90	LOX	NA	6843	0.11637816578149796	0.29958335	Yes	
row_91	MMP1	NA	6880	0.11601289361715317	0.30313873	Yes	
row_92	FGF2	NA	6980	0.11480867862701416	0.30254766	Yes	
row_93	THY1	NA	7038	0.11419062316417694	0.30464876	Yes	
row_94	COL12A1	NA	7155	0.11302980035543442	0.30286494	No	
row_95	THBS2	NA	7645	0.10773462802171707	0.27662453	No	
row_96	COL5A1	NA	7667	0.10748471319675446	0.28071964	No	
row_97	TFPI2	NA	7943	0.10448715835809708	0.26819152	No	
row_98	FSTL3	NA	8012	0.10362017899751663	0.26904267	No	
row_99	LAMC2	NA	8118	0.10255897790193558	0.2674406	No	
row_100	SNTB1	NA	8162	0.10216445475816727	0.26983896	No	
row_101	SERPINE1	NA	8328	0.10007952153682709	0.2642202	No	
row_102	ADAM12	NA	8378	0.09954628348350525	0.2660966	No	
row_103	CDH11	NA	8436	0.09905505925416946	0.26742926	No	
row_104	LUM	NA	8466	0.09873022884130478	0.27056116	No	
row_105	PFN2	NA	8769	0.09575093537569046	0.25583866	No	
row_106	PTHLH	NA	8857	0.09486394375562668	0.25501314	No	
row_107	COL6A2	NA	9042	0.09295915067195892	0.24780081	No	
row_108	NNMT	NA	9123	0.09203246235847473	0.24728549	No	
row_109	MATN3	NA	9265	0.09062362462282181	0.24274299	No	
row_110	COL5A3	NA	9278	0.09043417125940323	0.24655607	No	
row_111	IL15	NA	9350	0.08949751406908035	0.24649568	No	
