NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDZK1	NA	21	0.38733184337615967	0.019472199	Yes	
row_1	TFF3	NA	151	0.28393468260765076	0.026384162	Yes	
row_2	OVOL2	NA	166	0.28022661805152893	0.040549215	Yes	
row_3	KRT13	NA	180	0.2772962749004364	0.054621458	Yes	
row_4	ELF3	NA	352	0.24712887406349182	0.056831986	Yes	
row_5	AREG	NA	369	0.2452063113451004	0.06898382	Yes	
row_6	TUBB2B	NA	404	0.24143841862678528	0.07976651	Yes	
row_7	STC2	NA	418	0.23968711495399475	0.091815904	Yes	
row_8	KRT19	NA	606	0.22495463490486145	0.09179689	Yes	
row_9	NAV2	NA	670	0.2211465835571289	0.09960882	Yes	
row_10	KCNK15	NA	700	0.21940666437149048	0.10953053	Yes	
row_11	TPD52L1	NA	882	0.21093203127384186	0.109146126	Yes	
row_12	MPPED2	NA	1097	0.20287498831748962	0.10618981	Yes	
row_13	MUC1	NA	1146	0.2015092670917511	0.1139176	Yes	
row_14	PGR	NA	1152	0.20131252706050873	0.1244214	Yes	
row_15	ELOVL2	NA	1274	0.1974048614501953	0.1271977	Yes	
row_16	MYB	NA	1280	0.19723646342754364	0.13748227	Yes	
row_17	FRK	NA	1284	0.19709652662277222	0.14788893	Yes	
row_18	LAD1	NA	1342	0.1948533058166504	0.15467547	Yes	
row_19	ADCY1	NA	1349	0.19469164311885834	0.16475837	Yes	
row_20	TFAP2C	NA	1395	0.19320183992385864	0.17223375	Yes	
row_21	DEPTOR	NA	1426	0.19252437353134155	0.18064475	Yes	
row_22	KRT8	NA	1532	0.18960995972156525	0.18403865	Yes	
row_23	SULT2B1	NA	1582	0.18823468685150146	0.19098766	Yes	
row_24	SYBU	NA	1618	0.18739168345928192	0.19879858	Yes	
row_25	PDLIM3	NA	1635	0.18706193566322327	0.20782305	Yes	
row_26	THSD4	NA	1820	0.18296931684017181	0.20574021	Yes	
row_27	PAPSS2	NA	2049	0.177719846367836	0.20052363	Yes	
row_28	HES1	NA	2111	0.1765250861644745	0.20606516	Yes	
row_29	CYP26B1	NA	2135	0.1760883629322052	0.21404578	Yes	
row_30	BCL11B	NA	2282	0.17349225282669067	0.21391578	Yes	
row_31	SLC1A1	NA	2353	0.17222532629966736	0.2186428	Yes	
row_32	WWC1	NA	2549	0.16886764764785767	0.21508865	Yes	
row_33	SCNN1A	NA	2665	0.16671639680862427	0.21660316	Yes	
row_34	INPP5F	NA	2752	0.165396586060524	0.21992601	Yes	
row_35	KLK10	NA	2758	0.16534410417079926	0.22849521	Yes	
row_36	MREG	NA	2876	0.16339313983917236	0.22970136	Yes	
row_37	CLDN7	NA	3057	0.16103507578372955	0.226698	Yes	
row_38	MLPH	NA	3157	0.15939609706401825	0.22885564	Yes	
row_39	RAB17	NA	3379	0.15643072128295898	0.22294763	Yes	
row_40	TPBG	NA	3591	0.15357644855976105	0.21753415	Yes	
row_41	CCN5	NA	3612	0.15331868827342987	0.22448447	Yes	
row_42	WFS1	NA	3727	0.15165089070796967	0.22525348	Yes	
row_43	PODXL	NA	4070	0.14701704680919647	0.21099778	Yes	
row_44	KRT15	NA	4127	0.14637282490730286	0.21524155	Yes	
row_45	GFRA1	NA	4239	0.14502622187137604	0.21584865	Yes	
row_46	RETREG1	NA	4408	0.14306093752384186	0.21265617	Yes	
row_47	SLC7A5	NA	4496	0.14203277230262756	0.21465757	Yes	
row_48	NBL1	NA	4506	0.14192239940166473	0.22170779	Yes	
row_49	IL17RB	NA	4521	0.1417057067155838	0.22842233	Yes	
row_50	HSPB8	NA	4619	0.14072370529174805	0.22970527	Yes	
row_51	MSMB	NA	4705	0.13960076868534088	0.23170547	Yes	
row_52	FAM102A	NA	4817	0.1383136361837387	0.23195152	Yes	
row_53	KAZN	NA	4822	0.13824376463890076	0.2391279	Yes	
row_54	DHRS2	NA	4914	0.13713884353637695	0.24060686	Yes	
row_55	CALCR	NA	5044	0.13567064702510834	0.23954427	Yes	
row_56	MYBL1	NA	5564	0.12998516857624054	0.21290208	Yes	
row_57	ANXA9	NA	5571	0.12986750900745392	0.21949834	Yes	
row_58	RBBP8	NA	5624	0.12927615642547607	0.22308175	Yes	
row_59	SLC7A2	NA	5691	0.12863406538963318	0.22572339	Yes	
row_60	OPN3	NA	5782	0.127492293715477	0.2267483	Yes	
row_61	TBC1D30	NA	5819	0.12713836133480072	0.23125361	Yes	
row_62	KLF10	NA	6019	0.12517784535884857	0.22509034	Yes	
row_63	TSKU	NA	6229	0.12302465736865997	0.21816319	Yes	
row_64	PEX11A	NA	6375	0.12150613218545914	0.21530187	Yes	
row_65	TGM2	NA	6483	0.12023712694644928	0.21483488	Yes	
row_66	CXCL12	NA	6615	0.11881458759307861	0.21273606	Yes	
row_67	SYT12	NA	6724	0.11756546795368195	0.21206056	Yes	
row_68	SLC39A6	NA	6760	0.11723138391971588	0.21609782	Yes	
row_69	SLC26A2	NA	6905	0.11575872451066971	0.21299218	Yes	
row_70	GREB1	NA	6975	0.11486030369997025	0.21469855	Yes	
row_71	RAPGEFL1	NA	7130	0.11327865719795227	0.21081147	Yes	
row_72	ADCY9	NA	7188	0.11266446113586426	0.2131774	Yes	
row_73	CA12	NA	7200	0.1125447228550911	0.21851788	Yes	
row_74	SNX24	NA	7210	0.1124347373843193	0.22398208	Yes	
row_75	ARL3	NA	7224	0.1122937947511673	0.22917947	Yes	
row_76	NPY1R	NA	7230	0.11222931742668152	0.23489183	Yes	
row_77	FLNB	NA	7385	0.1106301099061966	0.2308623	Yes	
row_78	DLC1	NA	7464	0.10968896001577377	0.23170729	Yes	
row_79	MED24	NA	7529	0.10905999690294266	0.2334257	Yes	
row_80	OLFM1	NA	7656	0.10760805010795593	0.23104815	Yes	
row_81	OLFML3	NA	7747	0.10657302290201187	0.2309479	Yes	
row_82	MYOF	NA	7858	0.1053345650434494	0.22948493	Yes	
row_83	SLC19A2	NA	7882	0.1050274446606636	0.23364344	Yes	
row_84	ZNF185	NA	7890	0.1049642339348793	0.23883544	Yes	
row_85	CELSR2	NA	7918	0.10463894158601761	0.24271384	Yes	
row_86	RRP12	NA	8058	0.10319036990404129	0.23925622	No	
row_87	SEC14L2	NA	8121	0.10254302620887756	0.24075373	No	
row_88	FKBP4	NA	8318	0.10017623007297516	0.23344012	No	
row_89	PTGES	NA	8386	0.099504753947258	0.23445019	No	
row_90	REEP1	NA	8534	0.0981794074177742	0.23020461	No	
row_91	SLC1A4	NA	8569	0.09778177738189697	0.23326056	No	
row_92	SLC27A2	NA	9063	0.09267814457416534	0.20629668	No	
row_93	SLC22A5	NA	9219	0.09107258915901184	0.20115042	No	
row_94	FHL2	NA	9411	0.08877209573984146	0.19354744	No	
row_95	SYNGR1	NA	9420	0.08869483321905136	0.19779956	No	
row_96	SLC16A1	NA	9499	0.08777689188718796	0.19746599	No	
row_97	ABHD2	NA	9690	0.08579542487859726	0.18976772	No	
row_98	TMPRSS3	NA	9787	0.08486435562372208	0.188111	No	
row_99	CALB2	NA	9919	0.08330720663070679	0.18410237	No	
row_100	MAST4	NA	10089	0.08108078688383102	0.17751142	No	
row_101	UGCG	NA	10176	0.07988196611404419	0.17623477	No	
row_102	NXT1	NA	10186	0.07974410057067871	0.17994066	No	
row_103	SIAH2	NA	10217	0.07937870919704437	0.182266	No	
row_104	RHOD	NA	10267	0.07879459112882614	0.18332863	No	
row_105	ADD3	NA	10293	0.07844111323356628	0.18592755	No	
row_106	CANT1	NA	10364	0.0776079073548317	0.18556547	No	
row_107	MYBBP1A	NA	10385	0.07729456573724747	0.18842676	No	
row_108	NRIP1	NA	10425	0.07683157175779343	0.19003186	No	
row_109	AKAP1	NA	10544	0.07545245438814163	0.18644321	No	
row_110	PMAIP1	NA	10663	0.07388357073068619	0.18277018	No	
row_111	PRSS23	NA	10690	0.07338182628154755	0.18503219	No	
row_112	BLVRB	NA	10707	0.07311978936195374	0.18792814	No	
row_113	SLC24A3	NA	10736	0.07266674935817719	0.19002208	No	
row_114	LRIG1	NA	10850	0.07106270641088486	0.18652135	No	
row_115	SCARB1	NA	11173	0.06665846705436707	0.16923957	No	
row_116	GJA1	NA	11193	0.06649921834468842	0.17158502	No	
row_117	TIPARP	NA	11275	0.06533534079790115	0.16984999	No	
row_118	CCND1	NA	11350	0.06438781321048737	0.16851762	No	
row_119	GAB2	NA	11397	0.06371348351240158	0.1689635	No	
row_120	SVIL	NA	11417	0.06351935118436813	0.17114869	No	
row_121	RHOBTB3	NA	11421	0.0634932741522789	0.17436934	No	
row_122	BHLHE40	NA	11437	0.06334183365106583	0.17680417	No	
row_123	TGIF2	NA	11635	0.060571491718292236	0.16729558	No	
row_124	TMEM164	NA	11781	0.05852692574262619	0.16104685	No	
row_125	CISH	NA	11819	0.05777747929096222	0.16175671	No	
row_126	SLC2A1	NA	11847	0.05735892802476883	0.16309209	No	
row_127	GLA	NA	11991	0.05485894903540611	0.1567757	No	
row_128	ABCA3	NA	12056	0.05400685593485832	0.15553302	No	
row_129	TFF1	NA	12086	0.05358754098415375	0.15653595	No	
row_130	IGFBP4	NA	12359	0.04935000091791153	0.14156345	No	
row_131	FDFT1	NA	12475	0.04767835885286331	0.13667536	No	
row_132	TOB1	NA	12696	0.043858692049980164	0.124777324	No	
row_133	NCOR2	NA	12719	0.04350297152996063	0.12569149	No	
row_134	ASB13	NA	12765	0.042487986385822296	0.12506054	No	
row_135	PPIF	NA	12776	0.04217008128762245	0.12668066	No	
row_136	ABAT	NA	12794	0.04193288832902908	0.1278344	No	
row_137	MYC	NA	12870	0.04066522791981697	0.12516128	No	
row_138	ALDH3B1	NA	12977	0.03883729502558708	0.12038089	No	
row_139	DYNLT3	NA	13118	0.03563321381807327	0.11322483	No	
row_140	IGF1R	NA	13308	0.031986601650714874	0.10269719	No	
row_141	P2RY2	NA	13343	0.031218720600008965	0.10217297	No	
row_142	ELF1	NA	13423	0.029248319566249847	0.09862656	No	
row_143	SLC37A1	NA	13425	0.02913157269358635	0.10012863	No	
row_144	ESRP2	NA	13429	0.02905426174402237	0.101496935	No	
row_145	IL6ST	NA	13582	0.025757476687431335	0.09303203	No	
row_146	CHPT1	NA	13855	0.01877136528491974	0.076414816	No	
row_147	MED13L	NA	13903	0.017389163374900818	0.0743043	No	
row_148	FARP1	NA	14051	0.013952216133475304	0.06552845	No	
