NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDZK1	NA	21	0.38733184337615967	0.018972913	Yes	
row_1	PKP3	NA	44	0.3547697365283966	0.03617162	Yes	
row_2	TFF3	NA	151	0.28393468260765076	0.044208467	Yes	
row_3	OVOL2	NA	166	0.28022661805152893	0.05801229	Yes	
row_4	KRT13	NA	180	0.2772962749004364	0.07172708	Yes	
row_5	CDC6	NA	230	0.26525363326072693	0.082476854	Yes	
row_6	PERP	NA	256	0.2598784863948822	0.09449966	Yes	
row_7	DNAJC12	NA	288	0.2541140615940094	0.10583105	Yes	
row_8	AREG	NA	369	0.2452063113451004	0.11351959	Yes	
row_9	SERPINA5	NA	378	0.24444349110126495	0.1258337	Yes	
row_10	KIF20A	NA	533	0.2298905998468399	0.127923	Yes	
row_11	KRT19	NA	606	0.22495463490486145	0.13506678	Yes	
row_12	COX6C	NA	616	0.22445468604564667	0.14626676	Yes	
row_13	ACOX2	NA	831	0.21286459267139435	0.1435742	Yes	
row_14	TPD52L1	NA	882	0.21093203127384186	0.15140745	Yes	
row_15	PGR	NA	1152	0.20131252706050873	0.14454442	Yes	
row_16	SERPINA3	NA	1222	0.19890418648719788	0.15051505	Yes	
row_17	MYB	NA	1280	0.19723646342754364	0.15717573	Yes	
row_18	FRK	NA	1284	0.19709652662277222	0.1673283	Yes	
row_19	TRIM29	NA	1306	0.19612838327884674	0.17626362	Yes	
row_20	TFAP2C	NA	1395	0.19320183992385864	0.18070368	Yes	
row_21	TOP2A	NA	1448	0.19193066656589508	0.18740982	Yes	
row_22	SULT2B1	NA	1582	0.18823468685150146	0.18867311	Yes	
row_23	PDLIM3	NA	1635	0.18706193566322327	0.19512366	Yes	
row_24	PAPSS2	NA	2049	0.177719846367836	0.17769083	Yes	
row_25	CYP26B1	NA	2135	0.1760883629322052	0.18142688	Yes	
row_26	PCP4	NA	2179	0.17527450621128082	0.18784183	Yes	
row_27	ASCL1	NA	2305	0.17307400703430176	0.18882763	Yes	
row_28	UNC13B	NA	2374	0.17183485627174377	0.193442	Yes	
row_29	STIL	NA	2584	0.16804437339305878	0.18872052	Yes	
row_30	KLK11	NA	2630	0.16718529164791107	0.19458123	Yes	
row_31	SCNN1A	NA	2665	0.16671639680862427	0.2011301	Yes	
row_32	KLK10	NA	2758	0.16534410417079926	0.20384851	Yes	
row_33	IGSF1	NA	2809	0.164673313498497	0.20925334	Yes	
row_34	HSPA4L	NA	2918	0.1629142463207245	0.21080738	Yes	
row_35	PRLR	NA	3093	0.16036337614059448	0.2079507	Yes	
row_36	MDK	NA	3235	0.158341184258461	0.20712626	Yes	
row_37	TH	NA	3404	0.1560693234205246	0.20443295	Yes	
row_38	MOCS2	NA	3465	0.15520904958248138	0.20869291	Yes	
