NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEY1	NA	340	0.24839505553245544	0.045642465	Yes	
row_1	AMOT	NA	819	0.21352985501289368	0.07294867	Yes	
row_2	TLE1	NA	829	0.21294023096561432	0.13022059	Yes	
row_3	CRMP1	NA	1368	0.19415511190891266	0.14840916	Yes	
row_4	SCG2	NA	1560	0.18893243372440338	0.18746817	Yes	
row_5	L1CAM	NA	2031	0.17818807065486908	0.20568685	Yes	
row_6	CNTFR	NA	2464	0.17026305198669434	0.22419344	Yes	
row_7	NRP2	NA	2520	0.16952653229236603	0.26671627	Yes	
row_8	SHH	NA	2784	0.1650383323431015	0.29465905	Yes	
row_9	NKX6-1	NA	3414	0.15594659745693207	0.29662207	Yes	
row_10	SLIT1	NA	4087	0.14686965942382812	0.29335707	Yes	
row_11	NRCAM	NA	4565	0.14120474457740784	0.30107877	Yes	
row_12	PLG	NA	4992	0.1363954246044159	0.31076983	Yes	
row_13	HEY2	NA	5226	0.13357816636562347	0.33209276	Yes	
row_14	RTN1	NA	5947	0.12574878334999084	0.32000655	Yes	
row_15	NF1	NA	6374	0.12151719629764557	0.32565564	Yes	
row_16	PTCH1	NA	6916	0.11555521190166473	0.32229805	Yes	
row_17	THY1	NA	7038	0.11419062316417694	0.34554815	Yes	
row_18	VLDLR	NA	7351	0.1109321340918541	0.3556443	Yes	
row_19	GLI1	NA	7812	0.10584428161382675	0.35485148	No	
row_20	NRP1	NA	10335	0.07797291874885559	0.2140356	No	
row_21	DPYSL2	NA	10848	0.07110042870044708	0.20046367	No	
row_22	UNC5C	NA	10985	0.06922225654125214	0.21053359	No	
row_23	CDK6	NA	11339	0.0645298883318901	0.20538987	No	
row_24	RASA1	NA	11743	0.05915096029639244	0.19557314	No	
row_25	ETS2	NA	12919	0.03977713733911514	0.13090415	No	
row_26	PML	NA	12973	0.03889447823166847	0.1380663	No	
row_27	CDK5R1	NA	13376	0.03042454645037651	0.120509624	No	
row_28	ADGRG1	NA	14500	-5.80580672249198E-4	0.0485322	No	
row_29	LDB1	NA	14790	-0.012488794513046741	0.03336134	No	
row_30	OPHN1	NA	15403	-0.06800715625286102	0.012525614	No	
