NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EBI3	NA	2139	0.17595045268535614	-0.10677021	No	
row_1	CNTFR	NA	2464	0.17026305198669434	-0.09763448	No	
row_2	TNFRSF12A	NA	3164	0.15931394696235657	-0.114582896	No	
row_3	IL7	NA	3459	0.15526437759399414	-0.106158	No	
row_4	OSMR	NA	3616	0.15325753390789032	-0.08919789	No	
row_5	ACVR1B	NA	3643	0.1530166119337082	-0.06390664	No	
row_6	IL17RB	NA	4521	0.1417057067155838	-0.09542352	No	
row_7	CCL7	NA	4576	0.1411040872335434	-0.074035145	No	
row_8	A2M	NA	4689	0.13980261981487274	-0.056612033	No	
row_9	TNFRSF21	NA	5606	0.12948545813560486	-0.09279455	No	
row_10	PLA2G2A	NA	6559	0.11944708973169327	-0.13306496	No	
row_11	PDGFC	NA	6593	0.11918231099843979	-0.11418718	No	
row_12	CXCL13	NA	7030	0.11424650996923447	-0.12213737	No	
row_13	CSF2	NA	7592	0.10836716741323471	-0.13917519	No	
row_14	IL1R2	NA	7642	0.10776272416114807	-0.12334047	No	
row_15	INHBE	NA	7808	0.10587432235479355	-0.11531037	No	
row_16	PTPN2	NA	8078	0.10301385819911957	-0.11448323	No	
row_17	ACVRL1	NA	8150	0.10224388539791107	-0.10103816	No	
row_18	PTPN1	NA	8506	0.09841443598270416	-0.10656102	No	
row_19	CXCL3	NA	8602	0.0974888950586319	-0.09549981	No	
row_20	IL18R1	NA	8694	0.09665235877037048	-0.084328376	No	
row_21	DNTT	NA	8712	0.09646103531122208	-0.06842415	No	
row_22	IFNAR1	NA	8884	0.09453149139881134	-0.06277945	No	
row_23	STAT3	NA	8955	0.09382769465446472	-0.050753146	No	
row_24	REG1A	NA	8983	0.09360481798648834	-0.03599639	No	
row_25	SOCS1	NA	9110	0.0922234058380127	-0.02785989	No	
row_26	HAX1	NA	9224	0.09102443605661392	-0.019097326	No	
row_27	TYK2	NA	9774	0.08499608188867569	-0.03948087	No	
row_28	CXCL9	NA	9965	0.08285494148731232	-0.03711775	No	
row_29	IL6	NA	10453	0.07650534808635712	-0.05500405	No	
row_30	CXCL11	NA	10609	0.07461502403020859	-0.051838614	No	
row_31	HMOX1	NA	10762	0.07239538431167603	-0.048871104	No	
row_32	IFNGR1	NA	11008	0.06893949210643768	-0.052502964	No	
row_33	IL2RA	NA	11112	0.06756243109703064	-0.047230966	No	
row_34	IL13RA1	NA	11632	0.0605882927775383	-0.069983505	No	
row_35	STAT2	NA	11786	0.05848364159464836	-0.06953206	No	
row_36	ITGB3	NA	12378	0.04904681071639061	-0.09895622	No	
row_37	IL1R1	NA	12502	0.04723634570837021	-0.098554514	No	
row_38	IRF9	NA	12687	0.04401528835296631	-0.10264959	No	
row_39	CSF1	NA	13167	0.034553226083517075	-0.12741378	No	
row_40	MYD88	NA	13205	0.03379813954234123	-0.12384082	No	
row_41	STAT1	NA	13430	0.029040487483143806	-0.13315138	No	
row_42	STAM2	NA	13479	0.028162386268377304	-0.13128014	No	
row_43	IL6ST	NA	13582	0.025757476687431335	-0.13331097	No	
row_44	CD36	NA	13644	0.023908665403723717	-0.13302672	No	
row_45	CXCL10	NA	13746	0.02149404212832451	-0.13574448	No	
row_46	PTPN11	NA	13753	0.021355295553803444	-0.13236754	No	
row_47	BAK1	NA	13989	0.015587588772177696	-0.14475742	No	
row_48	CD38	NA	14005	0.015060706064105034	-0.14306948	No	
row_49	IL12RB1	NA	14006	0.015053503215312958	-0.1404166	No	
row_50	LTBR	NA	14163	0.010809735395014286	-0.14855993	No	
row_51	CSF2RB	NA	14191	0.009706013835966587	-0.14858858	No	
row_52	GRB2	NA	14297	0.006363776978105307	-0.15423039	No	
row_53	CXCL1	NA	14347	0.00476854806765914	-0.15654622	No	
row_54	IL15RA	NA	14531	-0.0014017382636666298	-0.16808663	No	
row_55	CBL	NA	14594	-0.004125632345676422	-0.17135315	No	
row_56	MAP3K8	NA	14681	-0.007499552797526121	-0.17557095	No	
row_57	PIM1	NA	15056	-0.02824782021343708	-0.19468305	Yes	
row_58	CCR1	NA	15082	-0.03047199174761772	-0.1909233	Yes	
row_59	FAS	NA	15096	-0.03119043819606304	-0.18626401	Yes	
row_60	IL4R	NA	15145	-0.03461947664618492	-0.18325484	Yes	
row_61	IRF1	NA	15282	-0.04857432469725609	-0.18345469	Yes	
row_62	IL10RB	NA	15328	-0.05617372691631317	-0.1764538	Yes	
row_63	CD44	NA	15382	-0.06405922025442123	-0.16857855	Yes	
row_64	IFNGR2	NA	15406	-0.0692962035536766	-0.15784803	Yes	
row_65	IL1B	NA	15450	-0.07960880547761917	-0.14658839	Yes	
row_66	TGFB1	NA	15480	-0.08727952092885971	-0.13307515	Yes	
row_67	CSF3R	NA	15489	-0.0895247831940651	-0.11781358	Yes	
row_68	TNFRSF1A	NA	15513	-0.09708935767412186	-0.1021851	Yes	
row_69	TNFRSF1B	NA	15531	-0.1022852435708046	-0.08525448	Yes	
row_70	PF4	NA	15540	-0.10638770461082458	-0.067021176	Yes	
row_71	IL2RG	NA	15550	-0.11056201159954071	-0.048116654	Yes	
row_72	CD14	NA	15576	-0.13358663022518158	-0.026185118	Yes	
row_73	ITGA4	NA	15587	-0.15626181662082672	7.0862786E-4	Yes	
