NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFITM3	NA	213	0.27017664909362793	0.03346146	No	
row_1	IFITM1	NA	1354	0.19461022317409515	-0.0060244417	No	
row_2	IL7	NA	3459	0.15526437759399414	-0.114516065	No	
row_3	IFITM2	NA	3682	0.15228389203548431	-0.1022263	No	
row_4	RIPK2	NA	4734	0.13924351334571838	-0.14564638	No	
row_5	PNPT1	NA	4902	0.13727861642837524	-0.13243254	No	
row_6	MVB12A	NA	5326	0.13260893523693085	-0.13653448	No	
row_7	USP18	NA	5546	0.1302180141210556	-0.12790547	No	
row_8	LGALS3BP	NA	5910	0.12617281079292297	-0.12926434	No	
row_9	TDRD7	NA	6042	0.12493114918470383	-0.11588683	No	
row_10	PARP12	NA	6992	0.11463071405887604	-0.1570316	No	
row_11	IFIH1	NA	7266	0.11191876977682114	-0.1550793	No	
row_12	DDX60	NA	7282	0.11171979457139969	-0.1365327	No	
row_13	C1S	NA	7649	0.10772323608398438	-0.1413074	No	
row_14	SLC25A28	NA	7872	0.10516247153282166	-0.13724805	No	
row_15	PROCR	NA	8429	0.09913323074579239	-0.15576935	No	
row_16	LAP3	NA	9171	0.09154550731182098	-0.18753988	No	
row_17	IL15	NA	9350	0.08949751406908035	-0.18338066	No	
row_18	HERC6	NA	9572	0.08692345023155212	-0.18244256	No	
row_19	CMTR1	NA	9588	0.08680839091539383	-0.16824707	No	
row_20	ISG20	NA	9698	0.08574650436639786	-0.16029571	No	
row_21	GBP2	NA	9731	0.08546597510576248	-0.1474304	No	
row_22	RSAD2	NA	9892	0.08367754518985748	-0.14312756	No	
row_23	TRIM5	NA	10000	0.08225640654563904	-0.1356569	No	
row_24	RTP4	NA	10359	0.07764807343482971	-0.14516902	No	
row_25	IFIT2	NA	10414	0.07697010040283203	-0.13520563	No	
row_26	CXCL11	NA	10609	0.07461502403020859	-0.1346771	No	
row_27	PSMA3	NA	10645	0.07410143315792084	-0.12399013	No	
row_28	IFI35	NA	10652	0.07401207089424133	-0.11144962	No	
row_29	LAMP3	NA	11182	0.06660004705190659	-0.13391303	No	
row_30	CNP	NA	11308	0.06497486680746078	-0.13062099	No	
row_31	OASL	NA	11751	0.0589410625398159	-0.14881468	No	
row_32	STAT2	NA	11786	0.05848364159464836	-0.14079112	No	
row_33	SAMD9	NA	11879	0.05683312937617302	-0.13679416	No	
row_34	NUB1	NA	11936	0.05590876191854477	-0.13063833	No	
row_35	IFI44L	NA	11993	0.05485854670405388	-0.12466594	No	
row_36	NCOA7	NA	12499	0.047273557633161545	-0.1489581	No	
row_37	IRF9	NA	12687	0.04401528835296631	-0.15332307	No	
row_38	GMPR	NA	12917	0.0398271344602108	-0.16112661	No	
row_39	BATF2	NA	12957	0.03911064565181732	-0.15680909	No	
row_40	EIF2AK2	NA	13016	0.03811651095747948	-0.15388983	No	
row_41	CASP8	NA	13034	0.03776836022734642	-0.14838879	No	
row_42	ADAR	NA	13062	0.037135254591703415	-0.14364284	No	
row_43	CSF1	NA	13167	0.034553226083517075	-0.14431083	No	
row_44	NMI	NA	13202	0.033804938197135925	-0.14059776	No	
row_45	IRF2	NA	13278	0.03249884024262428	-0.13975541	No	
row_46	PARP9	NA	13382	0.030265694484114647	-0.14110783	No	
row_47	ELF1	NA	13423	0.029248319566249847	-0.13857736	No	
row_48	IFIT3	NA	13462	0.0284417737275362	-0.13605884	No	
row_49	PLSCR1	NA	13725	0.022005651146173477	-0.14910214	No	
row_50	CXCL10	NA	13746	0.02149404212832451	-0.14663698	No	
row_51	IFI44	NA	13761	0.021190088242292404	-0.14383818	No	
row_52	TENT5A	NA	13859	0.018688300624489784	-0.14682603	No	
row_53	LPAR6	NA	14015	0.014938924461603165	-0.15420707	No	
row_54	OAS1	NA	14018	0.014882827177643776	-0.15173648	No	
row_55	TRIM21	NA	14236	0.008235961198806763	-0.16428442	No	
row_56	PSME2	NA	14312	0.0058549861423671246	-0.1680958	No	
row_57	WARS1	NA	14414	0.002510354621335864	-0.17416717	No	
row_58	SAMD9L	NA	14721	-0.009335150942206383	-0.1922595	No	
row_59	GBP4	NA	14775	-0.011825918219983578	-0.19360998	No	
row_60	MX1	NA	14826	-0.01475728489458561	-0.19425511	No	
row_61	PARP14	NA	14868	-0.016638580709695816	-0.19399156	No	
