NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDO1	NA	48	0.35193464159965515	0.027409293	No	
row_1	IFITM3	NA	213	0.27017664909362793	0.04020529	No	
row_2	AUTS2	NA	655	0.22247204184532166	0.030900335	No	
row_3	CCL2	NA	1692	0.1857679933309555	-0.02017409	No	
row_4	GBP6	NA	1917	0.1807669997215271	-0.019023351	No	
row_5	XCL1	NA	2589	0.16795480251312256	-0.047972098	No	
row_6	IL7	NA	3459	0.15526437759399414	-0.09086191	No	
row_7	IFITM2	NA	3682	0.15228389203548431	-0.092051715	No	
row_8	VCAM1	NA	4104	0.14663903415203094	-0.106636405	No	
row_9	CCL7	NA	4576	0.1411040872335434	-0.12494365	No	
row_10	TNFAIP6	NA	4612	0.1407897174358368	-0.115003206	No	
row_11	RIPK2	NA	4734	0.13924351334571838	-0.110774025	No	
row_12	PNPT1	NA	4902	0.13727861642837524	-0.10969839	No	
row_13	USP18	NA	5546	0.1302180141210556	-0.1401041	No	
row_14	C1R	NA	5843	0.12688857316970825	-0.14829533	No	
row_15	LGALS3BP	NA	5910	0.12617281079292297	-0.14163293	No	
row_16	TDRD7	NA	6042	0.12493114918470383	-0.13929352	No	
row_17	ARID5B	NA	6096	0.12439968436956406	-0.13194184	No	
row_18	NOD1	NA	6857	0.11625439673662186	-0.17114612	No	
row_19	PARP12	NA	6992	0.11463071405887604	-0.16989459	No	
row_20	PSMB2	NA	7204	0.11249181628227234	-0.17382208	No	
row_21	IFIH1	NA	7266	0.11191876977682114	-0.16807163	No	
row_22	DDX60	NA	7282	0.11171979457139969	-0.1593553	No	
row_23	C1S	NA	7649	0.10772323608398438	-0.17374822	No	
row_24	SLC25A28	NA	7872	0.10516247153282166	-0.17902471	No	
row_25	PTPN2	NA	8078	0.10301385819911957	-0.18338507	No	
row_26	METTL7B	NA	8178	0.1019299253821373	-0.18096526	No	
row_27	PTPN1	NA	8506	0.09841443598270416	-0.19363633	No	
