NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VPREB1	NA	51	0.3501056134700775	0.012734289	Yes	
row_1	ACTC1	NA	77	0.31906795501708984	0.025731666	Yes	
row_2	NTF3	NA	104	0.305362731218338	0.03803635	Yes	
row_3	KRT13	NA	180	0.2772962749004364	0.045879584	Yes	
row_4	FGF16	NA	302	0.2527238428592682	0.04961586	Yes	
row_5	SNCB	NA	351	0.2471991330385208	0.057830077	Yes	
row_6	GPR19	NA	489	0.23370546102523804	0.059658118	Yes	
row_7	PROP1	NA	608	0.22478483617305756	0.06230884	Yes	
row_8	CYP11B2	NA	627	0.224015474319458	0.0714052	Yes	
row_9	UPK3B	NA	637	0.2234325408935547	0.08105813	Yes	
row_10	FGF22	NA	828	0.21306155622005463	0.07850554	Yes	
row_11	THRB	NA	863	0.21184639632701874	0.086007446	Yes	
row_12	PRKN	NA	975	0.2073207050561905	0.08831174	Yes	
row_13	CAPN9	NA	997	0.20646537840366364	0.09640964	Yes	
row_14	IL12B	NA	1090	0.20329859852790833	0.09976103	Yes	
row_15	TNNI3	NA	1114	0.20235735177993774	0.107541114	Yes	
row_16	ZC2HC1C	NA	1172	0.20068450272083282	0.11304106	Yes	
row_17	CPEB3	NA	1187	0.19992393255233765	0.121292934	Yes	
row_18	THNSL2	NA	1269	0.1974928081035614	0.12509124	Yes	
row_19	RIBC2	NA	1286	0.19689710438251495	0.13307483	Yes	
row_20	SPTBN2	NA	1418	0.19274616241455078	0.13341524	Yes	
row_21	TFAP2B	NA	1431	0.192338228225708	0.14144921	Yes	
row_22	NPHS1	NA	1704	0.1855640560388565	0.13232253	Yes	
row_23	CDH16	NA	1784	0.18378637731075287	0.13562252	Yes	
row_24	AMBN	NA	1786	0.18378305435180664	0.14397745	Yes	
row_25	ARHGDIG	NA	1792	0.1836913675069809	0.15206893	Yes	
row_26	CDKAL1	NA	1843	0.18222473561763763	0.15717684	Yes	
row_27	TENM2	NA	1871	0.1816871166229248	0.16375071	Yes	
row_28	KLHDC8A	NA	1878	0.1815689355134964	0.17168015	Yes	
row_29	TGFB2	NA	1901	0.18111592531204224	0.1785519	Yes	
row_30	STAG3	NA	1953	0.1799105703830719	0.18348897	Yes	
row_31	CHRNG	NA	2252	0.17390769720077515	0.17214325	Yes	
row_32	MYH7	NA	2327	0.1727956384420395	0.17526375	Yes	
row_33	SLC6A14	NA	2347	0.17233754694461823	0.18192776	Yes	
row_34	CNTFR	NA	2464	0.17026305198669434	0.18221027	Yes	
row_35	KRT5	NA	2489	0.1699075996875763	0.1884389	Yes	
row_36	KCNE2	NA	2539	0.16918377578258514	0.19301416	Yes	
row_37	MYOT	NA	2749	0.1654227077960968	0.1870477	Yes	
row_38	ZNF112	NA	2823	0.16438943147659302	0.1898479	Yes	
row_39	PDE6B	NA	2829	0.1642882525920868	0.19705047	Yes	
row_40	NGB	NA	2906	0.16308189928531647	0.19959633	Yes	
row_41	CYP39A1	NA	2930	0.16275238990783691	0.20556198	Yes	
row_42	CCR8	NA	2998	0.16170185804367065	0.20862791	Yes	
row_43	SMPX	NA	3038	0.16130957007408142	0.2134905	Yes	
row_44	CCDC106	NA	3039	0.1613064557313919	0.22088051	Yes	
row_45	LGALS7	NA	3151	0.15946337580680847	0.2209923	Yes	
row_46	TG	NA	3187	0.15902994573116302	0.2260097	Yes	
row_47	ABCG4	NA	3217	0.15854915976524353	0.23139392	Yes	
row_48	SELENOP	NA	3402	0.1561143398284912	0.22662123	Yes	
row_49	CD207	NA	3475	0.1550792157649994	0.2290597	Yes	
row_50	MACROH2A2	NA	3522	0.15446250140666962	0.23315495	Yes	
row_51	HNF1A	NA	3547	0.1541856825351715	0.23866332	Yes	
row_52	RGS11	NA	3575	0.1537274420261383	0.24395625	Yes	
row_53	EDN1	NA	3641	0.15302729606628418	0.2467544	Yes	
row_54	LYPD3	NA	3670	0.152512326836586	0.25192687	Yes	
row_55	FSHB	NA	3789	0.15073010325431824	0.25118488	Yes	
row_56	TEX15	NA	3800	0.1505803018808365	0.25743538	Yes	
row_57	CLDN16	NA	3814	0.15042950212955475	0.26348457	Yes	
row_58	CPA2	NA	3975	0.14825594425201416	0.25990728	Yes	
row_59	BRDT	NA	4096	0.1467619389295578	0.25885388	Yes	
row_60	KLK8	NA	4111	0.1465798318386078	0.26466188	Yes	
row_61	MYO15A	NA	4119	0.14651437103748322	0.27092054	Yes	
row_62	KRT15	NA	4127	0.14637282490730286	0.2771727	Yes	
row_63	SPHK2	NA	4130	0.14635027945041656	0.2837479	Yes	
row_64	MAGIX	NA	4405	0.1430746167898178	0.27254504	Yes	
row_65	DCC	NA	4440	0.14267891645431519	0.27687815	Yes	
row_66	PAX4	NA	4570	0.14114700257778168	0.27498424	Yes	
row_67	SCN10A	NA	4609	0.1407994031906128	0.278972	Yes	
row_68	RYR1	NA	4687	0.13983416557312012	0.280388	Yes	
row_69	TCF7L1	NA	4744	0.13915051519870758	0.2831337	Yes	
row_70	SERPINB2	NA	4840	0.13806556165218353	0.2833021	Yes	
row_71	ITGB1BP2	NA	4958	0.13669201731681824	0.2819818	Yes	
row_72	SOX10	NA	5009	0.1361396461725235	0.2849784	Yes	
row_73	CKM	NA	5010	0.13613110780715942	0.291215	Yes	
row_74	TGM1	NA	5080	0.13535229861736298	0.29294416	Yes	
row_75	PLAG1	NA	5121	0.13471253216266632	0.29652345	Yes	
row_76	EDN2	NA	5130	0.13461464643478394	0.30217212	Yes	
row_77	KCND1	NA	5251	0.13331523537635803	0.30050272	Yes	
row_78	ATP6V1B1	NA	5345	0.13239753246307373	0.30054107	Yes	
row_79	EFHD1	NA	5357	0.13224530220031738	0.30588678	Yes	
row_80	CCNA1	NA	5462	0.13114537298679352	0.3051549	Yes	
row_81	EPHA5	NA	5586	0.12964317202568054	0.3031228	Yes	
row_82	DLK2	NA	5639	0.12913104891777039	0.30566868	Yes	
row_83	KRT1	NA	5660	0.12892641127109528	0.31027907	Yes	
row_84	SLC38A3	NA	5682	0.12873436510562897	0.31481585	Yes	
row_85	KCNN1	NA	5688	0.12866410613059998	0.32038635	Yes	
row_86	CACNA1F	NA	5710	0.1283871829509735	0.3249072	Yes	
row_87	SLC25A23	NA	5733	0.12813761830329895	0.32935184	Yes	
row_88	ITIH3	NA	5762	0.12767255306243896	0.3333863	Yes	
row_89	KLK7	NA	5823	0.12709717452526093	0.33532053	Yes	
row_90	PAX3	NA	6002	0.1253785938024521	0.3295286	Yes	
row_91	NOS1	NA	6034	0.12502853572368622	0.3332475	Yes	
row_92	IGFBP2	NA	6169	0.12353694438934326	0.3302228	Yes	
row_93	CPB1	NA	6332	0.12193676084280014	0.32531008	Yes	
row_94	CACNG1	NA	6358	0.12171938270330429	0.32926625	Yes	
row_95	SLC12A3	NA	6378	0.12147678434848785	0.33360013	Yes	
row_96	ATP4A	NA	6399	0.12127353996038437	0.33785993	Yes	
row_97	TLX1	NA	6457	0.1205756887793541	0.33968982	Yes	
row_98	KRT4	NA	6527	0.11985410749912262	0.34070894	Yes	
row_99	CALCB	NA	6694	0.11793486773967743	0.33535367	No	
row_100	COL2A1	NA	6740	0.11745095252990723	0.33781812	No	
row_101	PTGFR	NA	6901	0.11578521877527237	0.3327532	No	
row_102	NR6A1	NA	6936	0.11531799286603928	0.33583283	No	
row_103	WNT16	NA	7123	0.11340004205703735	0.32897362	No	
row_104	BMPR1B	NA	7127	0.1133151650428772	0.33397055	No	
row_105	FGGY	NA	7129	0.11329822242259979	0.33909634	No	
row_106	SLC29A3	NA	7252	0.11203707754611969	0.33632246	No	
row_107	RYR2	NA	7323	0.1112479642033577	0.3368825	No	
row_108	DTNB	NA	7396	0.11048547923564911	0.33727798	No	
row_109	AKR1B10	NA	7744	0.10659272223711014	0.3196727	No	
row_110	GAMT	NA	7792	0.10601220279932022	0.32148346	No	
row_111	EDAR	NA	7814	0.10580945014953613	0.32496998	No	
row_112	GDNF	NA	7871	0.10518017411231995	0.32615933	No	
row_113	TFCP2L1	NA	7900	0.1048373132944107	0.32914764	No	
row_114	CELSR2	NA	7918	0.10463894158601761	0.33283976	No	
row_115	INSL5	NA	7942	0.10448766499757767	0.3361361	No	
row_116	CLPS	NA	7956	0.10428494215011597	0.34007123	No	
row_117	TFF2	NA	8159	0.10216647386550903	0.33166045	No	
row_118	ARPP21	NA	8191	0.10177098959684372	0.33431387	No	
row_119	SHOX2	NA	8387	0.09948151558637619	0.3262337	No	
row_120	ENTPD7	NA	8400	0.0993567481637001	0.33000788	No	
row_121	PKP1	NA	8460	0.09875788539648056	0.33070862	No	
row_122	CD80	NA	8522	0.09831201285123825	0.33125928	No	
row_123	C5	NA	8528	0.098249152302742	0.33543637	No	
row_124	COPZ2	NA	8550	0.09805161505937576	0.33856747	No	
row_125	GRID2	NA	8684	0.0966988354921341	0.334378	No	
row_126	GTF3C5	NA	8766	0.09577152878046036	0.3335161	No	
row_127	COQ8A	NA	8794	0.09548438340425491	0.33614072	No	
row_128	PDK2	NA	8970	0.09371943771839142	0.3290928	No	
row_129	SPRR3	NA	9054	0.09276539832353592	0.32796356	No	
row_130	CAMK1D	NA	9190	0.09134887158870697	0.3233994	No	
row_131	GP2	NA	9304	0.09005443006753922	0.3202017	No	
row_132	SLC5A5	NA	9482	0.0880175232887268	0.31276292	No	
row_133	SKIL	NA	9496	0.0877976268529892	0.3159427	No	
row_134	SCGB1A1	NA	9830	0.08434360474348068	0.29822543	No	
row_135	RSAD2	NA	9892	0.08367754518985748	0.29810566	No	
row_136	MAST3	NA	10181	0.07981732487678528	0.28309742	No	
row_137	MTHFR	NA	10356	0.07770690321922302	0.2753807	No	
row_138	HSD11B2	NA	10367	0.07757188379764557	0.27828646	No	
row_139	NUDT11	NA	10375	0.07748787105083466	0.28138277	No	
row_140	BARD1	NA	10496	0.07601846009492874	0.2770884	No	
row_141	KCNMB1	NA	10597	0.07470792531967163	0.27403012	No	
row_142	VPS50	NA	11204	0.06635281443595886	0.23779584	No	
row_143	MFSD6	NA	11305	0.06506381928920746	0.23429576	No	
row_144	CHST2	NA	11356	0.06425735354423523	0.23399916	No	
row_145	SYNPO	NA	11761	0.058834515511989594	0.21051182	No	
row_146	SLC30A3	NA	11804	0.05817125365138054	0.21045487	No	
row_147	CD40LG	NA	11948	0.05567680671811104	0.20373794	No	
row_148	IFI44L	NA	11993	0.05485854670405388	0.20339963	No	
row_149	YPEL1	NA	12138	0.05288015678524971	0.19648977	No	
row_150	SIDT1	NA	12160	0.05257619917392731	0.19753748	No	
row_151	SLC16A7	NA	12311	0.05006259307265282	0.1901097	No	
row_152	IL5	NA	12477	0.047668639570474625	0.18160011	No	
row_153	NRIP2	NA	12673	0.04431586340069771	0.17099266	No	
row_154	NR4A2	NA	12775	0.04220805689692497	0.16638066	No	
row_155	GPR3	NA	12874	0.0405830480158329	0.16188864	No	
row_156	OXT	NA	12965	0.039013709872961044	0.1578432	No	
row_157	CLSTN3	NA	13098	0.03611454367637634	0.15094297	No	
row_158	IFNG	NA	13374	0.030437124893069267	0.13451497	No	
row_159	GP1BA	NA	13775	0.020801730453968048	0.10954444	No	
row_160	IDUA	NA	14366	0.004036291968077421	0.07149216	No	
row_161	TCL1A	NA	14458	0.0011501606786623597	0.065647244	No	
row_162	TENT5C	NA	14521	-0.0011290210532024503	0.061680824	No	
row_163	EGF	NA	14702	-0.00857225339859724	0.05040796	No	
row_164	SGK1	NA	14793	-0.012556609697639942	0.04515043	No	
row_165	MX1	NA	14826	-0.01475728489458561	0.04375263	No	
row_166	MEFV	NA	14875	-0.01703615114092827	0.04142229	No	
row_167	BTG2	NA	15228	-0.04260212555527687	0.020561336	No	
row_168	PTPRJ	NA	15425	-0.07319009304046631	0.011211897	No	
