NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAD	NA	399	0.24192790687084198	-0.008289594	No	
row_1	CCNA2	NA	987	0.20660178363323212	-0.03133799	No	
row_2	SNRPD1	NA	1081	0.2034471184015274	-0.02258144	No	
row_3	HDDC2	NA	2000	0.17882148921489716	-0.06911325	No	
row_4	SNRPA	NA	2199	0.17494416236877441	-0.06923729	No	
row_5	RFC4	NA	2757	0.16534729301929474	-0.09333882	No	
row_6	CDK4	NA	3068	0.16077768802642822	-0.10175536	No	
row_7	EIF2S1	NA	3202	0.15885671973228455	-0.098833665	No	
row_8	IARS1	NA	3225	0.15847912430763245	-0.088741444	No	
row_9	PWP1	NA	3396	0.1561456024646759	-0.08841614	No	
row_10	RRP9	NA	3809	0.15046700835227966	-0.10419645	Yes	
row_11	MCM4	NA	3861	0.14977937936782837	-0.09661711	Yes	
row_12	TYMS	NA	3905	0.14919783174991608	-0.08856127	Yes	
row_13	ORC2	NA	4022	0.14760203659534454	-0.085355215	Yes	
row_14	CDC45	NA	4220	0.14519190788269043	-0.08757692	Yes	
row_15	HPRT1	NA	4255	0.14485783874988556	-0.0792529	Yes	
row_16	LSM7	NA	4431	0.14278119802474976	-0.080223195	Yes	
row_17	SNRPA1	NA	4441	0.1426665484905243	-0.07043728	Yes	
row_18	SNRPB2	NA	4659	0.14018242061138153	-0.074320026	Yes	
row_19	ILF2	NA	4778	0.1388067752122879	-0.07188294	Yes	
row_20	AIMP2	NA	4799	0.13860774040222168	-0.06310535	Yes	
row_21	MAD2L1	NA	5244	0.13336966931819916	-0.082203455	Yes	
row_22	MCM2	NA	5276	0.13313701748847961	-0.074536815	Yes	
row_23	SNRPG	NA	5488	0.13087570667266846	-0.07870692	Yes	
row_24	CCT3	NA	5538	0.13026607036590576	-0.07241619	Yes	
row_25	RPL14	NA	5676	0.12879259884357452	-0.07193906	Yes	
row_26	PSMC6	NA	5818	0.12715336680412292	-0.07184046	Yes	
row_27	EIF2S2	NA	5830	0.1270303875207901	-0.06332073	Yes	
row_28	VBP1	NA	5987	0.12549197673797607	-0.06431559	Yes	
row_29	POLD2	NA	6010	0.1252598762512207	-0.05663786	Yes	
row_30	SNRPD3	NA	6072	0.12466244399547577	-0.051532578	Yes	
row_31	EXOSC7	NA	6152	0.12372986227273941	-0.047662318	Yes	
row_32	DUT	NA	6545	0.11959392577409744	-0.06438967	Yes	
row_33	MCM5	NA	6549	0.11952992528676987	-0.055896334	Yes	
row_34	PHB2	NA	6581	0.11926630884408951	-0.049237862	Yes	
row_35	NOLC1	NA	6735	0.11749649047851562	-0.05061932	Yes	
row_36	COPS5	NA	6759	0.11727193742990494	-0.043587036	Yes	
row_37	DDX18	NA	6797	0.11680930107831955	-0.037496228	Yes	
row_38	CDC20	NA	7115	0.11349726468324661	-0.049803212	Yes	
row_39	EIF1AX	NA	7170	0.112882599234581	-0.045100205	Yes	
row_40	COX5A	NA	7178	0.11275699734687805	-0.037358537	Yes	
row_41	PSMB2	NA	7204	0.11249181628227234	-0.03080338	Yes	
row_42	HSPE1	NA	7442	0.10996966809034348	-0.038179033	Yes	
row_43	SRSF3	NA	7486	0.10949152708053589	-0.033009186	Yes	
row_44	KPNA2	NA	7491	0.1094636619091034	-0.025312351	Yes	
row_45	IMPDH2	NA	7514	0.10921161621809006	-0.018801073	Yes	
row_46	TFDP1	NA	7602	0.10820536315441132	-0.016577965	Yes	
row_47	NHP2	NA	7706	0.10705611854791641	-0.015475934	Yes	
row_48	NCBP1	NA	7897	0.10486610978841782	-0.020174738	Yes	
row_49	NOP56	NA	8164	0.10214605927467346	-0.029999591	Yes	
row_50	ACP1	NA	8281	0.10066623240709305	-0.030205008	Yes	
row_51	HDGF	NA	8345	0.09995017945766449	-0.027025597	Yes	
row_52	BUB3	NA	8479	0.09859760850667953	-0.028483761	Yes	
row_53	DEK	NA	8514	0.09837974607944489	-0.023537943	Yes	
row_54	ABCE1	NA	8539	0.09814845770597458	-0.01796047	Yes	
row_55	CSTF2	NA	8783	0.09559264034032822	-0.026770176	Yes	
row_56	CCT4	NA	9034	0.0930408239364624	-0.036219284	Yes	
row_57	DHX15	NA	9078	0.09257900714874268	-0.032278705	Yes	
row_58	KPNB1	NA	9096	0.09237036108970642	-0.026667278	Yes	
row_59	VDAC3	NA	9118	0.09207780659198761	-0.021336503	Yes	
row_60	PRDX3	NA	9126	0.09202348440885544	-0.015101822	Yes	
row_61	NOP16	NA	9151	0.09171370416879654	-0.009992051	Yes	
row_62	SMARCC1	NA	9251	0.09077297896146774	-0.0098141525	Yes	
row_63	NCBP2	NA	9267	0.090581513941288	-0.0042030527	Yes	
row_64	XPOT	NA	9331	0.0897710770368576	-0.0017634969	Yes	
row_65	RANBP1	NA	9379	0.08912613987922668	0.0016667283	Yes	
row_66	PSMD7	NA	9527	0.08742785453796387	-0.0015111477	Yes	
row_67	LDHA	NA	9543	0.0872441828250885	0.0038573823	Yes	
row_68	DDX21	NA	9672	0.08599557727575302	0.0018074892	Yes	
row_69	CTPS1	NA	9935	0.08313417434692383	-0.00913983	Yes	
row_70	NDUFAB1	NA	9992	0.08243605494499207	-0.006779485	Yes	
row_71	NME1	NA	10239	0.07904903590679169	-0.016986182	Yes	
row_72	PSMA1	NA	10333	0.07798367738723755	-0.017348778	Yes	
row_73	TARDBP	NA	10360	0.07763687521219254	-0.013391854	Yes	
row_74	EPRS1	NA	10407	0.07706870883703232	-0.010773161	Yes	
row_75	CCT2	NA	10430	0.07674523442983627	-0.00662166	Yes	
row_76	ERH	NA	10463	0.0763423889875412	-0.0031479057	Yes	
row_77	CCT5	NA	10518	0.0757506936788559	-0.0011437837	Yes	
row_78	GLO1	NA	10586	0.0748770609498024	-4.616665E-5	Yes	
row_79	ETF1	NA	10606	0.07465852797031403	0.004148205	Yes	
row_80	PABPC4	NA	10616	0.07453493028879166	0.00898206	Yes	
row_81	SRPK1	NA	10660	0.07393903285264969	0.011567816	Yes	
row_82	EIF3B	NA	10916	0.07026353478431702	1.3893718E-4	Yes	
row_83	PPM1G	NA	11037	0.06859703361988068	-0.0026567732	Yes	
row_84	PSMD3	NA	11053	0.06837154179811478	0.0013400236	Yes	
row_85	UBE2E1	NA	11082	0.06801809370517731	0.0044681244	Yes	
row_86	FBL	NA	11151	0.06695657968521118	0.004925205	Yes	
row_87	EIF4H	NA	11165	0.06679680943489075	0.008937238	Yes	
row_88	HNRNPR	NA	11273	0.0653594583272934	0.006749214	Yes	
row_89	MRPL9	NA	11332	0.06462907791137695	0.0076855896	Yes	
row_90	RAN	NA	11354	0.06428904831409454	0.010996576	Yes	
row_91	PSMC4	NA	11413	0.06353699415922165	0.011853575	Yes	
row_92	TRA2B	NA	11451	0.06314269453287125	0.014043693	Yes	
row_93	ODC1	NA	11456	0.06308374553918839	0.018369466	Yes	
row_94	SF3A1	NA	11458	0.06303633749485016	0.022886334	Yes	
row_95	UBA2	NA	11472	0.06281617283821106	0.026609039	Yes	
row_96	CYC1	NA	11477	0.06276439130306244	0.030911602	Yes	
row_97	RSL1D1	NA	11486	0.06257014721632004	0.034940656	Yes	
row_98	CDK2	NA	11488	0.06254933774471283	0.03942213	Yes	
row_99	RUVBL2	NA	11503	0.062415845692157745	0.04305089	Yes	
row_100	HNRNPD	NA	11505	0.0623588003218174	0.04751851	Yes	
