NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOTCH3	NA	1562	0.1888272911310196	-0.02783318	Yes	
row_1	HES1	NA	2111	0.1765250861644745	0.004721195	Yes	
row_2	HEYL	NA	3154	0.15941926836967468	-0.0010082877	Yes	
row_3	DTX2	NA	3370	0.15649856626987457	0.045242734	Yes	
row_4	KAT2A	NA	4416	0.14295677840709686	0.033003166	Yes	
row_5	JAG1	NA	4439	0.14271245896816254	0.08635624	Yes	
row_6	TCF7L2	NA	4463	0.14241443574428558	0.13953073	Yes	
row_7	WNT2	NA	4974	0.13654978573322296	0.15918462	Yes	
row_8	PRKCA	NA	4979	0.13650518655776978	0.21131143	Yes	
row_9	WNT5A	NA	5158	0.13435526192188263	0.25144073	Yes	
row_10	SAP30	NA	5694	0.12861430644989014	0.26644418	Yes	
row_11	FZD5	NA	5741	0.1280800998210907	0.31264105	Yes	
row_12	DTX1	NA	7752	0.10641156882047653	0.22441508	No	
row_13	PPARD	NA	8753	0.09589597582817078	0.19700544	No	
row_14	PSENEN	NA	9737	0.08539092540740967	0.16665606	No	
row_15	ARRB1	NA	9872	0.08396077901124954	0.1902718	No	
row_16	RBX1	NA	10328	0.07800617814064026	0.19099118	No	
row_17	PSEN2	NA	10938	0.06984519213438034	0.17869054	No	
row_18	APH1A	NA	11036	0.06860315799713135	0.19878855	No	
row_19	CCND1	NA	11350	0.06438781321048737	0.20339969	No	
row_20	ST3GAL6	NA	11509	0.06228412315249443	0.21715601	No	
row_21	MAML2	NA	11623	0.060636967420578	0.23316966	No	
row_22	DTX4	NA	13642	0.024002114310860634	0.11280551	No	
row_23	SKP1	NA	14634	-0.005345067474991083	0.05122498	No	
row_24	CUL1	NA	15049	-0.027645226567983627	0.03525103	No	
