NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCX	NA	274	0.25710517168045044	0.04419119	Yes	
row_1	NEUROD1	NA	575	0.22708766162395477	0.07949802	Yes	
row_2	PDX1	NA	1112	0.2023998200893402	0.0937122	Yes	
row_3	PCSK1	NA	1339	0.19516053795814514	0.12609917	Yes	
row_4	PCSK2	NA	1716	0.18538792431354523	0.14650229	Yes	
row_5	STXBP1	NA	1794	0.1836857944726944	0.18570238	Yes	
row_6	SCGN	NA	2064	0.17740695178508759	0.21106046	Yes	
row_7	ABCC8	NA	2119	0.176319882273674	0.24996766	Yes	
row_8	SST	NA	2160	0.17567896842956543	0.28962013	Yes	
row_9	INS	NA	2172	0.17551930248737335	0.33109698	Yes	
row_10	FOXA2	NA	2402	0.17129218578338623	0.35755485	Yes	
row_11	PAX6	NA	3183	0.1590593010187149	0.3456796	Yes	
row_12	NKX6-1	NA	3414	0.15594659745693207	0.36838517	Yes	
row_13	HNF1A	NA	3547	0.1541856825351715	0.39696246	Yes	
row_14	PAK3	NA	3752	0.15123344957828522	0.42020535	Yes	
row_15	GCG	NA	4392	0.14324116706848145	0.41358548	Yes	
row_16	PAX4	NA	4570	0.14114700257778168	0.4361386	Yes	
row_17	GCK	NA	4751	0.13904988765716553	0.457995	Yes	
row_18	SLC2A2	NA	4967	0.13659128546714783	0.47701228	Yes	
row_19	IAPP	NA	5461	0.13116320967674255	0.47686788	Yes	
row_20	NKX2-2	NA	5587	0.1296404004096985	0.49999574	Yes	
row_21	NEUROG3	NA	7604	0.10816898941993713	0.39649612	No	
row_22	SYT13	NA	8538	0.09814903140068054	0.36015415	No	
row_23	SRPRB	NA	9138	0.09186817705631256	0.34375694	No	
row_24	VDR	NA	11009	0.0689363107085228	0.24020655	No	
row_25	ELP4	NA	12209	0.05179377645254135	0.17563745	No	
row_26	SRP9	NA	13143	0.03508595749735832	0.12413921	No	
row_27	SPCS1	NA	13930	0.016794348135590553	0.0776873	No	
row_28	LMO2	NA	14880	-0.017242245376110077	0.020872843	No	
row_29	DPP4	NA	15174	-0.037237152457237244	0.011001578	No	
row_30	SRP14	NA	15397	-0.06727832555770874	0.0129109	No	
