NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOM1L1	NA	236	0.26421424746513367	0.022954246	No	
row_1	DST	NA	1653	0.1866777539253235	-0.041378118	No	
row_2	TSPAN8	NA	3238	0.15830805897712708	-0.12064149	Yes	
row_3	TPD52	NA	3447	0.15553659200668335	-0.11158258	Yes	
row_4	OCRL	NA	3583	0.1536732017993927	-0.098085925	Yes	
row_5	VPS4B	NA	3933	0.14881904423236847	-0.099089	Yes	
row_6	BET1	NA	3967	0.14836785197257996	-0.07978199	Yes	
row_7	TMX1	NA	4092	0.1467854529619217	-0.066571146	Yes	
row_8	CLN5	NA	4192	0.14557670056819916	-0.05192297	Yes	
row_9	ICA1	NA	4222	0.14518453180789948	-0.03281794	Yes	
row_10	SH3GL2	NA	4293	0.14434775710105896	-0.016477427	Yes	
row_11	SCRN1	NA	4794	0.13864324986934662	-0.028686887	Yes	
row_12	ARFGEF2	NA	4888	0.1373782753944397	-0.0148362685	Yes	
row_13	ABCA1	NA	5100	0.13509602844715118	-0.008923855	Yes	
row_14	ATP6V1B1	NA	5345	0.13239753246307373	-0.0055290908	Yes	
row_15	ZW10	NA	5442	0.1313389241695404	0.007255581	Yes	
row_16	CAV2	NA	5655	0.12899859249591827	0.012222616	Yes	
row_17	VAMP4	NA	5748	0.12789060175418854	0.02476702	Yes	
row_18	STAM	NA	5764	0.12765124440193176	0.042241707	Yes	
row_19	YKT6	NA	5931	0.12593652307987213	0.04973238	Yes	
row_20	ATP7A	NA	6171	0.12353178858757019	0.052168697	Yes	
row_21	ARFGEF1	NA	6311	0.1222139447927475	0.060862493	Yes	
row_22	LMAN1	NA	6432	0.12090552598237991	0.07059236	Yes	
row_23	TMED10	NA	6696	0.11788319796323776	0.07066513	Yes	
row_24	ATP6V1H	NA	6723	0.11757811158895493	0.085975274	Yes	
row_25	COPB1	NA	7114	0.11350858956575394	0.07722725	Yes	
row_26	KIF1B	NA	7284	0.11169535666704178	0.08246706	Yes	
row_27	BNIP3	NA	8029	0.10345932841300964	0.04944175	Yes	
row_28	EGFR	NA	8585	0.09765144437551498	0.027763847	Yes	
row_29	CLCN3	NA	9349	0.08949947357177734	-0.008503344	Yes	
row_30	TSG101	NA	9710	0.08568570017814636	-0.0193366	Yes	
row_31	COG2	NA	9924	0.08327484875917435	-0.021039786	Yes	
row_32	RAB9A	NA	10004	0.0822252705693245	-0.014254459	Yes	
row_33	ARFIP1	NA	10040	0.08182847499847412	-0.0046893973	Yes	
row_34	NAPA	NA	10191	0.07972309738397598	-0.0028435495	Yes	
row_35	GOSR2	NA	10354	0.07776185125112534	-0.0020547882	Yes	
row_36	VPS45	NA	10460	0.07639700919389725	0.002212078	Yes	
row_37	SEC22B	NA	10480	0.07617371529340744	0.011991853	Yes	
row_38	SCAMP1	NA	10565	0.07518579810857773	0.017437788	Yes	
row_39	RAB5A	NA	10683	0.07352554053068161	0.020516066	Yes	
row_40	SSPN	NA	10752	0.07250722497701645	0.026606685	Yes	
row_41	ANP32E	NA	10756	0.07246318459510803	0.036882058	Yes	
row_42	COPB2	NA	10880	0.07080257683992386	0.039180074	Yes	
row_43	STX7	NA	11001	0.06898903101682663	0.041409526	Yes	
row_44	SOD1	NA	11429	0.06342592090368271	0.023040311	Yes	
row_45	SEC24D	NA	11489	0.06254081428050995	0.028271383	Yes	
row_46	DOP1A	NA	11588	0.06109461188316345	0.030778853	Yes	
row_47	GBF1	NA	11629	0.06059914827346802	0.036954507	Yes	
row_48	COPE	NA	11964	0.055236104875802994	0.023398621	Yes	
row_49	RAB2A	NA	11982	0.05499996617436409	0.030248368	Yes	
row_50	GLA	NA	11991	0.05485894903540611	0.037658047	Yes	
row_51	RPS6KA3	NA	12039	0.054257363080978394	0.04246615	Yes	
