NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC2	NA	2367	0.17193055152893066	-0.09303716	No	
row_1	GLRX2	NA	3589	0.1536121964454651	-0.118719	Yes	
row_2	SRXN1	NA	4006	0.1478039026260376	-0.09466163	Yes	
row_3	MGST1	NA	4276	0.14448639750480652	-0.062297016	Yes	
row_4	OXSR1	NA	4652	0.14025665819644928	-0.038198285	Yes	
row_5	ABCC1	NA	6197	0.12329752743244171	-0.09505607	Yes	
row_6	MPO	NA	6751	0.1173432245850563	-0.0902711	Yes	
row_7	PDLIM1	NA	6795	0.11681707948446274	-0.052890584	Yes	
row_8	NDUFB4	NA	6989	0.1147269681096077	-0.025868434	Yes	
row_9	GCLC	NA	7216	0.11240269988775253	-0.0017658392	Yes	
row_10	PRDX1	NA	8317	0.10019033402204514	-0.03802967	Yes	
row_11	LAMTOR5	NA	8624	0.09728503972291946	-0.024263624	Yes	
row_12	PRDX2	NA	9088	0.09248244017362595	-0.02223796	Yes	
row_13	MSRA	NA	9229	0.09098673611879349	3.2063574E-5	Yes	
row_14	G6PD	NA	10002	0.08223848789930344	-0.021321202	Yes	
row_15	SELENOS	NA	10493	0.07606582343578339	-0.0266723	Yes	
row_16	ATOX1	NA	10623	0.07447127997875214	-0.009370846	Yes	
row_17	SOD1	NA	11429	0.06342592090368271	-0.039309844	Yes	
row_18	TXNRD1	NA	11548	0.06166168674826622	-0.025703449	Yes	
row_19	PFKP	NA	11647	0.06043362244963646	-0.011233726	Yes	
row_20	TXN	NA	12376	0.04906664788722992	-0.04115868	Yes	
row_21	PRDX4	NA	12404	0.04871402680873871	-0.026153399	Yes	
row_22	GPX3	NA	12774	0.04223484545946121	-0.03535411	Yes	
row_23	SCAF4	NA	13146	0.0349913090467453	-0.04717259	Yes	
row_24	MBP	NA	13526	0.02703694812953472	-0.062238712	Yes	
row_25	NQO1	NA	13676	0.023301534354686737	-0.06380701	Yes	
row_26	PRNP	NA	13821	0.01956944912672043	-0.0663365	Yes	
row_27	CAT	NA	14099	0.012535812333226204	-0.07983065	Yes	
row_28	NDUFS2	NA	14117	0.011950640939176083	-0.076816365	Yes	
row_29	GSR	NA	14176	0.010050083510577679	-0.07709018	Yes	
row_30	LSP1	NA	14177	0.01000406313687563	-0.0736523	Yes	
row_31	CDKN2D	NA	14193	0.009631973691284657	-0.071306296	Yes	
row_32	IPCEF1	NA	14453	0.0012926720082759857	-0.087507315	Yes	
row_33	SOD2	NA	14992	-0.02419871650636196	-0.1137673	Yes	
row_34	PRDX6	NA	15016	-0.0255234707146883	-0.10647435	Yes	
row_35	FES	NA	15475	-0.08542513847351074	-0.10655258	Yes	
row_36	GLRX	NA	15537	-0.10527051985263824	-0.07429683	Yes	
row_37	FTL	NA	15549	-0.1092105507850647	-0.037473727	Yes	
row_38	HHEX	NA	15561	-0.11802338808774948	0.0023778882	Yes	
