NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBZ	NA	59	0.3394026458263397	0.017812813	Yes	
row_1	NPHP1	NA	76	0.319612056016922	0.037142497	Yes	
row_2	ODF1	NA	143	0.2871147096157074	0.051171716	Yes	
row_3	MLF1	NA	152	0.28365007042884827	0.06872697	Yes	
row_4	CDK1	NA	381	0.24400575459003448	0.0695445	Yes	
row_5	TUBA3C	NA	425	0.23902185261249542	0.0819954	Yes	
row_6	CLVS1	NA	460	0.23582099378108978	0.09482375	Yes	
row_7	KIF2C	NA	505	0.23242849111557007	0.10678997	Yes	
row_8	MAP7	NA	728	0.21792744100093842	0.106333576	Yes	
row_9	TKTL1	NA	801	0.21415163576602936	0.115326546	Yes	
row_10	GAD1	NA	907	0.21008853614330292	0.12192886	Yes	
row_11	CDKN3	NA	1022	0.20553241670131683	0.1276595	Yes	
row_12	CLPB	NA	1054	0.20421826839447021	0.13866816	Yes	
row_13	SNAP91	NA	1087	0.20338672399520874	0.14955926	Yes	
row_14	TNNI3	NA	1114	0.20235735177993774	0.16077235	Yes	
row_15	AURKA	NA	1125	0.2019990235567093	0.17299622	Yes	
row_16	ZC2HC1C	NA	1172	0.20068450272083282	0.18281075	Yes	
row_17	ZPBP	NA	1227	0.198730930685997	0.19198401	Yes	
row_18	PARP2	NA	1325	0.19570909440517426	0.19818698	Yes	
row_19	ALOX15	NA	1475	0.19141042232513428	0.20075688	Yes	
row_20	NCAPH	NA	1611	0.18757225573062897	0.20398664	Yes	
row_21	PCSK4	NA	1663	0.18635797500610352	0.2125654	Yes	
row_22	NEK2	NA	1738	0.18480850756168365	0.21955964	Yes	
row_23	DMC1	NA	1742	0.18474578857421875	0.23113646	Yes	
row_24	PACRG	NA	2026	0.17831598222255707	0.22421576	Yes	
row_25	SCG3	NA	2046	0.17780521512031555	0.23431678	Yes	
row_26	GSTM3	NA	2098	0.1767103672027588	0.24228086	Yes	
row_27	CCT6B	NA	2201	0.17486299574375153	0.24683267	Yes	
row_28	CST8	NA	2269	0.17372791469097137	0.25357315	Yes	
