NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP2	NA	693	0.21995730698108673	0.014452039	No	
row_1	SMAD6	NA	928	0.20933377742767334	0.055567782	No	
row_2	LEFTY2	NA	2312	0.1729724258184433	0.013046993	No	
row_3	MAP3K7	NA	2509	0.16967737674713135	0.045966763	No	
row_4	ID1	NA	3403	0.156082883477211	0.030421885	No	
row_5	BMPR1A	NA	4257	0.1447870135307312	0.014418462	No	
row_6	LTBP2	NA	4525	0.1416597217321396	0.035256058	No	
row_7	SMURF1	NA	4589	0.1409856528043747	0.0690301	No	
row_8	WWTR1	NA	5618	0.12933392822742462	0.0376282	No	
row_9	XIAP	NA	5837	0.1269369274377823	0.057666548	No	
row_10	KLF10	NA	6019	0.12517784535884857	0.07961207	No	
row_11	PMEPA1	NA	6702	0.11784756183624268	0.06737645	No	
row_12	BCAR3	NA	8113	0.10258999466896057	0.004236681	No	
row_13	ID3	NA	8216	0.1014917865395546	0.024907215	No	
row_14	SERPINE1	NA	8328	0.10007952153682709	0.04462015	No	
row_15	SKIL	NA	9496	0.0877976268529892	-0.0068632537	No	
row_16	FURIN	NA	9871	0.08396382629871368	-0.008385	No	
row_17	SMAD1	NA	9914	0.08339393138885498	0.011288094	No	
row_18	BMPR2	NA	11130	0.0671791136264801	-0.04881346	No	
row_19	SKI	NA	11462	0.06295503675937653	-0.05320672	No	
row_20	SLC20A1	NA	12307	0.05014784634113312	-0.094022125	No	
row_21	PPP1R15A	NA	12308	0.050133801996707916	-0.080571756	No	
row_22	ID2	NA	12379	0.049029748886823654	-0.07191862	No	
row_23	TRIM33	NA	12441	0.04822761192917824	-0.06290199	No	
row_24	CTNNB1	NA	12452	0.04798917472362518	-0.050670005	No	
row_25	TGFBR1	NA	12572	0.04607521370053291	-0.045960262	No	
row_26	APC	NA	12713	0.04362199828028679	-0.043259	No	
row_27	NCOR2	NA	12719	0.04350297152996063	-0.031909112	No	
row_28	SMAD3	NA	12720	0.043495435267686844	-0.020239746	No	
row_29	CDH1	NA	12866	0.040699414908885956	-0.018644081	No	
row_30	FNTA	NA	12869	0.0406792014837265	-0.007858883	No	
row_31	UBE2D3	NA	13002	0.03837296739220619	-0.0060514747	No	
row_32	SMURF2	NA	13669	0.023478610441088676	-0.042576484	No	
row_33	ACVR1	NA	13750	0.021419495344161987	-0.041973893	No	
row_34	TGIF1	NA	13803	0.019977103918790817	-0.03995787	No	
row_35	FKBP1A	NA	13862	0.018610533326864243	-0.03869428	No	
row_36	ARID4B	NA	13937	0.016685625538229942	-0.038975935	No	
row_37	HDAC1	NA	14038	0.014408586546778679	-0.041540306	No	
row_38	RHOA	NA	14824	-0.014553703367710114	-0.08811152	No	
row_39	PPM1A	NA	14966	-0.022471822798252106	-0.09114893	No	
row_40	THBS1	NA	15175	-0.037334367632865906	-0.094506994	Yes	
row_41	ENG	NA	15252	-0.045146867632865906	-0.0872814	Yes	
row_42	CDK9	NA	15344	-0.05783180892467499	-0.07761707	Yes	
row_43	IFNGR2	NA	15406	-0.0692962035536766	-0.06294796	Yes	
row_44	TGFB1	NA	15480	-0.08727952092885971	-0.044225715	Yes	
row_45	PPP1CA	NA	15506	-0.09432786703109741	-0.020526055	Yes	
row_46	RAB31	NA	15516	-0.09831637889146805	0.0052724867	Yes	
