NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GEM	NA	195	0.2748942971229553	0.009390655	No	
row_1	AREG	NA	369	0.2452063113451004	0.017828068	No	
row_2	BMP2	NA	693	0.21995730698108673	0.014524381	No	
row_3	IL12B	NA	1090	0.20329859852790833	0.0051565026	No	
row_4	TNFSF9	NA	1566	0.18873555958271027	-0.010496391	No	
row_5	CCL2	NA	1692	0.1857679933309555	-0.0037113065	No	
row_6	HES1	NA	2111	0.1765250861644745	-0.016649587	No	
row_7	TUBB2A	NA	2227	0.17439723014831543	-0.0101276385	No	
row_8	EFNA1	NA	2279	0.17357301712036133	4.7469407E-4	No	
row_9	LAMB3	NA	2304	0.17309150099754333	0.012787719	No	
row_10	TRIP10	NA	2420	0.17107295989990234	0.019043328	No	
row_11	PLPP3	NA	2606	0.16758239269256592	0.02048413	No	
row_12	CCN1	NA	2740	0.1655428409576416	0.025130492	No	
row_13	IL23A	NA	3143	0.1595669835805893	0.011870149	No	
row_14	ZBTB10	NA	3188	0.15902866423130035	0.021760717	No	
row_15	EDN1	NA	3641	0.15302729606628418	0.0047370293	No	
row_16	JAG1	NA	4439	0.14271245896816254	-0.03546487	No	
row_17	TNFAIP6	NA	4612	0.1407897174358368	-0.035328433	No	
row_18	FOSL1	NA	4719	0.13941077888011932	-0.031026477	No	
row_19	RIPK2	NA	4734	0.13924351334571838	-0.020777443	No	
row_20	PTX3	NA	4821	0.13824601471424103	-0.015273051	No	
row_21	SERPINB2	NA	4840	0.13806556165218353	-0.0053775455	No	
row_22	ACKR3	NA	4895	0.13734081387519836	0.0021275324	No	
row_23	RELB	NA	5007	0.13615339994430542	0.0058445707	No	
row_24	ABCA1	NA	5100	0.13509602844715118	0.010707862	No	
row_25	F2RL1	NA	5413	0.13164952397346497	0.0010417022	No	
row_26	KLF10	NA	6019	0.12517784535884857	-0.028125795	No	
row_27	INHBA	NA	6022	0.12514279782772064	-0.018229043	No	
row_28	NR4A3	NA	6331	0.1219589039683342	-0.028412456	No	
row_29	SDC4	NA	6344	0.12181194871664047	-0.019430447	No	
row_30	GADD45A	NA	6345	0.12180247902870178	-0.009671744	No	
row_31	LIF	NA	6452	0.12062977999448776	-0.0068745045	No	
row_32	SERPINB8	NA	6474	0.12033023685216904	0.0014056998	No	
row_33	CD83	NA	6508	0.12006400525569916	0.0088871205	No	
row_34	PHLDA1	NA	6639	0.1185007244348526	0.0099588735	No	
row_35	ZC3H12A	NA	6691	0.11793806403875351	0.016103785	No	
row_36	PMEPA1	NA	6702	0.11784756183624268	0.024897745	No	
row_37	TNC	NA	6841	0.11639074981212616	0.025282146	No	
row_38	DNAJB4	NA	6987	0.11473521590232849	0.025080394	No	
row_39	DRAM1	NA	7169	0.11288710683584213	0.02239821	No	
row_40	IFIH1	NA	7266	0.11191876977682114	0.02514541	No	
row_41	CSF2	NA	7592	0.10836716741323471	0.012771646	No	
row_42	MSC	NA	7669	0.10746311396360397	0.016457617	No	
row_43	GFPT2	NA	7783	0.10610637813806534	0.01763774	No	
row_44	CCL20	NA	7870	0.10518459975719452	0.020493282	No	
row_45	TNFRSF9	NA	7894	0.10491527616977692	0.027408877	No	
row_46	SERPINE1	NA	8328	0.10007952153682709	0.0073740324	No	
row_47	F3	NA	8482	0.09858126938343048	0.005359737	No	
row_48	MAFF	NA	8488	0.0985543355345726	0.0129318815	No	
row_49	CD80	NA	8522	0.09831201285123825	0.018670551	No	
row_50	MARCKS	NA	8597	0.09757183492183685	0.021693619	No	
row_51	CXCL3	NA	8602	0.0974888950586319	0.029245188	No	
row_52	LDLR	NA	8695	0.09663049876689911	0.031026658	No	
row_53	TSC22D1	NA	9258	0.09072010964155197	0.0018843149	No	
row_54	RNF19B	NA	9445	0.0884147509932518	-0.0030825103	No	
row_55	NFKBIE	NA	9555	0.08707953989505768	-0.0031676497	No	
row_56	PHLDA2	NA	9631	0.08638343214988708	-0.0011057744	No	
row_57	TRIB1	NA	9782	0.08490642160177231	-0.0040213224	No	
row_58	BCL3	NA	9917	0.0833473801612854	-0.0060251737	No	
row_59	OLR1	NA	10126	0.0805324986577034	-0.01304885	No	
row_60	TNIP2	NA	10210	0.07946007698774338	-0.01205997	No	
row_61	BCL6	NA	10292	0.07845462113618851	-0.01102207	No	
row_62	PLAU	NA	10329	0.07800527662038803	-0.007104721	No	
row_63	IFIT2	NA	10414	0.07697010040283203	-0.006380124	No	
row_64	IL6	NA	10453	0.07650534808635712	-0.0027125224	No	
row_65	CXCL11	NA	10609	0.07461502403020859	-0.006776547	No	
row_66	KLF2	NA	10706	0.07312169671058655	-0.0071377335	No	
row_67	CXCL2	NA	10708	0.07311539351940155	-0.0013445831	No	
row_68	SPHK1	NA	10817	0.07160259783267975	-0.0026049328	No	
row_69	DENND5A	NA	10868	0.07090507447719574	-1.6347399E-4	No	
row_70	BIRC3	NA	10878	0.07081135362386703	0.0049267765	No	
row_71	BTG1	NA	10919	0.07019014656543732	0.007958834	No	
row_72	KLF9	NA	10921	0.07016318291425705	0.013515457	No	
row_73	IL1A	NA	10937	0.06984606385231018	0.018139642	No	
row_74	CXCL6	NA	11012	0.06892610341310501	0.01886764	No	
row_75	FOSL2	NA	11194	0.06648514419794083	0.012467773	No	
row_76	TIPARP	NA	11275	0.06533534079790115	0.012519355	No	
row_77	CCND1	NA	11350	0.06438781321048737	0.012883749	No	
row_78	CDKN1A	NA	11412	0.06355223059654236	0.014023439	No	
row_79	BHLHE40	NA	11437	0.06334183365106583	0.017543422	No	
row_80	IRS2	NA	11513	0.062231846153736115	0.017670294	No	
row_81	PANX1	NA	11564	0.061453480273485184	0.0193545	No	
row_82	KDM6B	NA	11569	0.06139117106795311	0.024013953	No	
row_83	EGR2	NA	11570	0.0613887719810009	0.028932365	No	
row_84	YRDC	NA	11719	0.05943198502063751	0.024105404	No	
row_85	B4GALT5	NA	11809	0.058107875287532806	0.022994839	No	
row_86	PDLIM5	NA	12073	0.05375497043132782	0.010262441	No	
row_87	SLC16A6	NA	12104	0.05336352437734604	0.0125942435	No	
row_88	EHD1	NA	12231	0.05152745172381401	0.008559311	No	
row_89	MCL1	NA	12295	0.050351060926914215	0.008511759	No	
row_90	PPP1R15A	NA	12308	0.050133801996707916	0.011750979	No	
row_91	TNFAIP3	NA	12332	0.0497320331633091	0.014245344	No	
row_92	ID2	NA	12379	0.049029748886823654	0.015193324	No	
row_93	GADD45B	NA	12448	0.048042766749858856	0.014636895	No	
row_94	EIF1	NA	12465	0.047822605818510056	0.017431792	No	
row_95	PER1	NA	12483	0.047450825572013855	0.020132117	No	
row_96	SMAD3	NA	12720	0.043495435267686844	0.008327005	No	
row_97	NR4A2	NA	12775	0.04220805689692497	0.008210135	No	
row_98	GCH1	NA	12817	0.0415421761572361	0.008882155	No	
row_99	MYC	NA	12870	0.04066522791981697	0.008771249	No	
row_100	NFKB1	NA	12882	0.040485117584466934	0.011302214	No	
row_101	ETS2	NA	12919	0.03977713733911514	0.01215676	No	
row_102	CCNL1	NA	12934	0.03963779658079147	0.014425475	No	
row_103	SPSB1	NA	12966	0.03901197016239166	0.015542656	No	
row_104	TANK	NA	12992	0.03850983455777168	0.017008333	No	
row_105	PLK2	NA	13015	0.03813992813229561	0.018638737	No	
row_106	CSF1	NA	13167	0.034553226083517075	0.01162415	No	
row_107	SLC2A6	NA	13204	0.033802323043346405	0.011999999	No	
row_108	IL7R	NA	13216	0.03360439091920853	0.013979686	No	
row_109	NFIL3	NA	13223	0.03354763984680176	0.016278766	No	
row_110	RCAN1	NA	13247	0.033117230981588364	0.017441968	No	
row_111	NFKB2	NA	13274	0.03253842890262604	0.018364433	No	
row_112	CLCF1	NA	13296	0.0322435237467289	0.019587211	No	
row_113	FOSB	NA	13442	0.028795961290597916	0.012500084	No	
row_114	IL6ST	NA	13582	0.025757476687431335	0.0055582426	No	
row_115	SQSTM1	NA	13588	0.025442611426115036	0.007272742	No	
row_116	ATP2B1	NA	13690	0.02301076427102089	0.0025727737	No	
row_117	ICAM1	NA	13703	0.022712429985404015	0.003615019	No	
row_118	CXCL10	NA	13746	0.02149404212832451	0.0026160136	No	
row_119	TGIF1	NA	13803	0.019977103918790817	5.884431E-4	No	
row_120	NAMPT	NA	13980	0.01578102819621563	-0.0095498515	No	
row_121	ATF3	NA	13997	0.015250220894813538	-0.009364623	No	
row_122	B4GALT1	NA	14070	0.013524615205824375	-0.012945766	No	
row_123	TRAF1	NA	14089	0.012802131474018097	-0.013086252	No	
row_124	TNFAIP2	NA	14122	0.011740338988602161	-0.014218836	No	
row_125	SLC2A3	NA	14171	0.010217094793915749	-0.016510068	No	
row_126	CXCL1	NA	14347	0.00476854806765914	-0.027465884	No	
row_127	TNIP1	NA	14375	0.003811537055298686	-0.028909778	No	
row_128	SAT1	NA	14513	-8.572416263632476E-4	-0.03771703	No	
row_129	IL15RA	NA	14531	-0.0014017382636666298	-0.038706116	No	
row_130	PTGS2	NA	14574	-0.003130911849439144	-0.041176356	No	
row_131	PLAUR	NA	14582	-0.0036908520851284266	-0.041334163	No	
row_132	STAT5A	NA	14620	-0.0049190828576684	-0.0433372	No	
row_133	CD69	NA	14623	-0.00499108387157321	-0.043066896	No	
row_134	MAP3K8	NA	14681	-0.007499552797526121	-0.046158943	No	
row_135	KLF6	NA	14692	-0.007980253547430038	-0.046167452	No	
row_136	BIRC2	NA	14742	-0.010342427529394627	-0.04851343	No	
row_137	EGR1	NA	14776	-0.011828397400677204	-0.049703747	No	
row_138	SGK1	NA	14793	-0.012556609697639942	-0.049734328	No	
row_139	RELA	NA	14865	-0.016479868441820145	-0.05301391	No	
row_140	IER2	NA	14874	-0.016961470246315002	-0.052173276	No	
row_141	NFAT5	NA	14944	-0.021170372143387794	-0.054947484	No	
row_142	IL18	NA	14953	-0.02170376293361187	-0.0537269	No	
