NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP16	NA	93	0.3108113408088684	0.017379088	Yes	
row_1	SDC2	NA	106	0.3047654926776886	0.03953846	Yes	
row_2	MET	NA	357	0.24664650857448578	0.041941497	Yes	
row_3	CAP2	NA	358	0.2466086596250534	0.060499903	Yes	
row_4	RND3	NA	394	0.24276326596736908	0.07650678	Yes	
row_5	IGFBP5	NA	547	0.2289642095565796	0.08391316	Yes	
row_6	HAS2	NA	581	0.2265159636735916	0.09882662	Yes	
row_7	COL1A2	NA	699	0.21946775913238525	0.1077805	Yes	
row_8	SNAI2	NA	1463	0.19165371358394623	0.07288841	Yes	
row_9	CACNA1A	NA	1596	0.18790829181671143	0.07849781	Yes	
row_10	ADGRL2	NA	1695	0.18569746613502502	0.08613836	Yes	
row_11	ATRX	NA	1732	0.1849730759859085	0.09773163	Yes	
row_12	APBB2	NA	1771	0.18407854437828064	0.10912831	Yes	
row_13	GCNT1	NA	1882	0.18153704702854156	0.11568017	Yes	
row_14	MAP1B	NA	1883	0.1815369725227356	0.12934165	Yes	
row_15	BDNF	NA	2108	0.17660173773765564	0.12815395	Yes	
row_16	CDC42BPA	NA	2235	0.17419417202472687	0.13311909	Yes	
row_17	RGS4	NA	2239	0.17414596676826477	0.14603046	Yes	
row_18	CDON	NA	2551	0.16883280873298645	0.13863505	Yes	
row_19	ERBB2	NA	2571	0.16843557357788086	0.15008257	Yes	
row_20	PLPP3	NA	2606	0.16758239269256592	0.16049637	Yes	
row_21	SCN8A	NA	2648	0.16689468920230865	0.170406	Yes	
row_22	ACVR2A	NA	2668	0.16667325794696808	0.18172088	Yes	
row_23	CCN1	NA	2740	0.1655428409576416	0.1895898	Yes	
row_24	EFEMP1	NA	2765	0.16524885594844818	0.20047432	Yes	
row_25	SCHIP1	NA	2775	0.16512629389762878	0.21231912	Yes	
row_26	COL11A1	NA	2839	0.1641012728214264	0.2205966	Yes	
row_27	COL1A1	NA	2851	0.16387256979942322	0.23221779	Yes	
row_28	KCNMA1	NA	3090	0.16040225327014923	0.22890614	Yes	
row_29	ID1	NA	3403	0.156082883477211	0.22048663	Yes	
row_30	LAMC1	NA	3509	0.1546499878168106	0.22533828	Yes	
row_31	IRS1	NA	3704	0.15191206336021423	0.22423156	Yes	
row_32	NR1D2	NA	3741	0.1513848602771759	0.23329717	Yes	
row_33	ICA1	NA	4222	0.14518453180789948	0.21319917	Yes	
row_34	AGGF1	NA	4227	0.14514464139938354	0.22386342	Yes	
