NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A12	NA	31	0.37551769614219666	0.028628886	Yes	
row_1	CTSV	NA	319	0.25023260712623596	0.030487288	Yes	
row_2	E2F5	NA	333	0.24877740442752838	0.04994097	Yes	
row_3	ATP6V1C1	NA	390	0.24296510219573975	0.06614058	Yes	
row_4	EPCAM	NA	422	0.23914028704166412	0.08364442	Yes	
row_5	CYB5B	NA	442	0.23735085129737854	0.101778075	Yes	
row_6	FGF18	NA	586	0.2261970043182373	0.1109853	Yes	
row_7	TACR3	NA	684	0.22024841606616974	0.122681156	Yes	
row_8	BMP2	NA	693	0.21995730698108673	0.14010708	Yes	
row_9	ONECUT1	NA	821	0.2134561538696289	0.14930935	Yes	
row_10	MSX1	NA	1059	0.2040705531835556	0.15063456	Yes	
row_11	LHX2	NA	1070	0.2036558985710144	0.16660137	Yes	
row_12	NPTX2	NA	1133	0.20181038975715637	0.17905587	Yes	
row_13	MMP14	NA	1207	0.19932574033737183	0.19059654	Yes	
row_14	PARP2	NA	1325	0.19570909440517426	0.19899759	Yes	
row_15	PDLIM3	NA	1635	0.18706193566322327	0.19428053	Yes	
row_16	NTRK3	NA	1860	0.18188321590423584	0.19463623	Yes	
row_17	CYP1A1	NA	1905	0.18108581006526947	0.2065638	Yes	
row_18	CDKN2B	NA	1955	0.17987017333507538	0.21806896	Yes	
row_19	MAOA	NA	1994	0.1788758486509323	0.23020415	Yes	
row_20	CHRNA5	NA	2038	0.17800556123256683	0.2419451	Yes	
row_21	HSPA2	NA	2406	0.17122721672058105	0.23218663	Yes	
row_22	PTPRD	NA	2466	0.17016483843326569	0.24225359	Yes	
row_23	DLG4	NA	2592	0.16787296533584595	0.24786669	Yes	
row_24	SULT1A1	NA	2658	0.16677968204021454	0.2572696	Yes	
row_25	RFC4	NA	2757	0.16534729301929474	0.2644222	Yes	
row_26	KCNH2	NA	2759	0.1653430312871933	0.2778455	Yes	
row_27	DGAT1	NA	3194	0.1589294970035553	0.26275232	No	
row_28	PRPF3	NA	3413	0.15595126152038574	0.2613805	No	
row_29	FMO1	NA	3739	0.15141764283180237	0.25272134	No	
row_30	GGH	NA	4009	0.14777939021587372	0.24738577	No	
row_31	SLC6A8	NA	4069	0.14702485501766205	0.25556505	No	
row_32	SPR	NA	4797	0.13862675428390503	0.21987334	No	
row_33	POLG2	NA	4803	0.1385689377784729	0.23085392	No	
row_34	SLC25A4	NA	4870	0.13769525289535522	0.2378196	No	
row_35	NKX2-5	NA	5191	0.1340036243200302	0.22806312	No	
row_36	ATP6V1F	NA	5411	0.13167667388916016	0.22464645	No	
row_37	YKT6	NA	5931	0.12593652307987213	0.20136663	No	
row_38	ALAS1	NA	6004	0.1253579705953598	0.206938	No	
row_39	MAPK8IP2	NA	6051	0.12484221905469894	0.21414818	No	
row_40	HSPA13	NA	6111	0.12417284399271011	0.2204633	No	
row_41	IGFBP2	NA	6169	0.12353694438934326	0.22685586	No	
row_42	CCK	NA	6509	0.12005408108234406	0.21473311	No	
row_43	UROD	NA	6550	0.11952103674411774	0.22189711	No	
row_44	FEN1	NA	6594	0.11915196478366852	0.22883706	No	
row_45	COL2A1	NA	6740	0.11745095252990723	0.22904398	No	
row_46	PLCL1	NA	7217	0.11239463090896606	0.20743941	No	
row_47	SELENOW	NA	7607	0.10812699794769287	0.19111122	No	
row_48	OLFM1	NA	7656	0.10760805010795593	0.19678621	No	
row_49	DNAJA1	NA	8004	0.10375307500362396	0.1828165	No	
row_50	NUP58	NA	8060	0.10316389054059982	0.18767641	No	
row_51	CLCN2	NA	8256	0.100989431142807	0.183308	No	
row_52	FKBP4	NA	8318	0.10017623007297516	0.1875363	No	
row_53	SHOX2	NA	8387	0.09948151558637619	0.19125538	No	
row_54	GAL	NA	8519	0.09832172095775604	0.19080693	No	
row_55	CA2	NA	8968	0.09374581277370453	0.16949126	No	
row_56	AGO2	NA	9068	0.09265001118183136	0.17064892	No	
row_57	CYB5R1	NA	9099	0.09236235916614532	0.17624393	No	
