NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A7	NA	58	0.33966055512428284	0.044493414	Yes	
row_1	KRT16	NA	117	0.29591619968414307	0.08277616	Yes	
row_2	PDPN	NA	446	0.23668991029262543	0.09528459	Yes	
row_3	PTPRZ1	NA	562	0.2281786948442459	0.12028414	Yes	
row_4	MMP10	NA	854	0.2122732698917389	0.13170572	Yes	
row_5	TP63	NA	1272	0.19746285676956177	0.13292062	Yes	
row_6	TRIM29	NA	1306	0.19612838327884674	0.15864377	Yes	
row_7	GPX2	NA	1343	0.1948128640651703	0.1839872	Yes	
row_8	FLRT3	NA	1391	0.19325608015060425	0.20840211	Yes	
row_9	S100A2	NA	1406	0.1929653435945511	0.23489821	Yes	
row_10	GJB5	NA	1478	0.19131368398666382	0.25749373	Yes	
row_11	MFAP5	NA	1509	0.19047343730926514	0.282607	Yes	
row_12	DST	NA	1653	0.1866777539253235	0.2999135	Yes	
row_13	P3H2	NA	1691	0.18580842018127441	0.3239142	Yes	
row_14	CLCA2	NA	1725	0.18515223264694214	0.348079	Yes	
row_15	SLPI	NA	1888	0.1813839077949524	0.36341187	Yes	
row_16	SDC1	NA	2206	0.17482790350914001	0.36784485	Yes	
row_17	POSTN	NA	2443	0.1706438660621643	0.37689346	Yes	
row_18	PI3	NA	2908	0.16305895149707794	0.37020093	Yes	
row_19	KRT75	NA	2980	0.16188497841358185	0.3886183	Yes	
row_20	LGALS7	NA	3151	0.15946337580680847	0.40032443	Yes	
row_21	NDRG1	NA	3196	0.1589239537715912	0.42005795	Yes	
row_22	HTRA1	NA	4181	0.14567582309246063	0.3774526	No	
row_23	JAG1	NA	4439	0.14271245896816254	0.38118497	No	
row_24	KRT6A	NA	4485	0.14214034378528595	0.39847127	No	
row_25	DSC3	NA	4746	0.13912276923656464	0.40150103	No	
row_26	SPRR1B	NA	4907	0.13721761107444763	0.41069198	No	
row_27	RHCG	NA	6024	0.12512095272541046	0.3566785	No	
row_28	FABP5	NA	6347	0.12179350107908249	0.35326022	No	
row_29	SLC39A6	NA	6760	0.11723138391971588	0.34340575	No	
row_30	CXCL14	NA	6859	0.11623582988977432	0.35360542	No	
row_31	CA12	NA	7200	0.1125447228550911	0.34771636	No	
row_32	DSG1	NA	7723	0.10679753124713898	0.32930565	No	
row_33	PTGES	NA	8386	0.099504753947258	0.30085516	No	
row_34	PKP1	NA	8460	0.09875788539648056	0.31018132	No	
row_35	IVL	NA	8603	0.09747254848480225	0.3148871	No	
row_36	PTHLH	NA	8857	0.09486394375562668	0.31208336	No	
row_37	FEZ1	NA	9425	0.08861290663480759	0.2881966	No	
row_38	SERPINE2	NA	10488	0.07609691470861435	0.23069596	No	
row_39	NSG1	NA	10808	0.07177786529064178	0.22036962	No	
row_40	IL1A	NA	10937	0.06984606385231018	0.22205354	No	
row_41	S100P	NA	11093	0.06787709891796112	0.22172137	No	
row_42	GJA1	NA	11193	0.06649921834468842	0.22479531	No	
row_43	AKR1C1	NA	11654	0.06035358086228371	0.2037783	No	
row_44	AMIGO2	NA	12783	0.04202780872583389	0.13719574	No	
row_45	ITGA6	NA	13110	0.03571118786931038	0.12129855	No	
row_46	S100A9	NA	15176	-0.03742280974984169	-0.0062027997	No	
row_47	AQP3	NA	15227	-0.04247784614562988	-0.0033877937	No	
row_48	S100A8	NA	15309	-0.054127007722854614	-9.1270666E-4	No	
row_49	CSTA	NA	15333	-0.05683274567127228	0.005676915	No	
row_50	IL1B	NA	15450	-0.07960880547761917	0.009518724	No	
