NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID4	NA	60	0.3377743661403656	0.0036538984	Yes	
row_1	NTF3	NA	104	0.305362731218338	0.0076966807	Yes	
row_2	KRT16	NA	117	0.29591619968414307	0.013565972	Yes	
row_3	COL17A1	NA	156	0.283027708530426	0.017435063	Yes	
row_4	CRISPLD1	NA	186	0.27577725052833557	0.021732993	Yes	
row_5	GEM	NA	195	0.2748942971229553	0.027392361	Yes	
row_6	KRT14	NA	309	0.2509981691837311	0.025607497	Yes	
row_7	PCDH18	NA	324	0.24977338314056396	0.030306945	Yes	
row_8	RND3	NA	394	0.24276326596736908	0.031230945	Yes	
row_9	PDPN	NA	446	0.23668991029262543	0.033202264	Yes	
row_10	MYH11	NA	453	0.23628368973731995	0.038124382	Yes	
row_11	HAS2	NA	581	0.2265159636735916	0.034867756	Yes	
row_12	SORCS1	NA	634	0.22366033494472504	0.03648011	Yes	
row_13	PCDH19	NA	687	0.22016386687755585	0.038013786	Yes	
row_14	TRIM9	NA	754	0.21651272475719452	0.03854444	Yes	
row_15	LAMA3	NA	765	0.21611540019512177	0.04274963	Yes	
row_16	ADAMTS2	NA	770	0.21587494015693665	0.04734407	Yes	
row_17	AXL	NA	781	0.21528387069702148	0.05153055	Yes	
row_18	MATN2	NA	825	0.21323129534721375	0.053500224	Yes	
row_19	HSPG2	NA	902	0.21025444567203522	0.053232286	Yes	
row_20	MSX1	NA	1059	0.2040705531835556	0.047563083	Yes	
row_21	FERMT2	NA	1124	0.20204423367977142	0.04789972	Yes	
row_22	NPTX2	NA	1133	0.20181038975715637	0.05191458	Yes	
row_23	VSNL1	NA	1139	0.2016468644142151	0.05612309	Yes	
row_24	SLC27A6	NA	1141	0.2016284018754959	0.06059429	Yes	
row_25	SULF1	NA	1165	0.2008897364139557	0.063601784	Yes	
row_26	TNS4	NA	1249	0.1979476660490036	0.06259649	Yes	
row_27	TP63	NA	1272	0.19746285676956177	0.065592654	Yes	
row_28	RNF165	NA	1292	0.19666144251823425	0.06876811	Yes	
row_29	TRIM29	NA	1306	0.19612838327884674	0.07232623	Yes	
row_30	BMP7	NA	1377	0.19382688403129578	0.0720833	Yes	
row_31	IL17B	NA	1378	0.1937538981437683	0.07644309	Yes	
row_32	GNAI1	NA	1396	0.1931917518377304	0.07967203	Yes	
row_33	TMEM47	NA	1436	0.19219112396240234	0.08143137	Yes	
row_34	SNAI2	NA	1463	0.19165371358394623	0.084033705	Yes	
row_35	RARB	NA	1497	0.19088350236415863	0.08615828	Yes	
row_36	TTL	NA	1517	0.19011932611465454	0.08918653	Yes	
row_37	ENPP2	NA	1519	0.19007886946201324	0.09339785	Yes	
row_38	MMP2	NA	1573	0.18841040134429932	0.09415124	Yes	
row_39	DST	NA	1653	0.1866777539253235	0.09315546	Yes	
row_40	CRYAB	NA	1724	0.1851678341627121	0.09271769	Yes	
row_41	IL17RD	NA	1746	0.18469123542308807	0.095492244	Yes	
row_42	ETV5	NA	1806	0.18334805965423584	0.09573707	Yes	
row_43	LRCH2	NA	1842	0.1823180764913559	0.09753735	Yes	
row_44	SYNM	NA	1847	0.18211111426353455	0.101372056	Yes	
row_45	EXT1	NA	1945	0.1801663190126419	0.099045776	Yes	
row_46	TRO	NA	1977	0.17938999831676483	0.101043284	Yes	
row_47	JAM2	NA	2019	0.1784105747938156	0.10236098	Yes	
row_48	SOBP	NA	2055	0.17756052315235138	0.10405421	Yes	
row_49	RHOJ	NA	2072	0.17722944915294647	0.10698975	Yes	
row_50	TOX	NA	2156	0.17573335766792297	0.10548459	Yes	
row_51	PLS3	NA	2197	0.17499685287475586	0.10679126	Yes	
row_52	COL4A1	NA	2217	0.1746509075164795	0.10947144	Yes	
row_53	SLIT3	NA	2267	0.1737319976091385	0.11015765	Yes	
row_54	PARD6G	NA	2293	0.17336317896842957	0.1124142	Yes	
row_55	LAMB3	NA	2304	0.17309150099754333	0.11565129	Yes	
row_56	GPC3	NA	2385	0.171587273478508	0.11425017	Yes	
row_57	SPRED1	NA	2389	0.17152352631092072	0.117912404	Yes	
row_58	LAMA1	NA	2410	0.1711573600769043	0.1204482	Yes	
row_59	PSD2	NA	2421	0.1710503101348877	0.12363935	Yes	
row_60	TSHZ2	NA	2422	0.17104025185108185	0.12748805	Yes	
row_61	POSTN	NA	2443	0.1706438660621643	0.13001229	Yes	
row_62	TIMP3	NA	2463	0.17026764154434204	0.13259384	Yes	
row_63	KRT5	NA	2489	0.1699075996875763	0.13477263	Yes	
row_64	NRP2	NA	2520	0.16952653229236603	0.13661397	Yes	
row_65	RCN3	NA	2553	0.16874347627162933	0.13830613	Yes	
row_66	OSBPL6	NA	2622	0.16735422611236572	0.13759908	Yes	
row_67	COL14A1	NA	2633	0.16710063815116882	0.14070135	Yes	
row_68	SCN4B	NA	2638	0.1670619398355484	0.14419742	Yes	
row_69	ARHGEF25	NA	2640	0.16702023148536682	0.14788988	Yes	
row_70	ACVR2A	NA	2668	0.16667325794696808	0.14986435	Yes	
row_71	SEMA5A	NA	2677	0.1665288358926773	0.1530853	Yes	
row_72	AGPAT4	NA	2703	0.16611726582050323	0.15517882	Yes	
row_73	FBLN1	NA	2735	0.1657741367816925	0.15686993	Yes	
row_74	SCHIP1	NA	2775	0.16512629389762878	0.15802027	Yes	
row_75	GJC1	NA	2826	0.16434520483016968	0.15842949	Yes	
row_76	SLIT2	NA	2858	0.16377590596675873	0.16007565	Yes	
row_77	HGFAC	NA	2861	0.16372895240783691	0.16362827	Yes	
row_78	SORBS1	NA	2943	0.16254711151123047	0.16195796	Yes	
row_79	KRT75	NA	2980	0.16188497841358185	0.16323268	Yes	
row_80	PAMR1	NA	3074	0.16073077917099	0.16073218	Yes	
row_81	NGF	NA	3077	0.16068591177463531	0.16421634	Yes	
row_82	KCNMA1	NA	3090	0.16040225327014923	0.16703634	Yes	
row_83	SYDE1	NA	3100	0.16027700901031494	0.17005084	Yes	
row_84	LGALS7	NA	3151	0.15946337580680847	0.17035021	Yes	
row_85	SLC4A3	NA	3210	0.15866439044475555	0.1701054	Yes	
row_86	EPHB1	NA	3247	0.1582011729478836	0.17129722	Yes	
row_87	TRPC1	NA	3276	0.15771758556365967	0.17300439	Yes	
row_88	MPDZ	NA	3278	0.15766264498233795	0.1764863	Yes	
row_89	LIFR	NA	3295	0.15748997032642365	0.17897765	Yes	
row_90	STXBP4	NA	3313	0.15730459988117218	0.18139908	Yes	
row_91	STAC2	NA	3369	0.15652161836624146	0.18130337	Yes	
row_92	ERF	NA	3372	0.15646801888942719	0.1846926	Yes	
row_93	MYOCD	NA	3423	0.15584124624729156	0.18491046	Yes	
row_94	TBX2	NA	3497	0.1548222303390503	0.18359254	Yes	
row_95	LAMC1	NA	3509	0.1546499878168106	0.18634889	Yes	
row_96	SGCB	NA	3537	0.15426531434059143	0.18804415	Yes	
row_97	CLIP3	NA	3538	0.15426228940486908	0.19151531	Yes	
row_98	WIF1	NA	3554	0.1541207730770111	0.19399664	Yes	
row_99	IL24	NA	3637	0.15308699011802673	0.19204767	Yes	
row_100	NLGN2	NA	3687	0.1521984189748764	0.19224934	Yes	
row_101	CCDC3	NA	3726	0.1516575962305069	0.19316238	Yes	
row_102	NNAT	NA	3765	0.15105009078979492	0.19406176	Yes	
row_103	ACTG2	NA	3827	0.15020626783370972	0.19342929	Yes	
row_104	KLHL29	NA	3859	0.14980871975421906	0.19476116	Yes	
row_105	ANTXR1	NA	3882	0.14944738149642944	0.1966769	Yes	
row_106	LAMB1	NA	3906	0.14918941259384155	0.19852105	Yes	
row_107	PHLDB1	NA	3911	0.14912904798984528	0.20161359	Yes	
row_108	PCOLCE	NA	3948	0.1486678570508957	0.20259091	Yes	
row_109	VIT	NA	3964	0.14840517938137054	0.20494363	Yes	
row_110	ABI3BP	NA	3968	0.14836768805980682	0.20808482	Yes	
row_111	KANK4	NA	3993	0.14803136885166168	0.20983714	Yes	
row_112	NTRK2	NA	3997	0.14797616004943848	0.21296953	Yes	
row_113	JAM3	NA	4015	0.14766854047775269	0.21517411	Yes	
row_114	SLC6A8	NA	4069	0.14702485501766205	0.21499626	Yes	
row_115	MEST	NA	4083	0.14689287543296814	0.2174465	Yes	
row_116	HS3ST3A1	NA	4090	0.1468212753534317	0.22035557	Yes	
row_117	BVES	NA	4091	0.14680235087871552	0.22365886	Yes	
row_118	MCAM	NA	4098	0.14671070873737335	0.22656544	Yes	
row_119	STAC	NA	4148	0.14607974886894226	0.22662944	Yes	
row_120	HTRA1	NA	4181	0.14567582309246063	0.22780253	Yes	
row_121	PRX	NA	4237	0.14503486454486847	0.22744836	Yes	
row_122	PKNOX2	NA	4321	0.14401423931121826	0.22522947	Yes	
row_123	LCA5	NA	4354	0.14357081055641174	0.22635521	Yes	
row_124	EBF3	NA	4383	0.14327645301818848	0.22773743	Yes	
row_125	SLC1A3	NA	4398	0.14317366480827332	0.2300382	Yes	
row_126	FLRT2	NA	4425	0.14283870160579681	0.23154211	Yes	
row_127	JAG1	NA	4439	0.14271245896816254	0.2338983	Yes	
row_128	PRICKLE2	NA	4501	0.14196085929870605	0.23308028	Yes	
row_129	NBL1	NA	4506	0.14192239940166473	0.23601067	Yes	
row_130	LIMA1	NA	4520	0.14170575141906738	0.23834419	Yes	
row_131	PRRX1	NA	4530	0.14164218306541443	0.2409394	Yes	
row_132	NRCAM	NA	4565	0.14120474457740784	0.24188033	Yes	
row_133	EPAS1	NA	4572	0.14113068580627441	0.24466135	Yes	
row_134	MSRB3	NA	4608	0.14080549776554108	0.24552754	Yes	
row_135	TCF7L1	NA	4744	0.13915051519870758	0.23977882	Yes	
row_136	CDH13	NA	4790	0.1386575996875763	0.2399389	Yes	
row_137	FST	NA	4841	0.13805514574050903	0.23975655	Yes	
row_138	RASIP1	NA	4855	0.1378973126411438	0.24200438	Yes	
row_139	TMEM121	NA	4859	0.1378573775291443	0.24490908	Yes	
row_140	SLC25A4	NA	4870	0.13769525289535522	0.24734968	Yes	
row_141	AHI1	NA	4887	0.13740278780460358	0.24938905	Yes	
row_142	SGIP1	NA	4910	0.13718222081661224	0.2510288	Yes	
row_143	TCF4	NA	4919	0.13707247376441956	0.25358695	Yes	
row_144	ARC	NA	4975	0.13654202222824097	0.25304165	Yes	
row_145	GPR87	NA	4976	0.13653630018234253	0.25611395	Yes	
row_146	HSPB2	NA	5032	0.13584613800048828	0.255553	Yes	
row_147	CALD1	NA	5046	0.13565506041049957	0.2577504	Yes	
row_148	SCML2	NA	5117	0.1347837895154953	0.2561789	Yes	
row_149	ZNF423	NA	5122	0.1347065418958664	0.2589469	Yes	
row_150	COL4A2	NA	5177	0.13416199386119843	0.25841385	Yes	
row_151	PGF	NA	5188	0.13404498994350433	0.26077232	Yes	
row_152	FMOD	NA	5225	0.1335793286561966	0.26141012	Yes	
row_153	LRP4	NA	5280	0.13305045664310455	0.26085204	Yes	
row_154	RECK	NA	5323	0.1326252669095993	0.26107374	Yes	
row_155	ELOVL4	NA	5385	0.13195215165615082	0.2600305	Yes	
row_156	DCHS1	NA	5468	0.13110558688640594	0.25758693	Yes	
row_157	ANGPTL2	NA	5498	0.13073576986789703	0.2586212	Yes	
row_158	PEG3	NA	5516	0.13055244088172913	0.26044062	Yes	
row_159	THSD1	NA	5527	0.13041137158870697	0.26271734	Yes	
row_160	MME	NA	5590	0.12960942089557648	0.2615556	Yes	
row_161	PHLDA3	NA	5621	0.12930260598659515	0.26249185	Yes	
row_162	DLK2	NA	5639	0.12913104891777039	0.2642793	Yes	
row_163	SEMA3C	NA	5715	0.1283590942621231	0.2622344	Yes	
row_164	TPST1	NA	5747	0.12794701755046844	0.26307434	Yes	
row_165	SCARF2	NA	5783	0.1274808645248413	0.26364067	Yes	
row_166	ZNF219	NA	5804	0.12727336585521698	0.26518902	Yes	
row_167	FAM184A	NA	5805	0.12726125121116638	0.2680526	Yes	
row_168	CNN1	NA	5810	0.1272159069776535	0.2706521	Yes	
row_169	DCBLD2	NA	5852	0.12677830457687378	0.27080795	Yes	
row_170	UCN2	NA	5854	0.12676404416561127	0.2735946	Yes	
row_171	QRICH2	NA	5911	0.1261710673570633	0.27275017	Yes	
row_172	ARHGAP20	NA	5919	0.1260865181684494	0.27512687	Yes	
row_173	ANKRD1	NA	5923	0.12604336440563202	0.27776575	Yes	
row_174	ACER2	NA	5935	0.12587794661521912	0.27987465	Yes	
row_175	OXTR	NA	5954	0.1256737858057022	0.28151855	Yes	
row_176	ASPHD2	NA	5968	0.12557408213615417	0.28348908	Yes	
row_177	APOE	NA	6095	0.12441414594650269	0.27800077	No	
row_178	IGFBP2	NA	6169	0.12353694438934326	0.2759789	No	
row_179	COL7A1	NA	6201	0.12327808886766434	0.27671376	No	
row_180	TSKU	NA	6229	0.12302465736865997	0.27770606	No	
row_181	ALDH1L2	NA	6307	0.12226325273513794	0.2753924	No	
row_182	PCDHGC3	NA	6342	0.12184223532676697	0.27589765	No	
row_183	FABP5	NA	6347	0.12179350107908249	0.27837512	No	
row_184	CSPG4	NA	6396	0.12129920721054077	0.27794728	No	
row_185	PRDM1	NA	6423	0.12102188915014267	0.2789603	No	
row_186	TSHZ3	NA	6523	0.11991271376609802	0.27514663	No	
row_187	CAV1	NA	6562	0.11943123489618301	0.27533454	No	
row_188	CNRIP1	NA	6563	0.1194249764084816	0.2780218	No	
row_189	CSDC2	NA	6565	0.11941640824079514	0.2806431	No	
row_190	FXYD1	NA	6592	0.11918433010578156	0.28161475	No	
row_191	COL9A2	NA	6640	0.11848878115415573	0.28118944	No	
row_192	CADM1	NA	6666	0.11818395555019379	0.2822044	No	
row_193	PDLIM4	NA	6713	0.11774098128080368	0.28182802	No	
row_194	LGR6	NA	6737	0.11748798936605453	0.28295884	No	
row_195	CXCL14	NA	6859	0.11623582988977432	0.2776154	No	
row_196	EEPD1	NA	6863	0.11618277430534363	0.28003237	No	
row_197	RARRES2	NA	7000	0.11450836807489395	0.2736634	No	
row_198	THY1	NA	7038	0.11419062316417694	0.27379915	No	
row_199	TIE1	NA	7100	0.11358412355184555	0.27234262	No	
row_200	COL12A1	NA	7155	0.11302980035543442	0.27133405	No	
row_201	ADAMTS1	NA	7201	0.11252251267433167	0.27090603	No	
row_202	ITGB4	NA	7288	0.11163002997636795	0.2677611	No	
row_203	ARHGAP24	NA	7310	0.11142098903656006	0.26888698	No	
row_204	VGLL3	NA	7355	0.11092201620340347	0.26848873	No	
row_205	OSR1	NA	7435	0.11003683507442474	0.2657684	No	
row_206	TMEM64	NA	7471	0.1096230000257492	0.26593295	No	
row_207	CSRP2	NA	7542	0.10894893109798431	0.26378012	No	
row_208	COL5A1	NA	7667	0.10748471319675446	0.25804242	No	
row_209	CHSY3	NA	7711	0.10704188048839569	0.25762266	No	
row_210	PCDH7	NA	7838	0.10553201287984848	0.25170946	No	
row_211	SVEP1	NA	7903	0.10482458770275116	0.24985848	No	
row_212	PTPRT	NA	7944	0.10448270291090012	0.24957846	No	
row_213	AMOTL1	NA	7957	0.10427051037549973	0.2511354	No	
row_214	CYGB	NA	7973	0.10412789136171341	0.2524918	No	
row_215	RASL12	NA	8066	0.10314034670591354	0.2487612	No	
row_216	GSN	NA	8080	0.10299500823020935	0.25022367	No	
row_217	CD70	NA	8120	0.10254517942667007	0.24996583	No	
row_218	SMTN	NA	8193	0.10175710171461105	0.24751963	No	
row_219	PPP1R3C	NA	8221	0.10140237957239151	0.24802539	No	
row_220	CTNNAL1	NA	8224	0.10133802890777588	0.2501741	No	
row_221	SRPX	NA	8229	0.10123614221811295	0.25218898	No	
row_222	IGFBP6	NA	8237	0.10119417309761047	0.25400558	No	
row_223	PKP1	NA	8460	0.09875788539648056	0.24162541	No	
row_224	CHST3	NA	8494	0.09850416332483292	0.24167131	No	
row_225	TWIST2	NA	8502	0.09842623025178909	0.24342562	No	
row_226	EGFR	NA	8585	0.09765144437551498	0.24022926	No	
row_227	SSBP2	NA	8601	0.0974956527352333	0.24143644	No	
row_228	TCOF1	NA	8614	0.0973995178937912	0.24283877	No	
row_229	DZIP1L	NA	8632	0.09720540046691895	0.24390785	No	
row_230	DKK3	NA	8663	0.09688285738229752	0.2441146	No	
row_231	MIA	NA	8707	0.09651559591293335	0.24345796	No	
row_232	LIMS2	NA	8775	0.09565088897943497	0.24120323	No	
row_233	FHOD3	NA	8779	0.09562889486551285	0.24315771	No	
row_234	POPDC2	NA	8838	0.09506669640541077	0.24148184	No	
row_235	CDH4	NA	8920	0.09413269907236099	0.23827209	No	
row_236	DCUN1D3	NA	9020	0.09325741976499557	0.23385866	No	
row_237	LRRN1	NA	9062	0.09267914295196533	0.23324727	No	
row_238	CLMP	NA	9084	0.09250375628471375	0.23394746	No	
row_239	EVC	NA	9091	0.09243664890527725	0.23563276	No	
row_240	NNMT	NA	9123	0.09203246235847473	0.23566458	No	
row_241	MAOB	NA	9186	0.09139786660671234	0.23364304	No	
row_242	GPSM1	NA	9187	0.09139223396778107	0.23569952	No	
row_243	SH2D5	NA	9210	0.09113235771656036	0.23630308	No	
row_244	EDNRB	NA	9245	0.09085337072610855	0.23611103	No	
row_245	MALT1	NA	9339	0.08965979516506195	0.2320113	No	
row_246	SERPING1	NA	9345	0.08955229818820953	0.2336975	No	
row_247	SNCA	NA	9355	0.08944138139486313	0.23511809	No	
row_248	FEZ1	NA	9425	0.08861290663480759	0.23257345	No	
row_249	EFNB1	NA	9553	0.08709023147821426	0.22617951	No	
row_250	PDGFA	NA	9567	0.08697434514760971	0.22728148	No	
row_251	PLEKHA4	NA	9651	0.08617926388978958	0.22376122	No	
row_252	PLXNA2	NA	9683	0.0858798399567604	0.22365458	No	
row_253	RUSC2	NA	9686	0.08587250858545303	0.2254553	No	
row_254	C1QTNF4	NA	9693	0.08577029407024384	0.22699063	No	
row_255	EFCAB1	NA	9695	0.08575735241174698	0.22885452	No	
row_256	PRICKLE1	NA	9791	0.08477063477039337	0.22451325	No	
row_257	BMP1	NA	9834	0.08428625762462616	0.2236472	No	
row_258	EPDR1	NA	9996	0.0823916494846344	0.21491115	No	
row_259	TMEM201	NA	10055	0.08164329826831818	0.21293323	No	
row_260	LRRC8C	NA	10062	0.08158964663743973	0.21437447	No	
row_261	IGFBP3	NA	10110	0.08075107634067535	0.2131	No	
row_262	CALU	NA	10120	0.08059286326169968	0.2143215	No	
row_263	MRGPRF	NA	10196	0.07966188341379166	0.21118078	No	
row_264	ARSI	NA	10209	0.0794646367430687	0.21217956	No	
row_265	SIAH2	NA	10217	0.07937870919704437	0.21350527	No	
row_266	BAG3	NA	10265	0.07880478352308273	0.212187	No	
row_267	PPP2R2B	NA	10331	0.07799820601940155	0.20966662	No	
row_268	NRP1	NA	10335	0.07797291874885559	0.21122383	No	
row_269	NUDT11	NA	10375	0.07748787105083466	0.21040215	No	
row_270	TM7SF3	NA	10441	0.07663178443908691	0.20785102	No	
row_271	IL6	NA	10453	0.07650534808635712	0.20884897	No	
row_272	SSH1	NA	10473	0.07620803266763687	0.20931403	No	
row_273	MTSS1	NA	10486	0.07610361278057098	0.21023718	No	
row_274	MXRA7	NA	10536	0.07551317662000656	0.2087133	No	
row_275	KCNMB1	NA	10597	0.07470792531967163	0.20644775	No	
row_276	SPHK1	NA	10817	0.07160259783267975	0.19365388	No	
row_277	FHL1	NA	10843	0.07119368761777878	0.19361144	No	
row_278	LUZP1	NA	10927	0.07001560181379318	0.18972747	No	
row_279	LEP	NA	10943	0.06975290179252625	0.19031037	No	
row_280	UNC45A	NA	10956	0.0695173591375351	0.19108531	No	
row_281	DMWD	NA	10961	0.06948234885931015	0.19238567	No	
row_282	NT5E	NA	10991	0.06915213167667389	0.1920342	No	
row_283	TAGLN	NA	11084	0.0679832473397255	0.1875125	No	
row_284	ACTA2	NA	11089	0.0679229348897934	0.18877777	No	
row_285	GPR176	NA	11108	0.06759976595640182	0.1891149	No	
row_286	CBLB	NA	11162	0.0668499544262886	0.18713298	No	
row_287	GJA1	NA	11193	0.06649921834468842	0.18665603	No	
row_288	COL5A2	NA	11221	0.06611145287752151	0.18636769	No	
row_289	CNP	NA	11308	0.06497486680746078	0.18217295	No	
row_290	FBXO30	NA	11398	0.06369847804307938	0.17775217	No	
row_291	CDKN1A	NA	11412	0.06355223059654236	0.1783271	No	
row_292	CACNB4	NA	11455	0.06309471279382706	0.17698422	No	
row_293	SKI	NA	11462	0.06295503675937653	0.17800616	No	
row_294	SEC24D	NA	11489	0.06254081428050995	0.17770325	No	
row_295	BNC1	NA	11526	0.06206261366605759	0.17673181	No	
row_296	EGR2	NA	11570	0.0613887719810009	0.17528477	No	
row_297	HDAC4	NA	11613	0.060736283659935	0.17388882	No	
row_298	LMOD1	NA	11639	0.060514792799949646	0.1736061	No	
row_299	ITGA1	NA	11668	0.060173530131578445	0.17311835	No	
row_300	SERPINH1	NA	11680	0.059994351118803024	0.17374478	No	
row_301	PCBP4	NA	11726	0.05935826897621155	0.17212051	No	
row_302	SLC1A5	NA	11857	0.05724034830927849	0.16485757	No	
row_303	ADARB1	NA	11961	0.055414699018001556	0.1593295	No	
row_304	ATP2A2	NA	12019	0.05443590506911278	0.15680514	No	
row_305	AEBP1	NA	12064	0.053856346756219864	0.15512285	No	
row_306	ETS1	NA	12076	0.0537382997572422	0.1556085	No	
row_307	ARNTL	NA	12096	0.053401097655296326	0.15556036	No	
row_308	NUDT10	NA	12175	0.05237605795264244	0.15160835	No	
row_309	CPXM1	NA	12217	0.05171732231974602	0.15007524	No	
row_310	IGFBP4	NA	12359	0.04935000091791153	0.14191121	No	
row_311	MYLK	NA	12443	0.04812348634004593	0.13753462	No	
row_312	TPM2	NA	12496	0.04733378812670708	0.13517933	No	
row_313	TGFB1I1	NA	12509	0.047162603586912155	0.13545124	No	
row_314	TGFBR3	NA	12556	0.046435702592134476	0.13347042	No	
row_315	RAPGEF1	NA	12563	0.046260934323072433	0.1341167	No	
row_316	FBLN7	NA	12566	0.046190302819013596	0.1350245	No	
row_317	ELK3	NA	12569	0.04610864073038101	0.13593048	No	
row_318	SHE	NA	12586	0.045874904841184616	0.13591032	No	
row_319	COL18A1	NA	12587	0.0458381287753582	0.13694175	No	
row_320	BCL2L11	NA	12613	0.04533133655786514	0.13631737	No	
row_321	NETO2	NA	12621	0.04522251710295677	0.13687451	No	
row_322	COL16A1	NA	12699	0.0437910333275795	0.1327951	No	
