NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNNT1	NA	64	0.3294694423675537	0.015005041	Yes	
row_1	TFF3	NA	151	0.28393468260765076	0.025941258	Yes	
row_2	ZDHHC11	NA	223	0.26663652062416077	0.036842514	Yes	
row_3	DNAJC12	NA	288	0.2541140615940094	0.04746888	Yes	
row_4	SERPINA5	NA	378	0.24444349110126495	0.055916343	Yes	
row_5	NOVA1	NA	392	0.24280589818954468	0.06918424	Yes	
row_6	EEF1A2	NA	421	0.2392103523015976	0.081273034	Yes	
row_7	CLSTN2	NA	424	0.23904293775558472	0.09503375	Yes	
row_8	SYT1	NA	534	0.2298527956008911	0.10133982	Yes	
row_9	TRIM9	NA	754	0.21651272475719452	0.099756055	Yes	
row_10	CEACAM5	NA	767	0.2160094529390335	0.11153158	Yes	
row_11	ACOX2	NA	831	0.21286459267139435	0.119825736	Yes	
row_12	TNNI3	NA	1114	0.20235735177993774	0.11334468	Yes	
row_13	RHBDL1	NA	1168	0.20082874596118927	0.121586256	Yes	
row_14	SERPINA3	NA	1222	0.19890418648719788	0.12971601	Yes	
row_15	TRPA1	NA	1267	0.19753414392471313	0.13834827	Yes	
row_16	FLRT3	NA	1391	0.19325608015060425	0.14162229	Yes	
row_17	DACH1	NA	1457	0.19171617925167084	0.14855823	Yes	
row_18	TESMIN	NA	1576	0.18833504617214203	0.15186971	Yes	
row_19	CRABP2	NA	1591	0.18803371489048004	0.16189028	Yes	
row_20	SYBU	NA	1618	0.18739168345928192	0.17109741	Yes	
row_21	PCLO	NA	1969	0.1795102059841156	0.1588906	Yes	
row_22	CELSR3	NA	2071	0.17725004255771637	0.16265751	Yes	
row_23	GSTM3	NA	2098	0.1767103672027588	0.17124398	Yes	
row_24	ABCC8	NA	2119	0.176319882273674	0.18019582	Yes	
row_25	CYP2B6	NA	2211	0.17471206188201904	0.18446204	Yes	
row_26	GDF15	NA	2272	0.1737055778503418	0.19067483	Yes	
row_27	ASCL1	NA	2305	0.17307400703430176	0.19866191	Yes	
row_28	SLC1A1	NA	2353	0.17222532629966736	0.20562951	Yes	
row_29	C17orf75	NA	2567	0.16850963234901428	0.20164451	Yes	
row_30	CACNG4	NA	2830	0.16428230702877045	0.1942446	Yes	
row_31	WWP1	NA	2855	0.16383884847164154	0.2022125	Yes	
row_32	DNALI1	NA	2924	0.1627979278564453	0.20727403	Yes	
row_33	GLRB	NA	2990	0.16175828874111176	0.2124692	Yes	
