NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BELTRAN_NEPC_UP	BELTRAN_NEPC_UP	Details ...	24	0.56606346	1.8193703	0.0010141988	0.0039655175	0.005	2524	tags=58%, list=16%, signal=69%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	31	0.49999574	1.6674049	0.0020120724	0.010720812	0.027	5587	tags=68%, list=36%, signal=105%	
HUPER_BREAST_BASAL_VS_LUMINAL_UP	HUPER_BREAST_BASAL_VS_LUMINAL_UP	Details ...	51	0.42005795	1.5035969	0.004	0.058017727	0.195	3196	tags=43%, list=20%, signal=54%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	119	0.3716198	1.433568	0.001	0.0892178	0.372	6848	tags=63%, list=44%, signal=111%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	169	0.34070894	1.3425103	0.007	0.20102543	0.724	6527	tags=59%, list=42%, signal=100%	
SMID_BREAST_CANCER_LUMINAL_A_UP	SMID_BREAST_CANCER_LUMINAL_A_UP	Details ...	78	0.3381929	1.2554678	0.072	0.41483745	0.96	8134	tags=71%, list=52%, signal=147%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	173	0.31035307	1.2189971	0.041	0.51796097	0.987	7454	tags=58%, list=48%, signal=111%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	178	0.30464876	1.2081381	0.047	0.5083185	0.992	7038	tags=53%, list=45%, signal=95%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	31	0.3556443	1.1917944	0.20904523	0.5330588	0.999	7351	tags=61%, list=47%, signal=116%	
LIM_MAMMARY_STEM_CELL_UP	LIM_MAMMARY_STEM_CELL_UP	Details ...	396	0.28348908	1.1700759	0.037	0.5969538	1.0	5968	tags=45%, list=38%, signal=71%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	127	0.29407877	1.1423441	0.174	0.7031929	1.0	5980	tags=42%, list=38%, signal=67%	
SMID_BREAST_CANCER_LUMINAL_B_UP	SMID_BREAST_CANCER_LUMINAL_B_UP	Details ...	138	0.28939453	1.1311818	0.158	0.71413374	1.0	8428	tags=67%, list=54%, signal=144%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	184	0.28394425	1.1231947	0.152	0.70869476	1.0	6448	tags=46%, list=41%, signal=77%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	131	0.2778455	1.0738721	0.286	0.9916539	1.0	2759	tags=21%, list=18%, signal=25%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	182	0.26486364	1.0458534	0.357	1.0	1.0	8164	tags=59%, list=52%, signal=123%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	170	0.2590772	1.0184356	0.431	1.0	1.0	5981	tags=42%, list=38%, signal=67%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	25	0.31264105	1.0026655	0.4878788	1.0	1.0	5741	tags=48%, list=37%, signal=76%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	167	0.2519902	0.991704	0.535	1.0	1.0	4914	tags=34%, list=32%, signal=49%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	168	0.24271384	0.96203405	0.617	1.0	1.0	7918	tags=51%, list=51%, signal=103%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	124	0.23421116	0.90248257	0.76	1.0	1.0	8609	tags=56%, list=55%, signal=125%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		178	0.22916588	0.9010795	0.783	1.0	1.0	6452	tags=41%, list=41%, signal=69%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		54	0.2412377	0.86223906	0.764	1.0	1.0	9383	tags=69%, list=60%, signal=171%	
TCGA_ANDROGEN_RESPONSE	TCGA_ANDROGEN_RESPONSE		19	0.2784083	0.86097896	0.70533884	1.0	1.0	9716	tags=68%, list=62%, signal=181%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		104	0.22308908	0.8471181	0.845	1.0	1.0	9920	tags=67%, list=64%, signal=184%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		40	0.24389252	0.8400346	0.776329	1.0	1.0	3935	tags=28%, list=25%, signal=37%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		173	0.21118549	0.83403236	0.912	1.0	1.0	2431	tags=17%, list=16%, signal=20%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		31	0.23765633	0.7955289	0.8135081	1.0	1.0	5906	tags=39%, list=38%, signal=62%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		32	0.2342252	0.7926732	0.8126888	1.0	1.0	6916	tags=41%, list=44%, signal=73%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		177	0.1930773	0.76539034	0.967	1.0	1.0	6085	tags=35%, list=39%, signal=57%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		179	0.18423828	0.72989106	0.994	1.0	1.0	9562	tags=56%, list=61%, signal=143%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		94	0.19107282	0.722027	0.963	1.0	1.0	9935	tags=60%, list=64%, signal=163%	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP		311	0.17577258	0.7141243	1.0	1.0	1.0	6395	tags=35%, list=41%, signal=58%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		137	0.17382304	0.6768683	0.994	1.0	1.0	4372	tags=24%, list=28%, signal=33%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		64	0.17831372	0.65525085	0.984	1.0	1.0	7393	tags=39%, list=47%, signal=74%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		171	0.15507072	0.61699265	1.0	1.0	1.0	6872	tags=36%, list=44%, signal=64%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		166	0.14977436	0.58791107	1.0	1.0	1.0	2236	tags=13%, list=14%, signal=15%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		190	0.14491466	0.57758	1.0	1.0	1.0	11900	tags=73%, list=76%, signal=305%	
