NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	164	-0.060340114	---	---	1.0	0.0	513	tags=12%, list=3%, signal=12%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	74	-0.19966114	---	---	1.0	0.0	544	tags=23%, list=3%, signal=24%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	-0.14351237	---	---	1.0	0.0	12362	tags=98%, list=79%, signal=468%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	84	-0.20352958	---	---	1.0	0.0	6429	tags=81%, list=41%, signal=137%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	179	-0.21423988	---	---	1.0	0.0	6645	tags=84%, list=43%, signal=144%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	180	-0.08462836	---	---	1.0	0.0	617	tags=17%, list=4%, signal=17%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	86	-0.09423105	---	---	1.0	0.0	198	tags=9%, list=1%, signal=9%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	178	-0.11513295	---	---	1.0	0.0	11791	tags=94%, list=76%, signal=382%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	166	-0.20704764	---	---	1.0	0.0	711	tags=30%, list=5%, signal=31%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	39	-0.1715076	-0.9257894	0.6666667	0.17244898	0.057	12011	tags=97%, list=77%, signal=423%	
BIOCARTA_HER2_PATHWAY	BIOCARTA_HER2_PATHWAY	Details ...	20	-0.16502984	-0.7282909	0.7222222	0.23376623	0.084	13029	tags=100%, list=84%, signal=606%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	-0.107476264	-0.71552694	1.0	0.21683674	0.085	3293	tags=57%, list=21%, signal=73%	
