NAME	TITLE	SCORE	
C17orf50	NA	0.45158097	
FBXO47	NA	0.44904467	
ARHGAP39	NA	0.43506798	
PRAMEF4	NA	0.43124548	
PIP	NA	0.42505577	
CCL15	NA	0.42331418	
CLCN1	NA	0.41713154	
IGLL1	NA	0.4131288	
RPS17	NA	0.40835336	
GAS2L2	NA	0.40654096	
PRSS37	NA	0.40416503	
C7orf33	NA	0.40400803	
PDIA2	NA	0.40368748	
KRT38	NA	0.40354162	
MRGPRE	NA	0.4021597	
CACNG6	NA	0.40103132	
SCGB1C1	NA	0.39725068	
SLC6A13	NA	0.39527428	
KRTAP4-1	NA	0.3947799	
PRAMEF15	NA	0.3907563	
TUBB8	NA	0.39033312	
PDZK1	NA	0.38733184	
PLEKHG4B	NA	0.38673308	
ODF3	NA	0.38401446	
MGAM	NA	0.3838211	
TMEM86B	NA	0.3825144	
SPATC1	NA	0.379703	
CEACAM7	NA	0.37782273	
IFITM5	NA	0.37674394	
C6orf58	NA	0.3764545	
CARTPT	NA	0.37618843	
SLC6A12	NA	0.3755177	
TRARG1	NA	0.37544966	
RNF112	NA	0.3750643	
LRRC14B	NA	0.37318558	
KRT35	NA	0.37308657	
DRICH1	NA	0.37027588	
ACR	NA	0.36945271	
ESRP1	NA	0.3677079	
DEFB125	NA	0.36043233	
FANK1	NA	0.36042953	
CLEC5A	NA	0.35825485	
GRHL2	NA	0.35797507	
SRL	NA	0.35767958	
PKP3	NA	0.35476974	
UGT2B7	NA	0.3542998	
PTPRH	NA	0.35351348	
KRT27	NA	0.35226458	
IDO1	NA	0.35193464	
PRAMEF17	NA	0.3514266	
KRT32	NA	0.3513873	
VPREB1	NA	0.3501056	
SPATA12	NA	0.3494873	
UBE2QL1	NA	0.34504429	
TERB2	NA	0.34462148	
GAL3ST2	NA	0.34286475	
PRAMEF11	NA	0.3419741	
KCNB2	NA	0.3419625	
S100A7	NA	0.33966056	
HBZ	NA	0.33940265	
ID4	NA	0.33777437	
DEFA5	NA	0.33726832	
MYL4	NA	0.3324467	
RHBDF1	NA	0.3303179	
TNNT1	NA	0.32946944	
LRRC55	NA	0.32777122	
KRT26	NA	0.32724324	
TMPRSS11B	NA	0.327057	
KRT9	NA	0.32502308	
NLRP6	NA	0.3249004	
LMO3	NA	0.32388344	
RGL4	NA	0.32364866	
CSAG1	NA	0.32237983	
SLC6A19	NA	0.3219172	
S100B	NA	0.32169142	
MAGEA12	NA	0.32052094	
NPHP1	NA	0.31961206	
ACTC1	NA	0.31906796	
ANHX	NA	0.3174208	
PGM5	NA	0.3168126	
C22orf15	NA	0.31673175	
FAM90A1	NA	0.31639084	
FBXO43	NA	0.3162548	
SPATA31E1	NA	0.3162324	
LINC00634	NA	0.31549963	
GMNN	NA	0.31540403	
LYPD8	NA	0.3152162	
RALYL	NA	0.31488904	
JPH1	NA	0.31407174	
SATL1	NA	0.31249928	
FCGR1B	NA	0.31149626	
DEFB127	NA	0.31115025	
ZSCAN12	NA	0.3109012	
MMP16	NA	0.31081134	
PNMA5	NA	0.3107489	
LRRC4B	NA	0.31020424	
RAD54B	NA	0.31000513	
CACNG7	NA	0.30857804	
GPIHBP1	NA	0.308292	
ZNF705G	NA	0.307249	
PRAMEF10	NA	0.30674297	
PAGE4	NA	0.30643412	
DEFB132	NA	0.3059877	
IDO2	NA	0.3056673	
NTF3	NA	0.30536273	
KLHL4	NA	0.30531114	
SDC2	NA	0.3047655	
FABP1	NA	0.30361584	
