GENES	SRR17478179	SRR17478168
A1BG	21.5318434019021	5.05104270855018
A1CF	0	0.00892969636759689
A2M	32.361217705224	83.2658521300757
A2ML1	1.83390006076607	0.352023335296101
A3GALT2	0.443282090971815	0.290589351346271
A4GALT	13.039526308217	0
A4GNT	0	0
AAAS	7.1491383848851	66.0564817952228
AACS	12.0684497721877	7.07768120220414
AADAC	0	0
AADACL2	0	0
AADACL3	0	0
AADACL4	0	0
AADAT	0.103999114165652	0
AAED1	1.90267993024102	8.2943231796042
AAGAB	19.8940159075752	51.5602059453559
AAK1	72.6773698794331	74.9091778186418
AAMDC	5.24059163495894	7.77670987997293
AAMP	79.1674545836942	110.269358847869
AANAT	0	1.61951763514518
AAR2	5.39142860687031	14.035170988783
AARD	0	0
AARS	13.960518723548	36.3998613854254
AARS2	4.661903908545	8.97431099908043
AARSD1	16.7040492668451	25.4316152695934
AASDH	2.88607317996647	32.330976874773
AASDHPPT	7.92041762303514	22.3561620067414
AASS	0.464251277643907	4.32176361743946
AATF	49.0644003712462	52.1069943160072
AATK	10.4704958433274	1.72103518730262
ABAT	4.3131319155614	23.307973694279
ABCA1	4.32870265070556	12.2266652645439
ABCA10	0.479358455241662	0.283299246755877
ABCA12	0	0.0236670281755622
ABCA13	0.027218174616724	0.4376130407149
ABCA2	21.3881859171269	33.0872060985566
ABCA3	1.70543241243827	4.15419011730485
ABCA4	0	0
ABCA5	11.72327380315	11.0880723003785
ABCA6	2.39294770603988	0.999375668520698
ABCA7	59.1092816512529	32.0052306402729
ABCA8	0.066175260901015	0.251257817265628
ABCA9	4.94591918657365	1.50614194429342
ABCB1	3.76418235364897	38.8076767134261
ABCB10	15.9276124771768	8.30020459389325
ABCB11	0	0
ABCB4	0.630948479237658	9.72747799362536
ABCB5	0.224357996766183	0.0593919731894036
ABCB6	2.56491215850039	2.84711735894592
ABCB7	16.9637186188078	94.1088610923789
ABCB8	13.0618101148204	8.34771109032653
ABCB9	3.3825442676287	0.644740849607494
ABCC1	14.5597424035081	53.3440043026704
ABCC10	18.0491684405726	18.0250641031869
ABCC11	0.194540620443741	0
ABCC12	0	0
ABCC2	1.70396475695951	4.6264290179781
ABCC3	30.0287013622448	13.6471102540992
ABCC4	22.0285618718683	6.78994287830585
ABCC5	9.37458131348635	14.6780265296717
ABCC6	1.11653661059258	8.0170815860569
ABCC8	0	0
ABCC9	1.15815117260673	0.010112966372717
ABCD1	6.73601159949945	8.80206492897776
ABCD2	1.04753566028377	3.84029896886182
ABCD3	10.4289251220031	50.5858375348358
ABCD4	31.1202604960272	35.3220697631145
ABCE1	9.40717226301458	72.2109138319504
ABCF1	71.0311181840388	126.566773743677
ABCF2	12.1531678876473	33.8370910739864
ABCF3	31.7604056075338	64.8681831334001
ABCG1	10.234322923338	9.03656037633769
ABCG2	2.38150767403222	0.078951915474351
ABCG4	0	0
ABCG5	0	0
ABCG8	0.384317189223008	0.488822182531396
ABHD1	0.664061191549072	2.15672833766807
ABHD10	11.5392360242226	30.7418838567979
ABHD11	8.53086205645836	5.29863193429618
ABHD12	14.982599298827	38.4728611617177
ABHD12B	0.230033556297985	12.0365158165962
ABHD13	4.06042286110336	3.90078188674092
ABHD14A	7.89435651821737	2.10868578322299
ABHD14A-ACY1	0	1.2576999473937
ABHD14B	9.76514133283185	2.23083007260321
ABHD15	4.21483400600389	1.73061463410094
ABHD16A	32.5310396260763	27.7971445177471
ABHD16B	0	0
ABHD17A	35.1537600070226	27.6722713064059
ABHD17B	7.53065151217319	4.60177592015887
ABHD17C	1.33565249842922	0.552000918217264
ABHD2	47.6320594016918	64.6049372707693
ABHD3	19.2062802929549	18.0260617050155
ABHD4	5.10075386948471	17.3912375846958
ABHD5	11.5776668420002	28.7530785272267
ABHD6	5.04080972382504	3.12837106744953
ABHD8	3.97266638608597	0.933963162190755
ABI1	17.8396763275943	86.7266431752521
ABI2	14.6173656984448	13.4417022331542
ABI3	26.1938584516271	19.4138471399708
ABI3BP	3.34809560829473	3.87102559360293
ABL1	5.08477807580406	6.48045159757663
ABL2	28.1712476332997	8.16951197071579
ABLIM1	28.4606924583561	92.8816599073204
ABLIM2	1.41649584185569	0.798528233244914
ABLIM3	5.19727547864897	7.74397475564392
ABR	119.982462442724	82.3672760877182
ABRA	0.372832099980188	0.125778012999681
ABRACL	21.8647082323856	9.24597671340163
ABT1	4.69613539200549	2.63097979318811
ABTB1	219.051741352847	37.5939947222703
ABTB2	0.20335231373361	0.205385499266297
AC002451.1	7.46278480266419	0
AC002472.1	0.161216289317848	0
AC002553.1	9.05043655991449	0
AC003002.4	1.17371394163172	0.163577937255431
AC003043.1	0	0
AC003101.1	0	0
AC003102.1	3.49915089032038	0
AC004466.1	0.165750549082995	0
AC004528.1	0	0.356524957582392
AC004817.1	2.37257883193093	0
AC004899.1	0	0
AC005008.2	0	0
AC005082.1	1.74170244426953	0
AC005358.1	0	0
AC005544.1	0	0
AC005606.1	0	0
AC005609.1	0	0
AC005841.1	0	0
AC006372.1	0	0
AC006435.1	0	0
AC006449.1	0	0
AC006455.1	0	0
AC006486.1	4.97361286521212	15.2321168084438
AC006967.1	0	0
AC007204.1	0.477393421805206	0
AC007216.2	1.20064465108811	0
AC007375.1	0	0
AC007382.1	1.01826197459895	0.0332190690756921
AC007557.1	0	0
AC007919.2	1.60508890725803	0
AC007952.1	0.756410350546538	2.54684911266584
AC007952.5	1.15806256004425	0.0622454427471272
AC007952.6	0.919433434994386	0.0324831800075534
AC007956.1	0	0
AC008132.1	0.0669688690030035	0.085929022999812
AC008267.1	0.210531433202772	0
AC008443.1	1.31462593887769	0.57859956346221
AC008498.1	1.52171800312975	0
AC008686.1	3.45239649930051	0
AC008914.1	0	0
AC008948.1	0	0
AC009041.2	7.98286200218348	50.3610011741862
AC009060.1	0.493124404508135	0
AC009065.1	0	0
AC009403.2	0.404533619686325	0
AC009802.1	0	0
AC009977.1	1.38133167362734	0.845364777573017
AC010327.2	0	0
AC010336.1	0.417531881076673	0.0886956619890237
AC010536.1	0.0785885291881747	1.09940117303103
AC010760.1	0	0
AC011239.1	0	0
AC011298.1	0	0
AC011475.1	0.243511827433593	0
AC011484.1	0.949558702423769	0
AC011500.1	0	0
AC011755.1	0.30543849144039	0
AC011897.1	0	0
AC011997.1	0	0.111490721314857
AC012123.1	0	0.0548378455437156
AC012313.1	8.18370056525786	1.32910194493593
AC012360.1	0	0
AC012360.2	0	0
AC012414.1	0	0
AC012485.1	0.491693086337819	0
AC012493.2	0	0
AC013468.1	0	0
AC013469.1	0	0
AC015660.1	0	0
AC016251.1	0	0
AC016559.1	0	0
AC016586.1	3.98655903359429	0
AC016745.1	0	0
AC016885.1	0	0
AC017081.1	0	0
AC017104.2	0	0
AC018445.1	0	0
AC018470.1	0	0
AC018512.1	0	0.131154588936493
AC018630.1	0.249680162927285	0.109601749431433
AC018755.1	0	0
AC019171.1	0	0
AC019206.1	0	0.338253906548794
AC019294.1	0	0
AC020629.1	0	0
AC020907.1	0	0
AC020922.1	0	0
AC021860.1	0	0
AC022210.1	0	0
AC022400.2	1.0811138138344	0
AC022431.2	0	0
AC022498.1	0	0
AC022532.1	0.245446284729886	1.07187316935748
AC023469.1	0	0
AC023590.1	1.58900347430516	0.641521877625441
AC023632.1	0	0
AC024257.1	4.08442334836638	0
AC024580.1	0.738638275090765	0
AC024940.1	1.35329285656753	1.6826203940836
AC025262.1	0	0
AC025278.1	0	0.493371290284842
AC025287.1	0	0
AC026202.1	0	0
AC026310.1	0	0
AC026369.1	0.162305172500932	0
AC026407.1	0	0
AC026461.1	0	0
AC026740.1	0.603852559919007	0
AC027228.1	0	0
AC027307.3	0.203652695301357	0
AC027309.1	0	0
AC027763.2	0	0
AC037459.4	0	0
AC040160.1	0	0
AC040977.1	0	0
AC055736.1	0	0
AC061992.1	1.48754659598281	0
AC062017.1	0	1.20498036070338
AC064874.1	0	2.14660089365478
AC068620.1	0	0
AC068987.1	0	0
AC069547.1	1.34668416169553	0
AC073063.1	2.14470937463778	2.51862917789946
AC073188.1	0	0
AC073333.1	0.388570592222311	0.35110890087146
AC073342.1	0	0.799401558822275
AC073343.1	0	2.79070733742109
AC073569.1	0	0.168608683318591
AC073657.1	0.852503915976758	0
AC078925.1	0	0
AC079210.1	0.816603812907432	0
AC079341.1	2.35410536551447	0.0777058968162047
AC079354.1	0.22725067126359	0
AC079354.2	4.49442916926314	0
AC079602.1	0	0
AC079612.1	0	0
AC083862.1	0	0.230068445093449
AC087239.1	10.9985912556968	0.210242584192433
AC087477.1	0	0
AC087645.1	0	0
AC090186.1	0	0
AC090574.1	0	0
AC090616.2	0	1.32078249109038
AC090673.2	0	0
AC091948.1	0.410713219488808	0
AC092384.1	2.44318351942995	49.4327783266107
AC092811.1	0	0
AC092850.1	0	0
AC092964.1	6.09004103805874	0
AC093157.1	2.59514955836902	0
AC093323.1	12.907816500299	0.0570088811020407
AC093677.1	0	0.329653610083213
AC093802.1	0.0661575383885179	0
AC096582.1	0	0
AC096644.1	0	0
AC096677.1	0.566303362042748	0
AC097381.1	0	0
AC099344.1	0	0
AC099552.4	0	0
AC104057.1	0	0
AC104472.1	0	0
AC104794.4	0	0
AC105020.1	0.602289073858882	0.0400294347750575
AC106017.1	0.221161936885351	9.37215238327054
AC107021.1	5.16527132451333	3.23542908824185
AC108868.1	0	0
AC109583.1	0	0
AC110615.1	1.12881290488485	0
AC110792.1	0	4.53655802284061
AC111200.1	1.75409318393911	0
AC112693.2	0	0
AC112721.1	0	0
AC114546.1	0	0
AC115618.1	2.42263742019603	2.01232555981687
AC116407.2	0.272566234573957	0
AC117395.1	0	0
AC117834.1	1.36893793014209	0
AC121757.1	1.63278408780434	0
AC126614.1	0	0
AC127496.1	0.290345819568923	0.0299895146181011
AC129492.6	0	0
AC131097.4	0.99899550084363	0
AC131935.1	0	0
AC131971.1	5.95290183330368	0.374629131117132
AC132186.1	0	0
AC132192.1	0	0
AC132216.1	0	0
AC132872.2	0.469960479911298	0
AC135048.1	1.31720922036032	7.21893065876672
AC135178.1	0	0
AC135983.2	71.7861032640222	59.4799339120338
AC136604.1	0	0
AC137056.1	0	0
AC137932.1	45.86623781944	0.360158274183564
AC138393.1	3.48896344945023	2.60123828838132
AC138517.1	0	0
AC138647.1	0	0
AC139100.2	0	0
AC139426.2	0	0
AC139768.1	2.63973819828544	0
AC140481.2	0	0
AC142381.1	0	0
AC144568.2	0	0
ACAA1	41.5977301330032	65.2504547112739
ACAA2	6.26180019473678	17.6859242534938
ACACA	15.5793095481846	26.1793426003666
ACACB	17.7748267804667	24.7287308125935
ACAD10	11.306527419873	21.3146012531787
ACAD11	5.81856669048355	28.9242567170094
ACAD8	12.9642026262887	29.8599213513247
ACAD9	19.2390933431125	101.055941725376
ACADL	0	0
ACADM	15.8541451533372	107.505194149976
ACADS	3.17965604341726	5.27043777735483
ACADSB	4.04948897203736	27.8948763927902
ACADVL	74.8515466858669	392.826230997638
ACAN	0.12686370471238	1.22230170646406
ACAP1	130.344102093552	120.339975944366
ACAP2	99.4113939909854	167.577402761649
ACAP3	24.2119048218419	15.6472022008493
ACAT1	12.6190506877764	86.5395093258143
ACAT2	2.72171082621585	4.47872072384586
ACBD3	15.0766014575918	27.5388574946149
ACBD4	8.15120228344327	24.9807719636926
ACBD5	8.91490439654688	43.7281931336067
ACBD6	19.0073000329399	39.3297906856344
ACBD7	1.05321137000635	0
ACCS	7.43195814427412	30.2972436453078
ACCSL	0.926276127107671	0.449242581656881
ACD	6.89436074675315	11.1577741825238
ACE	1.42750197268874	6.04822286614605
ACE2	0	0
ACER1	0.51083490174252	0.192839838843954
ACER2	1.94441494526384	1.61475009424282
ACER3	15.6657653588479	42.5606640181574
ACHE	1.6279359293009	0
ACIN1	79.1248289824907	98.5550885285964
ACKR2	3.75410875739299	0
ACKR3	0	1.84692418062269
ACKR4	0.219219970049864	2.18996190880543
ACLY	13.2385966827024	48.5456100572097
ACMSD	0	0.379984135084579
ACO1	2.38889181894045	9.50493748747637
ACO2	33.945910704032	55.2732737102503
ACOT1	0	1.90025985733114
ACOT11	2.26212252183887	0.470753690933405
ACOT12	0	0
ACOT13	7.18218636496867	6.37599849383967
ACOT2	3.03245405614266	7.79882318366318
ACOT4	0.514938113957949	0.742706624494511
ACOT6	0	0
ACOT7	1.40286489107967	4.75393021074445
ACOT8	9.33725439797022	6.40694165231101
ACOT9	16.6508081358697	71.462221325139
ACOX1	11.9472429559767	79.0347318928152
ACOX2	0.419691624548776	0.956967835935887
ACOX3	2.94482223947588	15.9018559073803
ACOXL	0.529781769509753	0
ACP1	40.0639788442694	65.3943614545785
ACP2	2.75549609285745	10.7316667348278
ACP5	17.4431651486285	34.2812606366605
ACP6	5.83098596640206	9.06391420331772
ACPP	12.4128387415179	94.6323306390017
ACR	0	0
ACRBP	19.4389168057282	17.8754591038237
ACRV1	0	0
ACSBG1	3.72036689588793	0.236753856177815
ACSBG2	0	0.315612835809305
ACSF2	9.14132301086781	15.5771000840522
ACSF3	27.826515050414	75.2726777129854
ACSL1	40.2750419528471	33.0778178553836
ACSL3	10.534018119203	31.3852546828416
ACSL4	14.4967459305477	44.9994672766413
ACSL5	13.234498167884	47.6451170943795
ACSL6	7.35026622291876	4.51051156574229
ACSM1	0.665208498947083	3.84295788367697
ACSM2A	5.21949019749172	0
ACSM2B	2.41108474510047	0.0627357641136931
ACSM3	7.38731198128747	13.8726011001589
ACSM4	0	0.0413217178454891
ACSM5	0	1.15464847897438
